AL, 17, 2005091318, 01, CARQ, -24,  91N,  345W,  15,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 17, 2005091318, 01, CARQ, -18,  92N,  355W,  15,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 17, 2005091318, 01, CARQ, -12,  93N,  365W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 276,  10, 
AL, 17, 2005091318, 01, CARQ,  -6,  94N,  375W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 17, 2005091318, 01, CARQ,   0,  95N,  385W,  20, 1010, DB,  34, NEQ,    0,    0,    0,    0, 1012,  150,  45,   0,   0,   L,   0,   X, 275,  10,     INVEST, D, 
AL, 17, 2005091318, 01, CARQ,   0,  95N,  385W,  20, 1010, DB,  50, NEQ,    0,    0,    0,    0, 1012,  150,  45,   0,   0,   L,   0,   X, 275,  10,     INVEST, D, 
AL, 17, 2005091318, 01, CARQ,   0,  95N,  385W,  20, 1010, DB,  64, NEQ,    0,    0,    0,    0, 1012,  150,  45,   0,   0,   L,   0,   X, 275,  10,     INVEST, D, 
AL, 17, 2005091318, 03, A90E,   0,  95N,  385W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, A90E,  12,  97N,  406W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, A90E,  24, 100N,  430W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, A90E,  36, 102N,  455W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, A90E,  48, 102N,  481W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, A90E,  60, 108N,  506W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, A90E,  72, 111N,  530W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, A90E,  84, 113N,  554W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, A90E,  96, 115N,  578W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, A90E, 108, 114N,  600W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, A90E, 120, 114N,  619W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, A98E,   0,  95N,  385W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, A98E,  12,  97N,  406W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, A98E,  24, 100N,  430W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, A98E,  36, 102N,  455W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, A98E,  48, 102N,  480W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, A98E,  60, 108N,  504W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, A98E,  72, 111N,  528W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, A98E,  84, 113N,  551W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, A98E,  96, 115N,  574W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, A98E, 108, 116N,  595W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, A98E, 120, 115N,  613W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, BAMD,  12,  97N,  399W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, BAMD,  24,  98N,  414W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, BAMD,  36,  97N,  433W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, BAMD,  48,  98N,  455W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, BAMD,  60, 100N,  478W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, BAMD,  72, 105N,  501W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, BAMD,  84, 112N,  521W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, BAMD,  96, 120N,  539W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, BAMD, 108, 127N,  554W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, BAMD, 120, 133N,  566W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, BAMM,  12,  98N,  403W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, BAMM,  24, 100N,  420W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, BAMM,  36, 102N,  440W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, BAMM,  48, 107N,  460W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, BAMM,  60, 114N,  480W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, BAMM,  72, 124N,  498W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
