CP, 01, 2005080312, 03,  EMX,   0, 139N, 1400W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080312, 03,  EMX,  12, 140N, 1417W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080312, 03,  EMX,  24, 140N, 1430W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080312, 03,  EMX,  36, 138N, 1454W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080312, 03,  EMX,  48, 139N, 1474W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080312, 03,  EMX,  60, 141N, 1501W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080312, 03,  EMX,  72, 150N, 1521W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080312, 03,  EMX,  84, 158N, 1542W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080312, 03,  EMX,  96, 168N, 1556W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080312, 03,  NGX,   0, 145N, 1394W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080312, 03,  NGX,  12, 148N, 1410W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080312, 03,  NGX,  24, 135N, 1424W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 01, CARQ, -24, 143N, 1359W,  20,    0, TD,  34, AAA,    0,    0,    0,    0, 
CP, 01, 2005080318, 01, CARQ, -18, 144N, 1374W,  20,    0, TD,  34, AAA,    0,    0,    0,    0, 
CP, 01, 2005080318, 01, CARQ, -12, 145N, 1385W,  20,    0, TD,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 279,  10, 
CP, 01, 2005080318, 01, CARQ,  -6, 147N, 1395W,  20,    0, TD,  34, AAA,    0,    0,    0,    0, 
CP, 01, 2005080318, 01, CARQ,   0, 150N, 1405W,  25, 1008, TD,  34, NEQ,    0,    0,    0,    0, 1010,   50,  25,   0,   0,   C,   0,   X, 280,  10,     NONAME, M, 
CP, 01, 2005080318, 01, CARQ,   0, 150N, 1405W,  25, 1008, TD,  50, NEQ,    0,    0,    0,    0, 1010,   50,  25,   0,   0,   C,   0,   X, 280,  10,     NONAME, M, 
CP, 01, 2005080318, 01, CARQ,   0, 150N, 1405W,  25, 1008, TD,  64, NEQ,    0,    0,    0,    0, 1010,   50,  25,   0,   0,   C,   0,   X, 280,  10,     NONAME, M, 
CP, 01, 2005080318, 03, AEMN,   0, 141N, 1410W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AEMN,   6, 140N, 1428W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AEMN,  12, 141N, 1438W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AEMN,  18, 141N, 1445W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AEMN,  24, 140N, 1455W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AEMN,  30, 141N, 1468W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AEMN,  36, 139N, 1477W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
