AL, 15, 2005090518,   , BEST,   0, 284N,  670W,  30, 1008, TD,   0,    ,    0,    0,    0,    0, 1012,  160,  40,  35,   0,   L,   0,    ,   0,   0,    FIFTEEN, D, 
AL, 15, 2005090600,   , BEST,   0, 284N,  666W,  35, 1005, TS,  34, NEQ,   40,   40,   40,   40, 1012,  160,  30,  45,   0,   L,   0,    ,   0,   0,    FIFTEEN, D, 
AL, 15, 2005090606,   , BEST,   0, 285N,  665W,  40, 1002, TS,  34, NEQ,   40,   40,   40,   40, 1012,  160,  25,  50,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090612,   , BEST,   0, 285N,  665W,  50, 1000, TS,  34, NEQ,   40,   40,   40,   40, 1012,  160,  25,  60,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090612,   , BEST,   0, 285N,  665W,  50, 1000, TS,  50, NEQ,   25,   25,   25,   25, 1012,  160,  25,  60,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090618,   , BEST,   0, 286N,  664W,  50,  997, TS,  34, NEQ,   60,   60,   40,   60, 1015,  200,  25,  60,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090618,   , BEST,   0, 286N,  664W,  50,  997, TS,  50, NEQ,   30,   30,   20,   30, 1015,  200,  25,  60,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090700,   , BEST,   0, 287N,  663W,  55,  994, TS,  34, NEQ,   80,   60,   40,   60, 1015,  200,  25,  65,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090700,   , BEST,   0, 287N,  663W,  55,  994, TS,  50, NEQ,   40,   30,   20,   30, 1015,  200,  25,  65,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090706,   , BEST,   0, 287N,  663W,  60,  990, TS,  34, NEQ,   80,   60,   40,   60, 1015,  200,  20,  75,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090706,   , BEST,   0, 287N,  663W,  60,  990, TS,  50, NEQ,   40,   30,   20,   30, 1015,  200,  20,  75,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090712,   , BEST,   0, 289N,  662W,  65,  987, HU,  34, NEQ,  100,  100,   60,   80, 1015,  200,  15,  85,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090712,   , BEST,   0, 289N,  662W,  65,  987, HU,  50, NEQ,   40,   40,   30,   40, 1015,  200,  15,  85,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090712,   , BEST,   0, 289N,  662W,  65,  987, HU,  64, NEQ,   20,   20,    0,   20, 1015,  200,  15,  85,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090718,   , BEST,   0, 293N,  660W,  70,  985, HU,  34, NEQ,  100,  100,   60,   80, 1015,  200,  15,  90,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090718,   , BEST,   0, 293N,  660W,  70,  985, HU,  50, NEQ,   40,   40,   30,   40, 1015,  200,  15,  90,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090718,   , BEST,   0, 293N,  660W,  70,  985, HU,  64, NEQ,   20,   20,   20,   20, 1015,  200,  15,  90,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090800,   , BEST,   0, 296N,  657W,  75,  984, HU,  34, NEQ,  100,  100,   60,   80, 1015,  200,  15,  90,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090800,   , BEST,   0, 296N,  657W,  75,  984, HU,  50, NEQ,   40,   40,   30,   40, 1015,  200,  15,  90,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090800,   , BEST,   0, 296N,  657W,  75,  984, HU,  64, NEQ,   20,   20,   20,   20, 1015,  200,  15,  90,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090806,   , BEST,   0, 300N,  650W,  75,  982, HU,  34, NEQ,  100,  100,   60,   80, 1015,  200,  15,  90,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090806,   , BEST,   0, 300N,  650W,  75,  982, HU,  50, NEQ,   40,   40,   30,   40, 1015,  200,  15,  90,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090806,   , BEST,   0, 300N,  650W,  75,  982, HU,  64, NEQ,   20,   20,   20,   20, 1015,  200,  15,  90,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090812,   , BEST,   0, 305N,  638W,  75,  982, HU,  34, NEQ,  120,  120,   60,   60, 1015,  200,  15,  90,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090812,   , BEST,   0, 305N,  638W,  75,  982, HU,  50, NEQ,   40,   40,   40,   40, 1015,  200,  15,  90,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090812,   , BEST,   0, 305N,  638W,  75,  982, HU,  64, NEQ,   20,   20,   20,   20, 1015,  200,  15,  90,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090818,   , BEST,   0, 314N,  627W,  75,  982, HU,  34, NEQ,  120,  120,   60,   60, 1015,  200,  15,  90,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090818,   , BEST,   0, 314N,  627W,  75,  982, HU,  50, NEQ,   40,   40,   40,   40, 1015,  200,  15,  90,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090818,   , BEST,   0, 314N,  627W,  75,  982, HU,  64, NEQ,   20,   20,   20,   20, 1015,  200,  15,  90,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090900,   , BEST,   0, 326N,  611W,  80,  979, HU,  34, NEQ,  200,  180,   90,  120, 1015,  200,  15, 100,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090900,   , BEST,   0, 326N,  611W,  80,  979, HU,  50, NEQ,   75,   75,   30,   75, 1015,  200,  15, 100,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090900,   , BEST,   0, 326N,  611W,  80,  979, HU,  64, NEQ,   25,   25,   20,   20, 1015,  200,  15, 100,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090906,   , BEST,   0, 334N,  591W,  70,  985, HU,  34, NEQ,  240,  180,   90,  120, 1015,  200,  15,  85,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090906,   , BEST,   0, 334N,  591W,  70,  985, HU,  50, NEQ,  120,   90,   30,   75, 1015,  200,  15,  85,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090906,   , BEST,   0, 334N,  591W,  70,  985, HU,  64, NEQ,   60,   50,   20,   50, 1015,  200,  15,  85,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090912,   , BEST,   0, 340N,  558W,  65,  986, HU,  34, NEQ,  150,  210,  180,  120, 1015,  200,  15,  80,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090912,   , BEST,   0, 340N,  558W,  65,  986, HU,  50, NEQ,   90,  120,   90,   45, 1015,  200,  15,  80,   0,   L,   0,    ,   0,   0,       NATE, D, 
AL, 15, 2005090912,   , BEST,   0, 340N,  558W,  65,  986, HU,  64, NEQ,    0,   45,    0,    0, 1015,  200,  15,  80,   0,   L,   0,    ,   0,   0,       NATE, D, 
