AL, 29, 2005112906,   , BEST,   0, 315N,  492W,  45,  993, TS,  34, NEQ,   45,    0,   90,  120, 
AL, 29, 2005112912,   , BEST,   0, 316N,  500W,  45,  993, TS,  34, NEQ,   45,    0,   90,  120, 1006,  350, 100,   0,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005112918,   , BEST,   0, 314N,  508W,  45,  993, TS,  34, NEQ,   45,    0,   90,  120, 1006,  350, 100,  55,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005113000,   , BEST,   0, 314N,  515W,  45,  993, TS,  34, NEQ,   45,   45,   90,  120, 1006,  350,  30,  55,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005113006,   , BEST,   0, 311N,  525W,  50,  992, TS,  34, NEQ,   60,   45,   75,  120, 1006,  350,  30,  55,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005113006,   , BEST,   0, 311N,  525W,  50,  992, TS,  50, NEQ,    0,    0,    0,   30, 1006,  350,  30,  55,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005113012,   , BEST,   0, 308N,  535W,  55,  991, TS,  34, NEQ,   60,   60,   75,   90, 1006,  350,  30,  60,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005113012,   , BEST,   0, 308N,  535W,  55,  991, TS,  50, NEQ,    0,    0,    0,   30, 1006,  350,  30,  60,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005113018,   , BEST,   0, 301N,  542W,  50,  991, TS,  34, NEQ,   60,   90,   60,   60, 1006,  350,  30,  75,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005113018,   , BEST,   0, 301N,  542W,  50,  991, TS,  50, NEQ,    0,    0,    0,   30, 1006,  350,  30,  75,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005120100,   , BEST,   0, 297N,  538W,  50,  992, TS,  34, NEQ,   60,   90,   60,   60, 1006,  350,  30,  75,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005120100,   , BEST,   0, 297N,  538W,  50,  992, TS,  50, NEQ,    0,   30,   30,   30, 1006,  350,  30,  75,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005120106,   , BEST,   0, 300N,  527W,  50,  992, TS,  34, NEQ,   75,   75,   75,   75, 1006,  350,  30,  65,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005120106,   , BEST,   0, 300N,  527W,  50,  992, TS,  50, NEQ,    0,   45,    0,    0, 1006,  350,  30,  65,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005120112,   , BEST,   0, 308N,  519W,  50,  992, TS,  34, NEQ,   75,   75,   75,   75, 1006,  350,  30,  65,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005120112,   , BEST,   0, 308N,  519W,  50,  992, TS,  50, NEQ,    0,   45,    0,    0, 1006,  350,  30,  65,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005120118,   , BEST,   0, 314N,  513W,  55,  991, TS,  34, NEQ,   90,   90,   90,   90, 1006,  350,  30,  75,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005120118,   , BEST,   0, 314N,  513W,  55,  991, TS,  50, NEQ,   30,   40,   30,   30, 1006,  350,  30,  75,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005120200,   , BEST,   0, 319N,  506W,  55,  991, TS,  34, NEQ,   90,   90,   90,   90, 1006,  350,  30,  65,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005120200,   , BEST,   0, 319N,  506W,  55,  991, TS,  50, NEQ,   30,   30,   30,   30, 1006,  350,  30,  65,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005120206,   , BEST,   0, 325N,  498W,  55,  990, TS,  34, NEQ,   90,   75,   75,   90, 1009,  350,  30,  65,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005120206,   , BEST,   0, 325N,  498W,  55,  990, TS,  50, NEQ,   30,   30,   30,   30, 1009,  350,  30,  65,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005120212,   , BEST,   0, 332N,  489W,  60,  989, TS,  34, NEQ,   90,   75,   75,   90, 1009,  350,  30,  75,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005120212,   , BEST,   0, 332N,  489W,  60,  989, TS,  50, NEQ,   30,   30,   30,   30, 1009,  350,  30,  75,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005120218,   , BEST,   0, 339N,  479W,  65,  987, HU,  34, NEQ,   90,   90,   90,   90, 1009,  350,  15,  80,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
AL, 29, 2005120218,   , BEST,   0, 339N,  479W,  65,  987, HU,  50, NEQ,   30,   30,   30,   30, 1009,  350,  15,  80,   0,   L,   0,    ,   0,   0,    EPSILON, D, 
