EP, 11, 2005091418,   , BEST,   0, 123N, 1180W,  30, 1009, TD,   0,    ,    0,    0,    0,    0, 1012,  125,  30,  40,   0,   E,   0,    ,   0,   0,     ELEVEN, M, 
EP, 11, 2005091500,   , BEST,   0, 128N, 1187W,  30, 1006, TD,  34, NEQ,    0,    0,    0,    0, 1012,  125,  30,  40,   0,   E,   0,    ,   0,   0,     ELEVEN, M, 
EP, 11, 2005091506,   , BEST,   0, 129N, 1193W,  40, 1002, TS,  34, NEQ,   40,   40,    0,   20, 1010,  150,  30,  45,   0,   E,   0,    ,   0,   0,    KENNETH, D, 
EP, 11, 2005091512,   , BEST,   0, 129N, 1198W,  50,  997, TS,  34, NEQ,   45,   45,   45,   45, 1010,  175,  30,  55,   0,   E,   0,    ,   0,   0,    KENNETH, D, 
EP, 11, 2005091512,   , BEST,   0, 129N, 1198W,  50,  997, TS,  50, NEQ,   25,   25,   25,   25, 
EP, 11, 2005091518,   , BEST,   0, 129N, 1204W,  55,  994, TS,  34, NEQ,   60,   60,   60,   60, 1010,  175,  30,  60,   0,   E,   0,    ,   0,   0,    KENNETH, D, 
EP, 11, 2005091518,   , BEST,   0, 129N, 1204W,  55,  994, TS,  50, NEQ,   30,   30,   30,   30, 1010,  175,  30,  60,   0,   E,   0,    ,   0,   0,    KENNETH, D, 
EP, 11, 2005091600,   , BEST,   0, 130N, 1213W,  65,  987, HU,  34, NEQ,   75,   75,   75,   75, 1010,  175,  15,  80,   0,   E,   0,    ,   0,   0,    KENNETH, D, 
EP, 11, 2005091600,   , BEST,   0, 130N, 1213W,  65,  987, HU,  50, NEQ,   45,   45,   45,   45, 1010,  175,  15,  80,   0,   E,   0,    ,   0,   0,    KENNETH, D, 
EP, 11, 2005091600,   , BEST,   0, 130N, 1213W,  65,  987, HU,  64, NEQ,   20,   20,   20,   20, 1010,  175,  15,  80,   0,   E,   0,    ,   0,   0,    KENNETH, D, 
EP, 11, 2005091606,   , BEST,   0, 129N, 1222W,  75,  979, HU,  34, NEQ,   75,   90,   75,   60, 1010,  175,  15,  85,   0,   E,   0,    ,   0,   0,    KENNETH, D, 
EP, 11, 2005091606,   , BEST,   0, 129N, 1222W,  75,  979, HU,  50, NEQ,   45,   50,   45,   30, 1010,  175,  15,  85,   0,   E,   0,    ,   0,   0,    KENNETH, D, 
