EP, 10, 2006082112,   , BEST,   0, 120N, 1018W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  200,  40,  40,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 10, 2006082118,   , BEST,   0, 125N, 1028W,  35, 1004, TS,  34, NEQ,  150,  100,  100,  100, 1010,  200,  40,  45,   0,   E,   0,    ,   0,   0,     ILEANA, M, 
EP, 10, 2006082200,   , BEST,   0, 131N, 1039W,  40, 1002, TS,  34, NEQ,  150,  125,  100,  125, 1010,  200,  40,  50,   0,   E,   0,    ,   0,   0,     ILEANA, M, 
EP, 10, 2006082206,   , BEST,   0, 138N, 1050W,  50,  997, TS,  34, NEQ,  150,  125,  100,  125, 1009,  200,  40,  55,   0,   E,   0,    ,   0,   0,     ILEANA, M, 
EP, 10, 2006082206,   , BEST,   0, 138N, 1050W,  50,  997, TS,  50, NEQ,   60,   60,   30,   60, 1009,  200,  40,  55,   0,   E,   0,    ,   0,   0,     ILEANA, M, 
EP, 10, 2006082212,   , BEST,   0, 144N, 1061W,  60,  990, TS,  34, NEQ,  150,  125,  100,  125, 1009,  200,  40,  60,   0,   E,   0,    ,   0,   0,     ILEANA, D, 
EP, 10, 2006082212,   , BEST,   0, 144N, 1061W,  60,  990, TS,  50, NEQ,   60,   60,   60,   60, 1009,  200,  40,  60,   0,   E,   0,    ,   0,   0,     ILEANA, D, 
EP, 10, 2006082218,   , BEST,   0, 151N, 1073W,  70,  984, HU,  34, NEQ,  150,  125,  100,  100, 1008,  200,  20,  80,   0,   E,   0,    ,   0,   0,     ILEANA, D, 
EP, 10, 2006082218,   , BEST,   0, 151N, 1073W,  70,  984, HU,  50, NEQ,   60,   60,   60,   60, 1008,  200,  20,  80,   0,   E,   0,    ,   0,   0,     ILEANA, D, 
EP, 10, 2006082218,   , BEST,   0, 151N, 1073W,  70,  984, HU,  64, NEQ,   20,   20,   20,   20, 1008,  200,  20,  80,   0,   E,   0,    ,   0,   0,     ILEANA, D, 
EP, 10, 2006082300,   , BEST,   0, 162N, 1086W,  80,  976, HU,  34, NEQ,  150,  120,  100,  110, 1008,  200,  20,  90,   0,   E,   0,    ,   0,   0,     ILEANA, D, 
EP, 10, 2006082300,   , BEST,   0, 162N, 1086W,  80,  976, HU,  50, NEQ,   60,   60,   60,   60, 1008,  200,  20,  90,   0,   E,   0,    ,   0,   0,     ILEANA, D, 
EP, 10, 2006082300,   , BEST,   0, 162N, 1086W,  80,  976, HU,  64, NEQ,   30,   30,   30,   30, 1008,  200,  20,  90,   0,   E,   0,    ,   0,   0,     ILEANA, D, 
