EP, 17, 2006102106,   , BEST,   0, 157N, 1056W,  30, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  180,  30,  40,   0,   E,   0,    ,   0,   0,  SEVENTEEN, D, 
EP, 17, 2006102112,   , BEST,   0, 158N, 1065W,  35, 1002, TS,  34, NEQ,   50,   50,   30,   50, 1008,  180,  30,  45,   0,   E,   0,    ,   0,   0,       PAUL, D, 
EP, 17, 2006102118,   , BEST,   0, 158N, 1074W,  45, 1000, TS,  34, NEQ,   50,   50,   30,   50, 1008,  180,  30,  55,   0,   E,   0,    ,   0,   0,       PAUL, D, 
EP, 17, 2006102200,   , BEST,   0, 158N, 1081W,  45, 1000, TS,  34, NEQ,   50,   50,   30,   50, 1008,  180,  30,  55,   0,   E,   0,    ,   0,   0,       PAUL, D, 
EP, 17, 2006102206,   , BEST,   0, 158N, 1088W,  45, 1000, TS,  34, NEQ,   50,   50,   30,   50, 1010,  240,  30,  55,   0,   E,   0,    ,   0,   0,       PAUL, D, 
EP, 17, 2006102212,   , BEST,   0, 158N, 1095W,  45, 1000, TS,  34, NEQ,   50,   50,   30,   50, 1010,  300,  30,  55,   0,   E,   0,    ,   0,   0,       PAUL, D, 
EP, 17, 2006102218,   , BEST,   0, 158N, 1102W,  55,  994, TS,  34, NEQ,   60,   60,   40,   60, 1010,  300,  30,  65,   0,   E,   0,    ,   0,   0,       PAUL, D, 
EP, 17, 2006102218,   , BEST,   0, 158N, 1102W,  55,  994, TS,  50, NEQ,   30,   30,   20,   30, 1010,  300,  30,  65,   0,   E,   0,    ,   0,   0,       PAUL, D, 
EP, 17, 2006102300,   , BEST,   0, 159N, 1108W,  75,  980, HU,  34, NEQ,   70,   70,   50,   70, 1010,  300,  20,  85,   0,   E,   0,    ,   0,   0,       PAUL, D, 
EP, 17, 2006102300,   , BEST,   0, 159N, 1108W,  75,  980, HU,  50, NEQ,   35,   35,   25,   35, 1010,  300,  20,  85,   0,   E,   0,    ,   0,   0,       PAUL, D, 
EP, 17, 2006102300,   , BEST,   0, 159N, 1108W,  75,  980, HU,  64, NEQ,   20,   20,   15,   20, 1010,  300,  20,  85,   0,   E,   0,    ,   0,   0,       PAUL, D, 
EP, 17, 2006102306,   , BEST,   0, 161N, 1113W,  85,  973, HU,  34, NEQ,   80,   80,   55,   80, 1012,  300,  15, 105,   0,   E,   0,    ,   0,   0,       PAUL, D, 
