AL, 06, 2007083112,   , BEST,   0, 115N,  566W,  25, 1009, TD,   0,    ,    0,    0,    0,    0, 1012,  120,  40,  40,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 06, 2007083118,   , BEST,   0, 115N,  580W,  30, 1008, TD,   0,    ,    0,    0,    0,    0, 1011,  120,  40,  40,   0,   L,   0,    ,   0,   0,        SIX, M, 
AL, 06, 2007090100,   , BEST,   0, 121N,  594W,  35, 1007, TS,  34, NEQ,   15,   15,    0,    0, 1013,  150,  35,  40,   0,   L,   0,    ,   0,   0,        SIX, M, 
AL, 06, 2007090106,   , BEST,   0, 121N,  611W,  40, 1005, TS,  34, NEQ,   30,    0,    0,   30, 1014,  150,  30,  45,   0,   L,   0,    ,   0,   0,        SIX, D, 
AL, 06, 2007090112,   , BEST,   0, 122N,  628W,  50, 1001, TS,  34, NEQ,   50,   20,    0,   50, 1012,  140,  20,  55,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090112,   , BEST,   0, 122N,  628W,  50, 1001, TS,  50, NEQ,   20,    0,    0,    0, 1012,  140,  20,  55,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090118,   , BEST,   0, 124N,  645W,  60,  999, TS,  34, NEQ,   90,   50,   40,   90, 1012,  150,  15,  75,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090118,   , BEST,   0, 124N,  645W,  60,  999, TS,  50, NEQ,   25,   15,   15,   25, 1012,  150,  15,  75,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090200,   , BEST,   0, 126N,  661W,  65,  992, HU,  34, NEQ,   90,   50,   40,   90, 1012,  150,  15,  80,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090200,   , BEST,   0, 126N,  661W,  65,  992, HU,  50, NEQ,   25,   15,   15,   25, 1012,  150,  15,  80,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090200,   , BEST,   0, 126N,  661W,  65,  992, HU,  64, NEQ,   15,    0,    0,    0, 1012,  150,  15,  80,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090206,   , BEST,   0, 127N,  678W,  85,  985, HU,  34, NEQ,  100,   75,   40,   90, 1012,  150,  15,  85,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090206,   , BEST,   0, 127N,  678W,  85,  985, HU,  50, NEQ,   35,   20,   20,   35, 1012,  150,  15,  85,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090206,   , BEST,   0, 127N,  678W,  85,  985, HU,  64, NEQ,   15,   10,   10,   15, 1012,  150,  15,  85,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090212,   , BEST,   0, 130N,  694W,  90,  980, HU,  34, NEQ,  100,   75,   40,   90, 1012,  150,  15, 105,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090212,   , BEST,   0, 130N,  694W,  90,  980, HU,  50, NEQ,   40,   30,   25,   35, 1012,  150,  15, 105,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090212,   , BEST,   0, 130N,  694W,  90,  980, HU,  64, NEQ,   20,   15,   15,   20, 1012,  150,  15, 105,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090218,   , BEST,   0, 134N,  711W, 115,  962, HU,  34, NEQ,  100,   75,   40,  100, 1012,  150,  15, 135,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090218,   , BEST,   0, 134N,  711W, 115,  962, HU,  50, NEQ,   40,   35,   25,   40, 1012,  150,  15, 135,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090218,   , BEST,   0, 134N,  711W, 115,  962, HU,  64, NEQ,   25,   20,   15,   25, 1012,  150,  15, 135,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090300,   , BEST,   0, 138N,  730W, 150,  935, HU,  34, NEQ,  100,   75,   40,  100, 1012,  150,  10, 175,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090300,   , BEST,   0, 138N,  730W, 150,  935, HU,  50, NEQ,   45,   35,   25,   40, 1012,  150,  10, 175,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090300,   , BEST,   0, 138N,  730W, 150,  935, HU,  64, NEQ,   25,   20,   15,   25, 1012,  150,  10, 175,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090306,   , BEST,   0, 140N,  750W, 150,  930, HU,  34, NEQ,  100,   60,   40,  100, 1012,  150,  10, 175,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090306,   , BEST,   0, 140N,  750W, 150,  930, HU,  50, NEQ,   50,   25,   25,   50, 1012,  150,  10, 175,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090306,   , BEST,   0, 140N,  750W, 150,  930, HU,  64, NEQ,   25,   15,   15,   25, 1012,  150,  10, 175,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090312,   , BEST,   0, 142N,  769W, 140,  937, HU,  34, NEQ,  100,   60,   40,   80, 1011,  200,  10, 175,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090312,   , BEST,   0, 142N,  769W, 140,  937, HU,  50, NEQ,   50,   30,   25,   45, 1011,  200,  10, 175,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090312,   , BEST,   0, 142N,  769W, 140,  937, HU,  64, NEQ,   25,   15,   15,   25, 1011,  200,  10, 175,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090318,   , BEST,   0, 143N,  787W, 115,  951, HU,  34, NEQ,  100,   60,   40,   80, 1011,  200,  10, 155,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090318,   , BEST,   0, 143N,  787W, 115,  951, HU,  50, NEQ,   50,   35,   25,   40, 1011,  200,  10, 155,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090318,   , BEST,   0, 143N,  787W, 115,  951, HU,  64, NEQ,   25,   15,   15,   25, 1011,  200,  10, 155,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090400,   , BEST,   0, 144N,  804W, 115,  950, HU,  34, NEQ,   90,   60,   40,   75, 1011,  175,  10, 140,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090400,   , BEST,   0, 144N,  804W, 115,  950, HU,  50, NEQ,   50,   40,   25,   45, 1011,  175,  10, 140,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090400,   , BEST,   0, 144N,  804W, 115,  950, HU,  64, NEQ,   30,   20,   15,   30, 1011,  175,  10, 140,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090406,   , BEST,   0, 143N,  819W, 135,  939, HU,  34, NEQ,  100,   60,   40,   90, 1011,  175,  10, 165,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090406,   , BEST,   0, 143N,  819W, 135,  939, HU,  50, NEQ,   60,   40,   25,   60, 1011,  175,  10, 165,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090406,   , BEST,   0, 143N,  819W, 135,  939, HU,  64, NEQ,   40,   20,   15,   40, 1011,  175,  10, 165,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090412,   , BEST,   0, 143N,  832W, 140,  934, HU,  34, NEQ,  100,   60,   30,  100, 1011,  175,  10, 170,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090412,   , BEST,   0, 143N,  832W, 140,  934, HU,  50, NEQ,   60,   40,   20,   60, 1011,  175,  10, 170,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090412,   , BEST,   0, 143N,  832W, 140,  934, HU,  64, NEQ,   40,   20,   10,   40, 1011,  175,  10, 170,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090418,   , BEST,   0, 143N,  844W,  85,  962, HU,  34, NEQ,   75,   40,   30,   75, 1011,  175,  15, 105,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090418,   , BEST,   0, 143N,  844W,  85,  962, HU,  50, NEQ,   40,   20,   20,   40, 1011,  175,  15, 105,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090418,   , BEST,   0, 143N,  844W,  85,  962, HU,  64, NEQ,   25,   15,   10,   25, 1011,  175,  15, 105,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090500,   , BEST,   0, 146N,  854W,  50,  982, TS,  34, NEQ,   40,   25,   25,   40, 1009,  150,  15,  60,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090500,   , BEST,   0, 146N,  854W,  50,  982, TS,  50, NEQ,   25,    0,    0,    0, 1009,  150,  15,  60,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090506,   , BEST,   0, 150N,  864W,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1009,  150,  15,  40,   0,   L,   0,    ,   0,   0,      FELIX, D, 
AL, 06, 2007090512,   , BEST,   0, 155N,  873W,  20, 1006, LO,   0,    ,    0,    0,    0,    0, 
AL, 06, 2007090518,   , BEST,   0, 161N,  883W,  20, 1007, LO,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2007090600,   , BEST,   0, 165N,  895W,  20, 1007, LO,   0,    ,    0,    0,    0,    0, 
AL, 06, 2007090606,   , BEST,   0, 167N,  908W,  20, 1007, LO,   0,    ,    0,    0,    0,    0, 
AL, 06, 2007090612,   , BEST,   0, 172N,  924W,  20, 1007, LO,   0,    ,    0,    0,    0,    0, 
AL, 06, 2007090618,   , BEST,   0, 177N,  938W,  15, 1010, LO,   0,    ,    0,    0,    0,    0, 
