EP, 12, 2007091806,   , BEST,   0, 127N, 1063W,  25, 1007, TD,   0,    ,    0,    0,    0,    0, 
EP, 12, 2007091812,   , BEST,   0, 132N, 1071W,  25, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  150,  40,  35,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 12, 2007091818,   , BEST,   0, 137N, 1079W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1011,  175,  30,  40,   0,   E,   0,    ,   0,   0,     TWELVE, M, 
EP, 12, 2007091900,   , BEST,   0, 142N, 1088W,  40, 1002, TS,  34, NEQ,   40,    0,    0,   40, 1011,  175,  30,  45,   0,   E,   0,    ,   0,   0,        IVO, M, 
EP, 12, 2007091906,   , BEST,   0, 146N, 1097W,  50,  997, TS,  34, NEQ,   40,   30,    0,   40, 1010,  175,  20,  60,   0,   E,   0,    ,   0,   0,        IVO, M, 
EP, 12, 2007091906,   , BEST,   0, 146N, 1097W,  50,  997, TS,  50, NEQ,   25,   20,    0,   25, 1010,  175,  20,  60,   0,   E,   0,    ,   0,   0,        IVO, M, 
EP, 12, 2007091912,   , BEST,   0, 150N, 1107W,  55,  994, TS,  34, NEQ,   50,   50,   25,   50, 1010,  190,  15,  65,   0,   E,   0,    ,   0,   0,        IVO, M, 
EP, 12, 2007091912,   , BEST,   0, 150N, 1107W,  55,  994, TS,  50, NEQ,   25,   25,   15,   25, 1010,  190,  15,  65,   0,   E,   0,    ,   0,   0,        IVO, M, 
EP, 12, 2007091918,   , BEST,   0, 153N, 1116W,  60,  991, TS,  34, NEQ,   60,   60,   30,   60, 1010,  190,  15,  75,   0,   E,   0,    ,   0,   0,        IVO, M, 
EP, 12, 2007091918,   , BEST,   0, 153N, 1116W,  60,  991, TS,  50, NEQ,   25,   25,   15,   25, 1010,  190,  15,  75,   0,   E,   0,    ,   0,   0,        IVO, M, 
EP, 12, 2007092000,   , BEST,   0, 157N, 1121W,  65,  987, HU,  34, NEQ,   75,   65,   30,   60, 1010,  190,  15,  80,   0,   E,   0,    ,   0,   0,        IVO, M, 
EP, 12, 2007092000,   , BEST,   0, 157N, 1121W,  65,  987, HU,  50, NEQ,   40,   30,   15,   25, 1010,  190,  15,  80,   0,   E,   0,    ,   0,   0,        IVO, M, 
EP, 12, 2007092000,   , BEST,   0, 157N, 1121W,  65,  987, HU,  64, NEQ,   15,   15,    0,   15, 1010,  190,  15,  80,   0,   E,   0,    ,   0,   0,        IVO, M, 
EP, 12, 2007092006,   , BEST,   0, 162N, 1125W,  65,  987, HU,  34, NEQ,   75,   65,   30,   60, 1010,  190,  15,  80,   0,   E,   0,    ,   0,   0,        IVO, M, 
EP, 12, 2007092006,   , BEST,   0, 162N, 1125W,  65,  987, HU,  50, NEQ,   60,   30,   10,   25, 1010,  190,  15,  80,   0,   E,   0,    ,   0,   0,        IVO, M, 
EP, 12, 2007092006,   , BEST,   0, 162N, 1125W,  65,  987, HU,  64, NEQ,   15,   15,    0,   15, 1010,  190,  15,  80,   0,   E,   0,    ,   0,   0,        IVO, M, 
EP, 12, 2007092012,   , BEST,   0, 168N, 1128W,  65,  986, HU,  34, NEQ,   75,   65,   30,   60, 1010,  190,  15,  80,   0,   E,   0,    ,   0,   0,        IVO, M, 
EP, 12, 2007092012,   , BEST,   0, 168N, 1128W,  65,  986, HU,  50, NEQ,   60,   30,   10,   25, 1010,  190,  15,  80,   0,   E,   0,    ,   0,   0,        IVO, M, 
EP, 12, 2007092012,   , BEST,   0, 168N, 1128W,  65,  986, HU,  64, NEQ,   15,   15,    0,    0, 1010,  190,  15,  80,   0,   E,   0,    ,   0,   0,        IVO, M, 
EP, 12, 2007092018,   , BEST,   0, 175N, 1131W,  70,  985, HU,  34, NEQ,   75,   65,   30,   60, 1010,  190,  15,  85,   0,   E,   0,    ,   0,   0,        IVO, M, 
EP, 12, 2007092018,   , BEST,   0, 175N, 1131W,  70,  985, HU,  50, NEQ,   60,   30,   10,   25, 1010,  190,  15,  85,   0,   E,   0,    ,   0,   0,        IVO, M, 
EP, 12, 2007092018,   , BEST,   0, 175N, 1131W,  70,  985, HU,  64, NEQ,   15,   15,    0,    0, 1010,  190,  15,  85,   0,   E,   0,    ,   0,   0,        IVO, M, 
EP, 12, 2007092100,   , BEST,   0, 182N, 1134W,  70,  984, HU,  34, NEQ,   75,   65,   30,   60, 1010,  190,  15,  85,   0,   E,   0,    ,   0,   0,        IVO, D, 
EP, 12, 2007092100,   , BEST,   0, 182N, 1134W,  70,  984, HU,  50, NEQ,   60,   30,   10,   25, 1010,  190,  15,  85,   0,   E,   0,    ,   0,   0,        IVO, D, 
EP, 12, 2007092100,   , BEST,   0, 182N, 1134W,  70,  984, HU,  64, NEQ,   15,   15,    0,    0, 1010,  190,  15,  85,   0,   E,   0,    ,   0,   0,        IVO, D, 
EP, 12, 2007092106,   , BEST,   0, 188N, 1136W,  70,  984, HU,  34, NEQ,   75,   65,   30,   60, 1010,  190,  15,  85,   0,   E,   0,    ,   0,   0,        IVO, D, 
EP, 12, 2007092106,   , BEST,   0, 188N, 1136W,  70,  984, HU,  50, NEQ,   60,   30,   10,   25, 1010,  190,  15,  85,   0,   E,   0,    ,   0,   0,        IVO, D, 
EP, 12, 2007092106,   , BEST,   0, 188N, 1136W,  70,  984, HU,  64, NEQ,   15,   15,    0,    0, 1010,  190,  15,  85,   0,   E,   0,    ,   0,   0,        IVO, D, 
EP, 12, 2007092112,   , BEST,   0, 193N, 1136W,  65,  987, HU,  34, NEQ,   75,   65,   30,   60, 1010,  190,  15,  80,   0,   E,   0,    ,   0,   0,        IVO, D, 
EP, 12, 2007092112,   , BEST,   0, 193N, 1136W,  65,  987, HU,  50, NEQ,   60,   30,   10,   25, 1010,  190,  15,  80,   0,   E,   0,    ,   0,   0,        IVO, D, 
EP, 12, 2007092112,   , BEST,   0, 193N, 1136W,  65,  987, HU,  64, NEQ,   15,   15,    0,    0, 1010,  190,  15,  80,   0,   E,   0,    ,   0,   0,        IVO, D, 
EP, 12, 2007092118,   , BEST,   0, 198N, 1135W,  60,  990, TS,  34, NEQ,   75,   45,   45,   60, 1010,  190,  15,  75,   0,   E,   0,    ,   0,   0,        IVO, D, 
EP, 12, 2007092118,   , BEST,   0, 198N, 1135W,  60,  990, TS,  50, NEQ,   40,   20,   20,   30, 1010,  190,  15,  75,   0,   E,   0,    ,   0,   0,        IVO, D, 
EP, 12, 2007092200,   , BEST,   0, 203N, 1133W,  55,  994, TS,  34, NEQ,   75,   45,   45,   60, 1010,  190,  15,  65,   0,   E,   0,    ,   0,   0,        IVO, D, 
EP, 12, 2007092200,   , BEST,   0, 203N, 1133W,  55,  994, TS,  50, NEQ,   30,   15,   15,   30, 1010,  190,  15,  65,   0,   E,   0,    ,   0,   0,        IVO, D, 
EP, 12, 2007092206,   , BEST,   0, 207N, 1131W,  50,  997, TS,  34, NEQ,   60,   45,   20,   50, 1010,  190,  15,  60,   0,   E,   0,    ,   0,   0,        IVO, D, 
EP, 12, 2007092206,   , BEST,   0, 207N, 1131W,  50,  997, TS,  50, NEQ,    0,    0,    0,   20, 1010,  190,  15,  60,   0,   E,   0,    ,   0,   0,        IVO, D, 
EP, 12, 2007092212,   , BEST,   0, 212N, 1128W,  45,  999, TS,  34, NEQ,   40,    0,    0,   40, 1010,  225,  15,  60,   0,   E,   0,    ,   0,   0,        IVO, D, 
EP, 12, 2007092218,   , BEST,   0, 216N, 1125W,  35, 1002, TS,  34, NEQ,   40,    0,    0,   40, 1010,  225,  30,  60,   0,   E,   0,    ,   0,   0,        IVO, D, 
EP, 12, 2007092300,   , BEST,   0, 219N, 1121W,  30, 1004, TD,   0,    ,    0,    0,    0,    0, 1010,  110,  30,  55,   0,   E,   0,    ,   0,   0,        IVO, M, 
EP, 12, 2007092306,   , BEST,   0, 220N, 1118W,  25, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  110,  30,  40,   0,   E,   0,    ,   0,   0,        IVO, S, 
EP, 12, 2007092312,   , BEST,   0, 220N, 1115W,  25, 1007, TD,   0,    ,    0,    0,    0,    0, 1010,  110,  30,  35,   0,   E,   0,    ,   0,   0,        IVO, S, 
EP, 12, 2007092318,   , BEST,   0, 220N, 1111W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  175,  30,  35,   0,   E,   0,    ,   0,   0,        IVO, S, 
EP, 12, 2007092400,   , BEST,   0, 220N, 1107W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 
