AL, 05, 2008061112, 03,  CMC,   0,  92N,  567W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2008061112, 03,  CMC,   6,  92N,  586W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2008061112, 03,  CMC,  12,  93N,  604W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2008061112, 03, AC00,   0,  79N,  572W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2008061112, 03, AEMN,   0,  78N,  570W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2008061112, 03, AP02,   0,  79N,  572W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2008061112, 03, AP03,   0,  78N,  563W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2008061112, 03, AP03,   6,  76N,  564W,  12, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2008061112, 03, AP04,   0,  78N,  567W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2008061112, 03, AP05,   0,  76N,  571W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2008061112, 03, AP06,   0,  76N,  572W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2008061112, 03, AP06,   6,  65N,  584W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2008061112, 03, AP06,  12,  54N,  593W,  10, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2008061112, 03, AP08,   0,  78N,  571W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2008061112, 03, AP11,   0,  80N,  572W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2008061112, 03, AP11,   6,  80N,  581W,  11, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2008061112, 03, AP12,   0,  82N,  579W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
