EP, 08, 2008060212, 03,  CMC,   0, 142N,  939W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03,  CMC,   6, 144N,  938W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03,  CMC,  12, 149N,  937W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03,  CMC,  18, 154N,  936W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03,  CMC,  24, 162N,  938W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03,  CMC,  30, 170N,  937W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03,  CMC,  36, 177N,  940W,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03,  CMC,  42, 182N,  942W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03,  CMC,  48, 190N,  950W,  27, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03,  CMC,  54, 193N,  956W,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03,  CMC,  60, 197N,  959W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03,  CMC,  66, 199N,  962W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03,  ETA,   0, 146N,  945W,  22, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03,  ETA,   6, 147N,  953W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03,  ETA,  12, 140N,  960W,  27, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AC00,   0, 144N,  934W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AC00,   6, 141N,  935W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AC00,  12, 141N,  940W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AC00,  18, 135N,  944W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AC00,  24, 138N,  949W,  11, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AC00,  30, 140N,  951W,   8, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AC00,  36, 133N,  952W,  11, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AC00,  42, 137N,  956W,  11, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AEMN,   0, 144N,  934W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AEMN,   6, 142N,  935W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AEMN,  12, 141N,  939W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AEMN,  18, 137N,  945W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AEMN,  24, 136N,  949W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AEMN,  30, 139N,  953W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AEMN,  36, 139N,  956W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AEMN,  42, 139N,  957W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AEMN,  48, 140N,  956W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP01,   0, 145N,  934W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP01,   6, 143N,  935W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP01,  12, 141N,  939W,  17, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP01,  18, 135N,  948W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP01,  24, 134N,  950W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP02,   0, 145N,  934W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP02,   6, 144N,  932W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP02,  12, 146N,  934W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP02,  18, 143N,  940W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP02,  24, 140N,  949W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP02,  30, 143N,  951W,  11, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP03,   0, 144N,  934W,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP03,   6, 142N,  936W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP03,  12, 140N,  940W,  16, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP03,  18, 136N,  943W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP03,  24, 138N,  949W,  11, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP03,  30, 140N,  947W,  11, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP03,  36, 140N,  950W,   9, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP03,  42, 134N,  952W,  10, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP03,  48, 134N,  951W,  11, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP03,  54, 139N,  953W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP04,   0, 145N,  932W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP04,   6, 143N,  930W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP04,  12, 142N,  932W,  16, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP04,  18, 138N,  942W,  11, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP04,  24, 136N,  946W,  10, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP05,   0, 145N,  934W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP05,   6, 143N,  932W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP05,  12, 144N,  932W,  16, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP05,  18, 150N,  929W,  10, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP06,   0, 144N,  935W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP06,   6, 144N,  940W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP06,  12, 141N,  941W,  15, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP06,  18, 136N,  947W,  11, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP06,  24, 136N,  952W,   9, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP06,  30, 138N,  955W,   9, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP06,  36, 143N,  958W,  10, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 08, 2008060212, 03, AP06,  42, 140N,  958W,   9, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
