EP, 18, 2008080812, 03, AP04,   0, 121N, 1068W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080812, 03, AP04,   6, 119N, 1075W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080812, 03, AP05,   0, 109N, 1062W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080812, 03, AP09,   0, 125N, 1069W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080812, 03, AP09,   6, 123N, 1079W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080812, 03, AP09,  12, 117N, 1084W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080812, 03, AP16,   0, 122N, 1067W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080812, 03, AP16,   6, 123N, 1069W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080812, 03, AP16,  12, 128N, 1074W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080812, 03, AP16,  18, 123N, 1076W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080812, 03, AP16,  24, 116N, 1073W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080812, 03, AP16,  30, 115N, 1062W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080812, 03, CEMN,   0, 117N, 1064W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AC00,   0, 125N, 1077W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AC00,   6, 123N, 1084W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AC00,  12, 123N, 1091W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AC00,  18, 120N, 1092W,  11, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AC00,  24, 124N, 1095W,  10, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AC00,  30, 123N, 1096W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AC00,  36, 119N, 1097W,  10, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AC00,  42, 119N, 1105W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AC00,  48, 116N, 1110W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AC00,  54, 118N, 1120W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AC00,  60, 111N, 1117W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AC00,  66, 119N, 1120W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AC00,  72, 115N, 1132W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AEMN,   0, 124N, 1074W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AEMN,   6, 122N, 1081W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AEMN,  12, 119N, 1088W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP01,   0, 123N, 1070W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP01,   6, 114N, 1077W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP01,  12, 105N, 1093W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP01,  18, 103N, 1090W,  11, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP01,  24, 111N, 1094W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP01,  30, 115N, 1098W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP01,  36, 117N, 1115W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP01,  42, 123N, 1112W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP01,  48, 123N, 1119W,  12, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP01,  54, 117N, 1121W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP01,  60, 119N, 1131W,  12, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP01,  66, 111N, 1126W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP01,  72,  99N, 1136W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP01,  78, 101N, 1140W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP01,  84,  94N, 1144W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP01,  90,  94N, 1139W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP01,  96,  89N, 1141W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP02,   0, 121N, 1080W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP02,   6, 127N, 1094W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP03,   0, 124N, 1072W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP03,   6, 118N, 1094W,  11, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP03,  12, 118N, 1100W,   9, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09,   0, 112N, 1069W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09,   6, 119N, 1077W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09,  12, 120N, 1090W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09,  18, 120N, 1094W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP09,  24, 121N, 1094W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
