AL, 11, 2008092500,   , BEST,   0, 215N,  700W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 
AL, 11, 2008092506,   , BEST,   0, 220N,  694W,  35, 1003, TS,  34, NEQ,   90,   90,    0,    0,  850,    0,   0,   0,   0, 
AL, 11, 2008092512,   , BEST,   0, 224N,  687W,  40, 1002, TS,  34, NEQ,  100,  100,    0,    0, 1008,  190,  40,   0,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 11, 2008092518,   , BEST,   0, 231N,  684W,  40, 1001, TS,  34, NEQ,  100,  100,    0,    0, 1008,  150,  40,  50,   0,   L,   0,    ,   0,   0,       KYLE, D, 
AL, 11, 2008092600,   , BEST,   0, 240N,  680W,  45,  998, TS,  34, NEQ,   90,  100,   15,   15, 1009,  150,  40,  55,   0,   L,   0,    ,   0,   0,       KYLE, D, 12, NEQ, 150, 120,   0,   0
AL, 11, 2008092606,   , BEST,   0, 250N,  682W,  50,  996, TS,  34, NEQ,  140,  120,   20,   30, 1009,  150,  30,  55,   0,   L,   0,    ,   0,   0,       KYLE, D, 12, NEQ, 150, 120,  30, 150
AL, 11, 2008092606,   , BEST,   0, 250N,  682W,  50,  996, TS,  50, NEQ,   30,    0,    0,    0, 1009,  150,  30,  55,   0,   L,   0,    ,   0,   0,       KYLE, D, 12, NEQ, 150, 120,  30, 150
AL, 11, 2008092612,   , BEST,   0, 260N,  686W,  50,  998, TS,  34, NEQ,  180,  120,   20,   30, 1011,  150,  30,  60,   0,   L,   0,    ,   0,   0,       KYLE, M, 12, NEQ, 150, 120,  30, 150
AL, 11, 2008092612,   , BEST,   0, 260N,  686W,  50,  998, TS,  50, NEQ,   45,    0,    0,    0, 1011,  150,  30,  60,   0,   L,   0,    ,   0,   0,       KYLE, M, 12, NEQ, 150, 120,  30, 150
AL, 11, 2008092618,   , BEST,   0, 269N,  686W,  50, 1000, TS,  34, NEQ,  180,  140,    0,    0, 1012,  150,  90,  60,   0,   L,   0,    ,   0,   0,       KYLE, M, 12, NEQ, 200, 150,  30, 120
AL, 11, 2008092618,   , BEST,   0, 269N,  686W,  50, 1000, TS,  50, NEQ,   90,    0,    0,    0, 1012,  150,  90,  60,   0,   L,   0,    ,   0,   0,       KYLE, M, 12, NEQ, 200, 150,  30, 120
AL, 11, 2008092700,   , BEST,   0, 287N,  686W,  55,  998, TS,  34, NEQ,  180,  140,    0,    0, 1012,  150,  90,  60,   0,   L,   0,    ,   0,   0,       KYLE, M, 12, NEQ, 360, 150,  30, 150
AL, 11, 2008092700,   , BEST,   0, 287N,  686W,  55,  998, TS,  50, NEQ,   90,    0,    0,    0, 1012,  150,  90,  60,   0,   L,   0,    ,   0,   0,       KYLE, M, 12, NEQ, 360, 150,  30, 150
AL, 11, 2008092706,   , BEST,   0, 299N,  693W,  60,  996, TS,  34, NEQ,  180,  140,    0,  110, 1012,  150,  90,  75,   0,   L,   0,    ,   0,   0,       KYLE, D, 12, NEQ, 360, 240,  75, 240
AL, 11, 2008092706,   , BEST,   0, 299N,  693W,  60,  996, TS,  50, NEQ,   90,    0,    0,    0, 1012,  150,  90,  75,   0,   L,   0,    ,   0,   0,       KYLE, D, 12, NEQ, 360, 240,  75, 240
