AL, 12, 2008092600,   , BEST,   0, 390N,  350W,  40, 1011, EX,  34, NEQ,    0,    0,  360,  420, 
AL, 12, 2008092606,   , BEST,   0, 379N,  350W,  45, 1010, EX,  34, NEQ,    0,    0,  360,  420, 
AL, 12, 2008092612,   , BEST,   0, 370N,  355W,  50, 1009, EX,  34, NEQ,    0,    0,  360,  360, 
AL, 12, 2008092612,   , BEST,   0, 370N,  355W,  50, 1009, EX,  50, NEQ,    0,    0,  240,  240, 
AL, 12, 2008092618,   , BEST,   0, 365N,  360W,  55, 1007, EX,  34, NEQ,  240,    0,  360,  360, 
AL, 12, 2008092618,   , BEST,   0, 365N,  360W,  55, 1007, EX,  50, NEQ,    0,    0,  240,  240, 
AL, 12, 2008092700,   , BEST,   0, 370N,  365W,  60, 1004, EX,  34, NEQ,  300,    0,  300,  360, 
AL, 12, 2008092700,   , BEST,   0, 370N,  365W,  60, 1004, EX,  50, NEQ,  150,    0,  240,  240, 
AL, 12, 2008092706,   , BEST,   0, 374N,  372W,  65,  998, EX,  34, NEQ,  360,  240,  240,  360, 
AL, 12, 2008092706,   , BEST,   0, 374N,  372W,  65,  998, EX,  50, NEQ,  150,  150,  150,  240, 
AL, 12, 2008092706,   , BEST,   0, 374N,  372W,  65,  998, EX,  64, NEQ,  120,    0,    0,  180, 
AL, 12, 2008092712,   , BEST,   0, 375N,  380W,  70,  992, EX,  34, NEQ,  360,  240,  240,  360, 
AL, 12, 2008092712,   , BEST,   0, 375N,  380W,  70,  992, EX,  50, NEQ,  150,  150,  150,  240, 
AL, 12, 2008092712,   , BEST,   0, 375N,  380W,  70,  992, EX,  64, NEQ,  120,    0,    0,  180, 
AL, 12, 2008092718,   , BEST,   0, 374N,  390W,  70,  992, EX,  34, NEQ,  360,  240,  240,  360, 
AL, 12, 2008092718,   , BEST,   0, 374N,  390W,  70,  992, EX,  50, NEQ,  150,  150,  150,  240, 
AL, 12, 2008092718,   , BEST,   0, 374N,  390W,  70,  992, EX,  64, NEQ,  120,    0,    0,  180, 
AL, 12, 2008092800,   , BEST,   0, 373N,  400W,  60,  994, EX,  34, NEQ,  300,  200,  240,  330, 
AL, 12, 2008092800,   , BEST,   0, 373N,  400W,  60,  994, EX,  50, NEQ,  150,  120,  120,  200, 
AL, 12, 2008092806,   , BEST,   0, 372N,  412W,  55,  994, EX,  34, NEQ,  300,  120,  240,  330, 
AL, 12, 2008092806,   , BEST,   0, 372N,  412W,  55,  994, EX,  50, NEQ,  150,   90,  120,  200, 
AL, 12, 2008092812,   , BEST,   0, 370N,  425W,  50,  995, EX,  34, NEQ,  300,  120,  240,  330, 1011,  330, 100,   0,   0,   L,   0,    ,   0,   0,     INVEST, D, 
AL, 12, 2008092812,   , BEST,   0, 370N,  425W,  50,  995, EX,  50, NEQ,   90,   90,  120,  180, 1011,  330, 100,   0,   0,   L,   0,    ,   0,   0,     INVEST, D, 
AL, 12, 2008092818,   , BEST,   0, 368N,  441W,  50,  995, EX,  34, NEQ,  300,  120,  240,  330, 1011,  330,  90,   0,   0,   L,   0,    ,   0,   0,     INVEST, D, 
AL, 12, 2008092818,   , BEST,   0, 368N,  441W,  50,  995, EX,  50, NEQ,   90,   90,  120,  180, 1011,  330,  90,   0,   0,   L,   0,    ,   0,   0,     INVEST, D, 
AL, 12, 2008092900,   , BEST,   0, 367N,  457W,  50,  995, EX,  34, NEQ,  240,  120,  210,  270, 1012,  275, 100,   0,   0,   L,   0,    ,   0,   0,     INVEST, D, 
AL, 12, 2008092900,   , BEST,   0, 367N,  457W,  50,  995, EX,  50, NEQ,   90,   90,  100,  120, 1012,  275, 100,   0,   0,   L,   0,    ,   0,   0,     INVEST, D, 
AL, 12, 2008092906,   , BEST,   0, 370N,  470W,  50,  995, SS,  34, NEQ,  240,  200,  210,  270, 1012,  275,  60,   0,   0,   L,   0,    ,   0,   0,      LAURA, D, 
AL, 12, 2008092906,   , BEST,   0, 370N,  470W,  50,  995, SS,  50, NEQ,   80,   80,  100,  120, 1012,  275,  60,   0,   0,   L,   0,    ,   0,   0,      LAURA, D, 
AL, 12, 2008092912,   , BEST,   0, 372N,  477W,  50,  995, SS,  34, NEQ,  240,  200,  150,  180, 1012,  275,  75,  60,   0,   L,   0,    ,   0,   0,      LAURA, D, 12, NEQ, 480, 400, 480, 300
AL, 12, 2008092912,   , BEST,   0, 372N,  477W,  50,  995, SS,  50, NEQ,   80,  100,    0,    0, 1012,  275,  75,  60,   0,   L,   0,    ,   0,   0,      LAURA, D, 12, NEQ, 480, 400, 480, 300
AL, 12, 2008092918,   , BEST,   0, 378N,  482W,  50,  995, SS,  34, NEQ,  210,  210,  150,  180, 1012,  275,  75,  60,   0,   L,   0,    ,   0,   0,      LAURA, D, 12, NEQ, 360, 360, 360, 360
AL, 12, 2008092918,   , BEST,   0, 378N,  482W,  50,  995, SS,  50, NEQ,   80,   80,    0,    0, 1012,  275,  75,  60,   0,   L,   0,    ,   0,   0,      LAURA, D, 12, NEQ, 360, 360, 360, 360
AL, 12, 2008093000,   , BEST,   0, 386N,  485W,  50,  996, SS,  34, NEQ,  175,  240,  150,  180, 1016,  300,  70,  60,   0,   L,   0,    ,   0,   0,      LAURA, D, 12, NEQ, 360, 360, 400, 360
AL, 12, 2008093000,   , BEST,   0, 386N,  485W,  50,  996, SS,  50, NEQ,   70,   60,    0,    0, 1016,  300,  70,  60,   0,   L,   0,    ,   0,   0,      LAURA, D, 12, NEQ, 360, 360, 400, 360
AL, 12, 2008093006,   , BEST,   0, 396N,  488W,  50,  996, SS,  34, NEQ,  175,  240,  150,  180, 1016,  300,  70,  60,   0,   L,   0,    ,   0,   0,      LAURA, D, 
AL, 12, 2008093006,   , BEST,   0, 396N,  488W,  50,  996, SS,  50, NEQ,   70,   60,    0,    0, 1016,  300,  70,  60,   0,   L,   0,    ,   0,   0,      LAURA, D, 
AL, 12, 2008093012,   , BEST,   0, 406N,  489W,  50,  996, TS,  34, NEQ,  200,  200,   75,  210, 1010,  275,  60,  60,   0,   L,   0,    ,   0,   0,      LAURA, D, 12, NEQ, 360, 360, 400, 360
AL, 12, 2008093012,   , BEST,   0, 406N,  489W,  50,  996, TS,  50, NEQ,   60,    0,    0,    0, 1010,  275,  60,  60,   0,   L,   0,    ,   0,   0,      LAURA, D, 12, NEQ, 360, 360, 400, 360
AL, 12, 2008093018,   , BEST,   0, 417N,  488W,  50,  994, TS,  34, NEQ,  200,  200,   75,  240, 1010,  250,  50,  60,   0,   L,   0,    ,   0,   0,      LAURA, D, 
AL, 12, 2008093018,   , BEST,   0, 417N,  488W,  50,  994, TS,  50, NEQ,   50,    0,    0,    0, 1010,  250,  50,  60,   0,   L,   0,    ,   0,   0,      LAURA, D, 
AL, 12, 2008100100,   , BEST,   0, 429N,  483W,  45,  995, TS,  34, NEQ,  200,  200,   75,  240, 1010,  250,  50,  55,   0,   L,   0,    ,   0,   0,      LAURA, D, 12, NEQ, 360, 360, 270, 300
AL, 12, 2008100106,   , BEST,   0, 442N,  477W,  45,  995, TS,  34, NEQ,  200,  200,   75,  240, 1010,  250,  50,  55,   0,   L,   0,    ,   0,   0,      LAURA, D, 12, NEQ, 360, 360, 270, 300
AL, 12, 2008100112,   , BEST,   0, 457N,  469W,  40,  995, LO,  34, NEQ,  200,  200,   75,  240, 1012,  250,  50,  50,   0,   L,   0,    ,   0,   0,      LAURA, M, 12, NEQ, 360, 360, 270, 300
AL, 12, 2008100118,   , BEST,   0, 475N,  463W,  40,  995, LO,  34, NEQ,  200,  200,   75,  240, 
AL, 12, 2008100200,   , BEST,   0, 495N,  460W,  35,  997, LO,  34, NEQ,  200,  200,   75,  240, 
AL, 12, 2008100206,   , BEST,   0, 515N,  460W,  35,  996, EX,  34, NEQ,  200,  200,   75,  240, 
AL, 12, 2008100212,   , BEST,   0, 535N,  460W,  40,  992, EX,  34, NEQ,  200,  200,   75,  240, 
AL, 12, 2008100218,   , BEST,   0, 556N,  455W,  40,  992, EX,  34, NEQ,  200,  200,   75,  240, 
AL, 12, 2008100300,   , BEST,   0, 569N,  440W,  50,  991, EX,  34, NEQ,  240,  240,  150,  240, 
AL, 12, 2008100300,   , BEST,   0, 569N,  440W,  50,  991, EX,  50, NEQ,   90,    0,    0,  150, 
AL, 12, 2008100306,   , BEST,   0, 570N,  420W,  65,  990, EX,  34, NEQ,  300,  240,  150,  330, 
AL, 12, 2008100306,   , BEST,   0, 570N,  420W,  65,  990, EX,  50, NEQ,  180,    0,    0,  180, 
AL, 12, 2008100306,   , BEST,   0, 570N,  420W,  65,  990, EX,  64, NEQ,  120,    0,    0,  120, 
AL, 12, 2008100312,   , BEST,   0, 570N,  400W,  60,  992, EX,  50, NEQ,  180,    0,    0,  240, 
AL, 12, 2008100318,   , BEST,   0, 570N,  370W,  55,  994, EX,  34, NEQ,  300,  240,  150,  330, 
AL, 12, 2008100318,   , BEST,   0, 570N,  370W,  55,  994, EX,  50, NEQ,  180,    0,    0,  240,
AL, 12, 2008100400,   , BEST,   0, 565N,  314W,  45,  996, EX,  34, NEQ,  180,  150,  150,  330, 
AL, 12, 2008100406,   , BEST,   0, 560N,  260W,  40,  997, EX,  34, NEQ,  180,  150,  150,  330, 
