AL, 15, 2008101306,   , BEST,   0, 154N,  690W,  25, 1005, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  75,   0,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 15, 2008101312,   , BEST,   0, 152N,  696W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  75,  40,   0,   L,   0,    ,   0,   0,    FIFTEEN, M, 
AL, 15, 2008101318,   , BEST,   0, 148N,  698W,  30, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  75,  40,   0,   L,   0,    ,   0,   0,    FIFTEEN, M, 
AL, 15, 2008101400,   , BEST,   0, 145N,  696W,  35, 1001, TS,  34, NEQ,   40,   40,    0,    0, 1008,  150,  45,  40,   0,   L,   0,    ,   0,   0,    FIFTEEN, M, 
AL, 15, 2008101406,   , BEST,   0, 143N,  693W,  40,  997, TS,  34, NEQ,   45,   45,   45,    0, 1008,  180,  45,  40,   0,   L,   0,    ,   0,   0,    FIFTEEN, M, 
AL, 15, 2008101412,   , BEST,   0, 142N,  691W,  50,  991, TS,  34, NEQ,   60,   60,   60,   15, 1008,  180,  40,   0,   0,   L,   0,    ,   0,   0,       OMAR, D, 
AL, 15, 2008101412,   , BEST,   0, 142N,  691W,  50,  991, TS,  50, NEQ,   30,   30,   30,    0, 1008,  180,  40,   0,   0, 
AL, 15, 2008101418,   , BEST,   0, 139N,  688W,  60,  983, TS,  34, NEQ,   60,   75,   75,   25, 1008,  180,  15,  75,   0,   L,   0,    ,   0,   0,       OMAR, D, 12, NEQ,  60,  60,  30,  30
AL, 15, 2008101418,   , BEST,   0, 139N,  688W,  60,  983, TS,  50, NEQ,   30,   40,   40,    0, 1008,  180,  15,  75,   0,   L,   0,    ,   0,   0,       OMAR, D, 12, NEQ,  60,  60,  30,  30
AL, 15, 2008101500,   , BEST,   0, 141N,  683W,  65,  983, HU,  34, NEQ,   60,   75,  105,   25, 1008,  180,  15,  75,   0,   L,   0,    ,   0,   0,       OMAR, D, 12, NEQ,  70,  90,  50,  30
AL, 15, 2008101500,   , BEST,   0, 141N,  683W,  65,  983, HU,  50, NEQ,   30,   40,   50,    0, 1008,  180,  15,  75,   0,   L,   0,    ,   0,   0,       OMAR, D, 12, NEQ,  70,  90,  50,  30
AL, 15, 2008101500,   , BEST,   0, 141N,  683W,  65,  983, HU,  64, NEQ,   15,   15,   15,    0, 1008,  180,  15,  75,   0,   L,   0,    ,   0,   0,       OMAR, D, 12, NEQ,  70,  90,  50,  30
AL, 15, 2008101506,   , BEST,   0, 144N,  680W,  70,  985, HU,  34, NEQ,   60,  105,  135,   30, 1008,  240,  10,  80,   0,   L,   0,    ,   0,   0,       OMAR, D, 12, NEQ,  60,  90,  60,  60
AL, 15, 2008101506,   , BEST,   0, 144N,  680W,  70,  985, HU,  50, NEQ,   30,   50,   50,    0, 1008,  240,  10,  80,   0,   L,   0,    ,   0,   0,       OMAR, D, 12, NEQ,  60,  90,  60,  60
AL, 15, 2008101506,   , BEST,   0, 144N,  680W,  70,  985, HU,  64, NEQ,   15,   15,   15,    0, 1008,  240,  10,  80,   0,   L,   0,    ,   0,   0,       OMAR, D, 12, NEQ,  60,  90,  60,  60
AL, 15, 2008101512,   , BEST,   0, 149N,  674W,  75,  984, HU,  34, NEQ,   75,  105,  120,   45, 1008,  240,  10,  85,   0,   L,   0,    ,   0,   0,       OMAR, D, 12, NEQ,  60,  90,  60,  60
AL, 15, 2008101512,   , BEST,   0, 149N,  674W,  75,  984, HU,  50, NEQ,   40,   50,   50,   20, 1008,  240,  10,  85,   0,   L,   0,    ,   0,   0,       OMAR, D, 12, NEQ,  60,  90,  60,  60
AL, 15, 2008101512,   , BEST,   0, 149N,  674W,  75,  984, HU,  64, NEQ,   15,   15,   15,    0, 1008,  240,  10,  85,   0,   L,   0,    ,   0,   0,       OMAR, D, 12, NEQ,  60,  90,  60,  60
AL, 15, 2008101518,   , BEST,   0, 156N,  665W,  80,  977, HU,  34, NEQ,   90,  120,  105,   60, 1008,  240,  10,  90,   0,   L,   0,    ,   0,   0,       OMAR, D, 12, NEQ, 120, 120,  90,  90
AL, 15, 2008101518,   , BEST,   0, 156N,  665W,  80,  977, HU,  50, NEQ,   40,   60,   50,   30, 1008,  240,  10,  90,   0,   L,   0,    ,   0,   0,       OMAR, D, 12, NEQ, 120, 120,  90,  90
AL, 15, 2008101518,   , BEST,   0, 156N,  665W,  80,  977, HU,  64, NEQ,   15,   25,   15,   15, 1008,  240,  10,  90,   0,   L,   0,    ,   0,   0,       OMAR, D, 12, NEQ, 120, 120,  90,  90
AL, 15, 2008101600,   , BEST,   0, 167N,  652W,  95,  970, HU,  34, NEQ,  105,  120,   90,   60, 1009,  240,  10, 110,   0,   L,   0,    ,   0,   0,       OMAR, D, 12, NEQ, 120, 150, 120,  90
AL, 15, 2008101600,   , BEST,   0, 167N,  652W,  95,  970, HU,  50, NEQ,   60,   60,   40,   40, 1009,  240,  10, 110,   0,   L,   0,    ,   0,   0,       OMAR, D, 12, NEQ, 120, 150, 120,  90
AL, 15, 2008101600,   , BEST,   0, 167N,  652W,  95,  970, HU,  64, NEQ,   20,   30,   20,   15, 1009,  240,  10, 110,   0,   L,   0,    ,   0,   0,       OMAR, D, 12, NEQ, 120, 150, 120,  90
