AL, 17, 2008110518,   , BEST,   0, 137N,  817W,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  180,  75,  35,   0,   L,   0,    ,   0,   0,  SEVENTEEN, M, 
AL, 17, 2008110600,   , BEST,   0, 142N,  820W,  30, 1004, TD,   0,    ,    0,    0,    0,    0, 1009,  180,  75,  40,   0,   L,   0,    ,   0,   0,  SEVENTEEN, M, 
AL, 17, 2008110606,   , BEST,   0, 148N,  821W,  35, 1003, TS,  34, NEQ,    0,    0,    0,   20, 1010,  210,  35,  45,   0,   L,   0,    ,   0,   0,  SEVENTEEN, M, 
AL, 17, 2008110612,   , BEST,   0, 154N,  820W,  40, 1000, TS,  34, NEQ,   30,   30,   20,   20, 1010,  210,  30,  45,   0,   L,   0,    ,   0,   0,     PALOMA, D, 12, NEQ,   0,   0,   0,  20
AL, 17, 2008110618,   , BEST,   0, 161N,  819W,  55,  994, TS,  34, NEQ,   60,   60,   30,   30, 1010,  180,  15,   0,   0,   L,   0,    ,   0,   0,     PALOMA, D, 
AL, 17, 2008110618,   , BEST,   0, 161N,  819W,  55,  994, TS,  50, NEQ,   20,   20,   15,   15, 1010,  180,  15,   0,   0,   L,   0,    ,   0,   0,     PALOMA, D, 
AL, 17, 2008110700,   , BEST,   0, 168N,  818W,  65,  987, HU,  34, NEQ,   60,   60,   40,   40, 1010,  180,  15,  80,   0,   L,   0,    ,   0,   0,     PALOMA, D, 12, NEQ,  60,  60,  30,  30
AL, 17, 2008110700,   , BEST,   0, 168N,  818W,  65,  987, HU,  50, NEQ,   30,   30,   20,   20, 1010,  180,  15,  80,   0,   L,   0,    ,   0,   0,     PALOMA, D, 12, NEQ,  60,  60,  30,  30
AL, 17, 2008110700,   , BEST,   0, 168N,  818W,  65,  987, HU,  64, NEQ,   15,   15,   10,   10, 1010,  180,  15,  80,   0,   L,   0,    ,   0,   0,     PALOMA, D, 12, NEQ,  60,  60,  30,  30
AL, 17, 2008110706,   , BEST,   0, 174N,  817W,  65,  985, HU,  34, NEQ,   65,   65,   40,   40, 1011,  180,  10,  80,   0,   L,   0,    ,   0,   0,     PALOMA, D, 12, NEQ,  60,  60,  30,  30
AL, 17, 2008110706,   , BEST,   0, 174N,  817W,  65,  985, HU,  50, NEQ,   30,   30,   20,   20, 1011,  180,  10,  80,   0,   L,   0,    ,   0,   0,     PALOMA, D, 12, NEQ,  60,  60,  30,  30
AL, 17, 2008110706,   , BEST,   0, 174N,  817W,  65,  985, HU,  64, NEQ,   15,   15,   10,   10, 1011,  180,  10,  80,   0,   L,   0,    ,   0,   0,     PALOMA, D, 12, NEQ,  60,  60,  30,  30
AL, 17, 2008110712,   , BEST,   0, 180N,  816W,  75,  979, HU,  34, NEQ,   85,   70,   45,   55, 1011,  180,  10,  90,   0,   L,   0,    ,   0,   0,     PALOMA, D, 12, NEQ,  75,  75,  30,  50
AL, 17, 2008110712,   , BEST,   0, 180N,  816W,  75,  979, HU,  50, NEQ,   35,   35,   25,   25, 1011,  180,  10,  90,   0,   L,   0,    ,   0,   0,     PALOMA, D, 12, NEQ,  75,  75,  30,  50
