EP, 02, 2008062706,   , BEST,   0, 122N, 1079W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  240,  60,  35,   0,   E,   0,    ,   0,   0,        TWO, M, 
EP, 02, 2008062712,   , BEST,   0, 126N, 1087W,  35, 1005, TS,  34, NEQ,    0,   60,   60,    0, 1010,  240,  60,  45,   0,   E,   0,    ,   0,   0,      BORIS, M, 
EP, 02, 2008062718,   , BEST,   0, 130N, 1095W,  45, 1000, TS,  34, NEQ,   60,   90,   90,    0, 1010,  240,  60,  55,   0,   E,   0,    ,   0,   0,      BORIS, M, 12, NEQ,   0,  60,  60,   0
EP, 02, 2008062800,   , BEST,   0, 135N, 1105W,  50,  997, TS,  34, NEQ,   60,   90,   90,   60, 1008,  200,  60,  55,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ,  60,  90,  90,   0
EP, 02, 2008062800,   , BEST,   0, 135N, 1105W,  50,  997, TS,  50, NEQ,   30,   30,    0,    0, 1008,  200,  60,  55,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ,  60,  90,  90,   0
EP, 02, 2008062806,   , BEST,   0, 140N, 1115W,  50,  997, TS,  34, NEQ,   60,   90,   90,   60, 
EP, 02, 2008062806,   , BEST,   0, 140N, 1115W,  50,  997, TS,  50, NEQ,   30,   30,    0,    0, 
EP, 02, 2008062812,   , BEST,   0, 144N, 1125W,  45, 1000, TS,  34, NEQ,   60,   90,   90,   60, 1008,  200,  60,  55,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180,  90,  90
EP, 02, 2008062818,   , BEST,   0, 147N, 1134W,  45, 1000, TS,  34, NEQ,   60,   90,   90,   60, 1008,  200,  60,  55,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180,  90,  90
EP, 02, 2008062900,   , BEST,   0, 149N, 1142W,  45, 1000, TS,  34, NEQ,   60,   90,   90,   60, 1008,  200,  60,  55,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180,  90, 120
EP, 02, 2008062906,   , BEST,   0, 150N, 1150W,  45, 1000, TS,  34, NEQ,   60,   90,   90,   60, 1008,  200,  60,  55,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180,  90, 120
EP, 02, 2008062912,   , BEST,   0, 149N, 1158W,  50,  997, TS,  34, NEQ,   60,   90,   90,   60, 1008,  200,  60,  55,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180,  90,  90
EP, 02, 2008062912,   , BEST,   0, 149N, 1158W,  50,  997, TS,  50, NEQ,   30,   30,    0,    0, 1008,  200,  60,  55,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180,  90,  90
EP, 02, 2008062918,   , BEST,   0, 148N, 1168W,  55,  995, TS,  34, NEQ,   60,  100,  100,   60, 1008,  200,  60,  65,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180,  90,  90
EP, 02, 2008062918,   , BEST,   0, 148N, 1168W,  55,  995, TS,  50, NEQ,   30,   50,    0,    0, 1008,  200,  60,  65,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180,  90,  90
EP, 02, 2008063000,   , BEST,   0, 148N, 1179W,  60,  992, TS,  34, NEQ,   60,  100,  100,   60, 1008,  200,  40,  75,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180,  90,  90
EP, 02, 2008063000,   , BEST,   0, 148N, 1179W,  60,  992, TS,  50, NEQ,   30,   50,   30,    0, 1008,  200,  40,  75,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180,  90,  90
EP, 02, 2008063006,   , BEST,   0, 149N, 1190W,  60,  992, TS,  34, NEQ,   60,  100,  100,   60, 1008,  200,  40,  75,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 210, 210, 120, 120
EP, 02, 2008063006,   , BEST,   0, 149N, 1190W,  60,  992, TS,  50, NEQ,   30,   50,   30,    0, 1008,  200,  40,  75,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 210, 210, 120, 120
EP, 02, 2008063012,   , BEST,   0, 149N, 1202W,  60,  992, TS,  34, NEQ,   60,  100,  100,   60, 1008,  200,  40,  65,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 210, 210, 120, 120
EP, 02, 2008063012,   , BEST,   0, 149N, 1202W,  60,  992, TS,  50, NEQ,   30,   50,   30,    0, 1008,  200,  40,  65,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 210, 210, 120, 120
EP, 02, 2008063018,   , BEST,   0, 148N, 1214W,  60,  992, TS,  34, NEQ,   60,   90,   90,   60, 1008,  200,  40,  65,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 210, 210, 120, 120
EP, 02, 2008063018,   , BEST,   0, 148N, 1214W,  60,  992, TS,  50, NEQ,   35,   45,   35,   35, 1008,  200,  40,  65,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 210, 210, 120, 120
EP, 02, 2008070100,   , BEST,   0, 147N, 1225W,  65,  989, HU,  34, NEQ,   60,   75,   75,   60, 1008,  200,  20,  75,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 210, 210, 120, 120
EP, 02, 2008070100,   , BEST,   0, 147N, 1225W,  65,  989, HU,  50, NEQ,   45,   45,   45,   45, 1008,  200,  20,  75,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 210, 210, 120, 120
EP, 02, 2008070100,   , BEST,   0, 147N, 1225W,  65,  989, HU,  64, NEQ,   35,   35,   35,   35, 1008,  200,  20,  75,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 210, 210, 120, 120
EP, 02, 2008070106,   , BEST,   0, 146N, 1235W,  65,  989, HU,  34, NEQ,   60,   75,   75,   60, 1008,  200,  25,  80,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 240, 240, 120, 180
EP, 02, 2008070106,   , BEST,   0, 146N, 1235W,  65,  989, HU,  50, NEQ,   45,   45,   45,   45, 1008,  200,  25,  80,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 240, 240, 120, 180
EP, 02, 2008070106,   , BEST,   0, 146N, 1235W,  65,  989, HU,  64, NEQ,   35,   35,   35,   35, 1008,  200,  25,  80,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 240, 240, 120, 180
EP, 02, 2008070112,   , BEST,   0, 147N, 1243W,  65,  989, HU,  34, NEQ,   75,   75,   75,   75, 1008,  200,  25,  80,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180, 120, 180
EP, 02, 2008070112,   , BEST,   0, 147N, 1243W,  65,  989, HU,  50, NEQ,   45,   45,   45,   45, 1008,  200,  25,  80,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180, 120, 180
EP, 02, 2008070112,   , BEST,   0, 147N, 1243W,  65,  989, HU,  64, NEQ,   30,   30,   30,   30, 1008,  200,  25,  80,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180, 120, 180
EP, 02, 2008070118,   , BEST,   0, 149N, 1250W,  60,  991, TS,  34, NEQ,   90,   75,   75,   90, 1008,  200,  20,  75,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180, 120, 180
EP, 02, 2008070118,   , BEST,   0, 149N, 1250W,  60,  991, TS,  50, NEQ,   45,   35,   35,   45, 1008,  200,  20,  75,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180, 120, 180
EP, 02, 2008070200,   , BEST,   0, 153N, 1256W,  65,  988, HU,  34, NEQ,   90,   75,   75,   75, 1008,  185,  20,  75,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180, 120, 180
EP, 02, 2008070200,   , BEST,   0, 153N, 1256W,  65,  988, HU,  50, NEQ,   45,   35,   35,   45, 1008,  185,  20,  75,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180, 120, 180
EP, 02, 2008070200,   , BEST,   0, 153N, 1256W,  65,  988, HU,  64, NEQ,   25,   25,   25,   25, 1008,  185,  20,  75,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180, 120, 180
EP, 02, 2008070206,   , BEST,   0, 157N, 1262W,  70,  985, HU,  34, NEQ,   75,   75,   75,   60, 1008,  200,  25,  80,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180, 120, 180
EP, 02, 2008070206,   , BEST,   0, 157N, 1262W,  70,  985, HU,  50, NEQ,   45,   45,   45,   35, 1008,  200,  25,  80,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180, 120, 180
EP, 02, 2008070206,   , BEST,   0, 157N, 1262W,  70,  985, HU,  64, NEQ,   30,   30,   30,   30, 1008,  200,  25,  80,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180, 120, 180
EP, 02, 2008070212,   , BEST,   0, 162N, 1269W,  65,  988, HU,  34, NEQ,   60,   75,   75,   60, 1012,  250,  20,  80,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180, 120, 180
EP, 02, 2008070212,   , BEST,   0, 162N, 1269W,  65,  988, HU,  50, NEQ,   30,   40,   40,   30, 1012,  250,  20,  80,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180, 120, 180
EP, 02, 2008070212,   , BEST,   0, 162N, 1269W,  65,  988, HU,  64, NEQ,   25,   25,   25,   25, 1012,  250,  20,  80,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180, 120, 180
EP, 02, 2008070218,   , BEST,   0, 166N, 1274W,  55,  992, TS,  34, NEQ,   60,   60,   60,   60, 1012,  250,  20,  60,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 210, 180, 120, 210
EP, 02, 2008070218,   , BEST,   0, 166N, 1274W,  55,  992, TS,  50, NEQ,   30,   30,    0,   30, 1012,  250,  20,  60,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 210, 180, 120, 210
EP, 02, 2008070300,   , BEST,   0, 169N, 1279W,  50,  995, TS,  34, NEQ,   60,   60,   60,   60, 1010,  250,  25,  60,   0,   E,   0,    ,   0,   0,      BORIS, D, 12, NEQ, 180, 180, 120, 210
