EP, 06, 2008071118,   , BEST,   0, 111N,  939W,  30, 1007, TD,   0,    ,    0,    0,    0,    0, 1012,  150,  25,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 06, 2008071200,   , BEST,   0, 117N,  952W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1012,  150,  25,  40,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 06, 2008071206,   , BEST,   0, 123N,  966W,  35, 1005, TS,  34, NEQ,   20,    0,    0,   30, 1012,  150,  20,  45,   0,   E,   0,    ,   0,   0,        SIX, M, 
EP, 06, 2008071212,   , BEST,   0, 129N,  981W,  45, 1002, TS,  34, NEQ,   30,   30,   30,   30, 1012,  150,  25,  50,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ,  20,   0,   0,  30
EP, 06, 2008071218,   , BEST,   0, 135N,  996W,  45, 1000, TS,  34, NEQ,   40,   30,   30,   30, 1012,  150,  25,  50,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ,  45,   0,   0,  45
EP, 06, 2008071300,   , BEST,   0, 141N, 1010W,  50,  997, TS,  34, NEQ,   40,   40,   40,   30, 1012,  150,  20,  60,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ,  60,  30,  30,  60
EP, 06, 2008071300,   , BEST,   0, 141N, 1010W,  50,  997, TS,  50, NEQ,   20,   20,    0,    0, 1012,  150,  20,  60,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ,  60,  30,  30,  60
EP, 06, 2008071306,   , BEST,   0, 146N, 1024W,  50,  996, TS,  34, NEQ,   40,   40,   40,   30, 1012,  150,  20,  65,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 120,  30,  30,  60
EP, 06, 2008071306,   , BEST,   0, 146N, 1024W,  50,  996, TS,  50, NEQ,   20,   20,    0,    0, 1012,  150,  20,  65,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 120,  30,  30,  60
EP, 06, 2008071312,   , BEST,   0, 150N, 1036W,  55,  994, TS,  34, NEQ,   40,   40,   40,   30, 1011,  150,  20,  65,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 120,  30,  30,  60
EP, 06, 2008071312,   , BEST,   0, 150N, 1036W,  55,  994, TS,  50, NEQ,   20,   20,    0,    0, 1011,  150,  20,  65,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 120,  30,  30,  60
EP, 06, 2008071318,   , BEST,   0, 153N, 1049W,  55,  994, TS,  34, NEQ,   40,   50,   40,   30, 1011,  150,  20,  65,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 120,  30,  30,  60
EP, 06, 2008071318,   , BEST,   0, 153N, 1049W,  55,  994, TS,  50, NEQ,   20,   20,    0,    0, 1011,  150,  20,  65,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 120,  30,  30,  60
EP, 06, 2008071400,   , BEST,   0, 155N, 1062W,  55,  994, TS,  34, NEQ,   40,   60,   40,   30, 1011,  150,  20,  65,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 120,  30,  30,  60
