EP, 07, 2008071606,   , BEST,   0, 100N,  952W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  150,  25,  40,   0,   E,   0,    ,   0,   0,      SEVEN, M, 
EP, 07, 2008071612,   , BEST,   0, 110N,  969W,  35, 1005, TS,  34, NEQ,   30,    0,    0,    0, 1010,  150,  25,  40,   0,   E,   0,    ,   0,   0,      SEVEN, M, 
EP, 07, 2008071618,   , BEST,   0, 113N,  989W,  35, 1005, TS,  34, NEQ,   30,   30,   50,   50, 1010,  150,  25,  45,   0,   E,   0,    ,   0,   0,     FAUSTO, M, 
EP, 07, 2008071700,   , BEST,   0, 115N, 1010W,  40, 1002, TS,  34, NEQ,   60,   30,   60,   60, 1010,  150,  25,  50,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ,  75,  75,  75,  75
EP, 07, 2008071706,   , BEST,   0, 117N, 1021W,  50,  998, TS,  34, NEQ,   60,   45,   60,   50, 1010,  150,  20,  60,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ,  75,  75,  75,  75
EP, 07, 2008071706,   , BEST,   0, 117N, 1021W,  50,  998, TS,  50, NEQ,   20,    0,    0,   20, 1010,  150,  20,  60,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ,  75,  75,  75,  75
EP, 07, 2008071712,   , BEST,   0, 120N, 1032W,  50,  998, TS,  34, NEQ,   60,   60,   60,   45, 1010,  150,  20,  60,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ,  75,  75,  75,  75
EP, 07, 2008071712,   , BEST,   0, 120N, 1032W,  50,  998, TS,  50, NEQ,   20,    0,    0,   20, 1010,  150,  20,  60,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ,  75,  75,  75,  75
EP, 07, 2008071718,   , BEST,   0, 125N, 1044W,  55,  998, TS,  34, NEQ,   75,   75,   75,   45, 1012,  225,  40,  60,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 180, 120,  90,  90
EP, 07, 2008071718,   , BEST,   0, 125N, 1044W,  55,  998, TS,  50, NEQ,   30,   30,    0,   20, 1012,  225,  40,  60,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 180, 120,  90,  90
EP, 07, 2008071800,   , BEST,   0, 129N, 1054W,  60,  994, TS,  34, NEQ,   90,   90,   60,   50, 1012,  225,  40,  75,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 180, 120,  90,  90
EP, 07, 2008071800,   , BEST,   0, 129N, 1054W,  60,  994, TS,  50, NEQ,   40,   40,    0,   20, 1012,  225,  40,  75,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 180, 120,  90,  90
EP, 07, 2008071806,   , BEST,   0, 132N, 1064W,  60,  993, TS,  34, NEQ,   90,   90,   75,   75, 1012,  225,  40,  75,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 120,  30,  75,  75
EP, 07, 2008071806,   , BEST,   0, 132N, 1064W,  60,  993, TS,  50, NEQ,   40,   40,   20,   40, 1012,  225,  40,  75,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 120,  30,  75,  75
EP, 07, 2008071812,   , BEST,   0, 135N, 1072W,  65,  987, HU,  34, NEQ,  100,   90,   90,  100, 1010,  275,  20,  80,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 130,  30,  75,  75
EP, 07, 2008071812,   , BEST,   0, 135N, 1072W,  65,  987, HU,  50, NEQ,   50,   40,   40,   50, 1010,  275,  20,  80,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 130,  30,  75,  75
EP, 07, 2008071812,   , BEST,   0, 135N, 1072W,  65,  987, HU,  64, NEQ,   25,    0,    0,   25, 1010,  275,  20,  80,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 130,  30,  75,  75
EP, 07, 2008071818,   , BEST,   0, 139N, 1080W,  65,  987, HU,  34, NEQ,  100,   90,   90,  100, 1010,  275,  20,  80,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 180,  30, 100, 120
EP, 07, 2008071818,   , BEST,   0, 139N, 1080W,  65,  987, HU,  50, NEQ,   50,   40,   40,   50, 1010,  275,  20,  80,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 180,  30, 100, 120
EP, 07, 2008071818,   , BEST,   0, 139N, 1080W,  65,  987, HU,  64, NEQ,   25,    0,    0,   25, 1010,  275,  20,  80,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 180,  30, 100, 120
EP, 07, 2008071900,   , BEST,   0, 142N, 1086W,  70,  985, HU,  34, NEQ,  100,   90,   90,  100, 1010,  275,  20,  85,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 200,  90, 100, 140
EP, 07, 2008071900,   , BEST,   0, 142N, 1086W,  70,  985, HU,  50, NEQ,   50,   40,   40,   50, 1010,  275,  20,  85,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 200,  90, 100, 140
EP, 07, 2008071900,   , BEST,   0, 142N, 1086W,  70,  985, HU,  64, NEQ,   25,    0,    0,   25, 1010,  275,  20,  85,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 200,  90, 100, 140
EP, 07, 2008071906,   , BEST,   0, 146N, 1091W,  75,  980, HU,  34, NEQ,  100,  100,   90,  100, 1010,  275,  20,  90,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 200, 140, 120, 150
EP, 07, 2008071906,   , BEST,   0, 146N, 1091W,  75,  980, HU,  50, NEQ,   50,   40,   40,   50, 1010,  275,  20,  90,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 200, 140, 120, 150
EP, 07, 2008071906,   , BEST,   0, 146N, 1091W,  75,  980, HU,  64, NEQ,   25,   25,    0,   25, 1010,  275,  20,  90,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 200, 140, 120, 150
EP, 07, 2008071912,   , BEST,   0, 149N, 1096W,  75,  980, HU,  34, NEQ,  100,  140,  100,  100, 1010,  275,  20, 100,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 200, 200,  90, 120
EP, 07, 2008071912,   , BEST,   0, 149N, 1096W,  75,  980, HU,  50, NEQ,   50,   40,   40,   50, 1010,  275,  20, 100,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 200, 200,  90, 120
EP, 07, 2008071912,   , BEST,   0, 149N, 1096W,  75,  980, HU,  64, NEQ,   25,   25,   25,   25, 1010,  275,  20, 100,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 200, 200,  90, 120
EP, 07, 2008071918,   , BEST,   0, 154N, 1100W,  75,  980, HU,  34, NEQ,  100,  125,   80,   80, 1010,  275,  20,  90,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 200, 200,  90, 120
EP, 07, 2008071918,   , BEST,   0, 154N, 1100W,  75,  980, HU,  50, NEQ,   50,   40,   40,   50, 1010,  275,  20,  90,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 200, 200,  90, 120
EP, 07, 2008071918,   , BEST,   0, 154N, 1100W,  75,  980, HU,  64, NEQ,   25,   25,   25,   25, 1010,  275,  20,  90,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 200, 200,  90, 120
EP, 07, 2008072000,   , BEST,   0, 160N, 1106W,  75,  980, HU,  34, NEQ,  100,  110,   75,   75, 1010,  275,  20,  90,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 240, 240, 120, 150
EP, 07, 2008072000,   , BEST,   0, 160N, 1106W,  75,  980, HU,  50, NEQ,   40,   40,   40,   40, 1010,  275,  20,  90,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 240, 240, 120, 150
EP, 07, 2008072000,   , BEST,   0, 160N, 1106W,  75,  980, HU,  64, NEQ,   25,   25,   25,   25, 1010,  275,  20,  90,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 240, 240, 120, 150
EP, 07, 2008072006,   , BEST,   0, 168N, 1113W,  75,  980, HU,  34, NEQ,  100,  100,   75,   90, 1010,  275,  20,  90,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 300, 300, 120, 150
EP, 07, 2008072006,   , BEST,   0, 168N, 1113W,  75,  980, HU,  50, NEQ,   45,   40,   35,   40, 1010,  275,  20,  90,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 300, 300, 120, 150
EP, 07, 2008072006,   , BEST,   0, 168N, 1113W,  75,  980, HU,  64, NEQ,   25,   25,   25,   25, 1010,  275,  20,  90,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 300, 300, 120, 150
EP, 07, 2008072012,   , BEST,   0, 175N, 1122W,  80,  977, HU,  34, NEQ,  100,  100,   75,  100, 1010,  275,  25,  90,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 300, 240,  90, 120
EP, 07, 2008072012,   , BEST,   0, 175N, 1122W,  80,  977, HU,  50, NEQ,   50,   45,   35,   45, 1010,  275,  25,  90,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 300, 240,  90, 120
EP, 07, 2008072012,   , BEST,   0, 175N, 1122W,  80,  977, HU,  64, NEQ,   30,   30,   25,   30, 1010,  275,  25,  90,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 300, 240,  90, 120
EP, 07, 2008072018,   , BEST,   0, 183N, 1130W,  80,  977, HU,  34, NEQ,  100,  100,   75,  100, 1010,  300,  30, 100,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 300, 240, 120, 150
EP, 07, 2008072018,   , BEST,   0, 183N, 1130W,  80,  977, HU,  50, NEQ,   50,   45,   40,   50, 1010,  300,  30, 100,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 300, 240, 120, 150
EP, 07, 2008072018,   , BEST,   0, 183N, 1130W,  80,  977, HU,  64, NEQ,   35,   35,   30,   35, 1010,  300,  30, 100,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 300, 240, 120, 150
EP, 07, 2008072100,   , BEST,   0, 189N, 1140W,  80,  977, HU,  34, NEQ,  100,  100,   75,  100, 1010,  300,  30, 100,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 300, 240, 120, 150
EP, 07, 2008072100,   , BEST,   0, 189N, 1140W,  80,  977, HU,  50, NEQ,   50,   45,   40,   45, 1010,  300,  30, 100,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 300, 240, 120, 150
EP, 07, 2008072100,   , BEST,   0, 189N, 1140W,  80,  977, HU,  64, NEQ,   35,   35,   30,   35, 1010,  300,  30, 100,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 300, 240, 120, 150
EP, 07, 2008072106,   , BEST,   0, 195N, 1150W,  75,  981, HU,  34, NEQ,  100,  100,   75,  100, 1010,  300,  30, 105,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 240, 180,  90, 120
EP, 07, 2008072106,   , BEST,   0, 195N, 1150W,  75,  981, HU,  50, NEQ,   45,   45,   30,   45, 1010,  300,  30, 105,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 240, 180,  90, 120
EP, 07, 2008072106,   , BEST,   0, 195N, 1150W,  75,  981, HU,  64, NEQ,   35,   35,   25,   35, 1010,  300,  30, 105,   0,   E,   0,    ,   0,   0,     FAUSTO, D, 12, NEQ, 240, 180,  90, 120
EP, 07, 2008072112,   , BEST,   0, 200N, 1162W,  70,  984, HU,  34, NEQ,   90,   90,   60,  100, 1010,  270,  30,  85,   0,   E,   0,    ,   0,   0,     FAUSTO, M, 12, NEQ, 240, 180,  90, 120
EP, 07, 2008072112,   , BEST,   0, 200N, 1162W,  70,  984, HU,  50, NEQ,   50,   45,   30,   45, 1010,  270,  30,  85,   0,   E,   0,    ,   0,   0,     FAUSTO, M, 12, NEQ, 240, 180,  90, 120
EP, 07, 2008072112,   , BEST,   0, 200N, 1162W,  70,  984, HU,  64, NEQ,   30,   30,    0,   30, 1010,  270,  30,  85,   0,   E,   0,    ,   0,   0,     FAUSTO, M, 12, NEQ, 240, 180,  90, 120
EP, 07, 2008072118,   , BEST,   0, 203N, 1172W,  60,  990, TS,  34, NEQ,   90,   60,   60,   90, 1010,  270,  35,  75,   0,   E,   0,    ,   0,   0,     FAUSTO, M, 12, NEQ, 210, 150,  90, 120
EP, 07, 2008072118,   , BEST,   0, 203N, 1172W,  60,  990, TS,  50, NEQ,   50,   45,   30,   50, 1010,  270,  35,  75,   0,   E,   0,    ,   0,   0,     FAUSTO, M, 12, NEQ, 210, 150,  90, 120
EP, 07, 2008072200,   , BEST,   0, 205N, 1181W,  55,  994, TS,  34, NEQ,   90,   60,   60,   90, 1010,  270,  50,  75,   0,   E,   0,    ,   0,   0,     FAUSTO, M, 12, NEQ, 150, 120,  60,  90
EP, 07, 2008072200,   , BEST,   0, 205N, 1181W,  55,  994, TS,  50, NEQ,   60,   30,   30,   60, 1010,  270,  50,  75,   0,   E,   0,    ,   0,   0,     FAUSTO, M, 12, NEQ, 150, 120,  60,  90
EP, 07, 2008072206,   , BEST,   0, 209N, 1191W,  50,  997, TS,  34, NEQ,   90,   60,   60,   90, 1010,  270,  50,  60,   0,   E,   0,    ,   0,   0,     FAUSTO, M, 12, NEQ, 150, 120,  60,  90
EP, 07, 2008072206,   , BEST,   0, 209N, 1191W,  50,  997, TS,  50, NEQ,   60,    0,    0,   60, 1010,  270,  50,  60,   0,   E,   0,    ,   0,   0,     FAUSTO, M, 12, NEQ, 150, 120,  60,  90
EP, 07, 2008072212,   , BEST,   0, 213N, 1200W,  40, 1002, TS,  34, NEQ,   60,    0,    0,   60, 1009,  300,  60,  50,   0,   E,   0,    ,   0,   0,     FAUSTO, S, 12, NEQ, 150, 120,  60,  90
EP, 07, 2008072218,   , BEST,   0, 217N, 1210W,  30, 1007, TD,  34, NEQ,    0,    0,    0,    0, 1010,  270,  60,  40,   0,   E,   0,    ,   0,   0,     FAUSTO, S, 12, NEQ,  90,   0,   0,  60
EP, 07, 2008072300,   , BEST,   0, 221N, 1219W,  30, 1008, LO,  34, NEQ,    0,    0,    0,    0, 1010,  210,  60,   0,   0, 
EP, 07, 2008072306,   , BEST,   0, 226N, 1230W,  25, 1008, LO,  34, NEQ,    0,    0,    0,    0, 1011,  180,  60,   0,   0, 
EP, 07, 2008072312,   , BEST,   0, 230N, 1237W,  25, 1009, LO,  34, NEQ,    0,    0,    0,    0, 1011,  180,  60,   0,   0, 
EP, 07, 2008072318,   , BEST,   0, 238N, 1246W,  25, 1009, LO,  34, NEQ,    0,    0,    0,    0, 1011,  150,  60,   0,   0, 
EP, 07, 2008072400,   , BEST,   0, 240N, 1257W,  25, 1010, LO,  34, NEQ,    0,    0,    0,    0, 1011,  120,  60,   0,   0, 
EP, 07, 2008072406,   , BEST,   0, 244N, 1267W,  20, 1013, LO,  34, NEQ,    0,    0,    0,    0, 1014,   90,  60,   0,   0, 
