EP, 08, 2008072112,   , BEST,   0, 134N, 1003W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1011,  120,  30,  40,   0,   E,   0,    ,   0,   0,      EIGHT, M, 
EP, 08, 2008072118,   , BEST,   0, 138N, 1019W,  35, 1004, TS,  34, NEQ,   45,   30,   30,   45, 1008,  120,  30,  45,   0,   E,   0,    ,   0,   0,      EIGHT, M, 
EP, 08, 2008072200,   , BEST,   0, 142N, 1034W,  35, 1004, TS,  34, NEQ,   60,   30,   45,   60, 1008,  150,  30,  45,   0,   E,   0,    ,   0,   0,  GENEVIEVE, M, 12, NEQ,  75,   0,  45,  60
EP, 08, 2008072206,   , BEST,   0, 143N, 1046W,  40, 1002, TS,  34, NEQ,   60,   30,   60,   60, 1009,  150,  30,  50,   0,   E,   0,    ,   0,   0,  GENEVIEVE, M, 12, NEQ,  75,   0,  45,  60
EP, 08, 2008072212,   , BEST,   0, 143N, 1057W,  50,  998, TS,  34, NEQ,   60,   45,   60,   60, 1009,  175,  30,  60,   0,   E,   0,    ,   0,   0,  GENEVIEVE, D, 12, NEQ,  75,   0,  45,  60
EP, 08, 2008072212,   , BEST,   0, 143N, 1057W,  50,  998, TS,  50, NEQ,    0,    0,    0,   30, 1009,  175,  30,  60,   0,   E,   0,    ,   0,   0,  GENEVIEVE, D, 12, NEQ,  75,   0,  45,  60
EP, 08, 2008072218,   , BEST,   0, 144N, 1067W,  50,  996, TS,  34, NEQ,   60,   60,   60,   75, 1010,  225,  30,  60,   0,   E,   0,    ,   0,   0,  GENEVIEVE, D, 12, NEQ,  75,  45,  60,  75
EP, 08, 2008072218,   , BEST,   0, 144N, 1067W,  50,  996, TS,  50, NEQ,   30,    0,    0,   30, 1010,  225,  30,  60,   0,   E,   0,    ,   0,   0,  GENEVIEVE, D, 12, NEQ,  75,  45,  60,  75
EP, 08, 2008072300,   , BEST,   0, 147N, 1075W,  55,  994, TS,  34, NEQ,   60,   60,   60,   75, 1010,  225,  30,  65,   0,   E,   0,    ,   0,   0,  GENEVIEVE, D, 12, NEQ,  75,  75,  75,  90
EP, 08, 2008072300,   , BEST,   0, 147N, 1075W,  55,  994, TS,  50, NEQ,   30,    0,    0,   30, 1010,  225,  30,  65,   0,   E,   0,    ,   0,   0,  GENEVIEVE, D, 12, NEQ,  75,  75,  75,  90
EP, 08, 2008072306,   , BEST,   0, 149N, 1082W,  55,  994, TS,  34, NEQ,   60,   60,   60,   75, 1010,  225,  30,  65,   0,   E,   0,    ,   0,   0,  GENEVIEVE, D, 
EP, 08, 2008072306,   , BEST,   0, 149N, 1082W,  55,  994, TS,  50, NEQ,   30,    0,    0,   30, 1010,  225,  30,  65,   0,   E,   0,    ,   0,   0,  GENEVIEVE, D, 
EP, 08, 2008072312,   , BEST,   0, 150N, 1089W,  55,  994, TS,  34, NEQ,   60,   60,   60,   75, 1010,  225,  30,  65,   0,   E,   0,    ,   0,   0,  GENEVIEVE, D, 12, NEQ, 120,  60,  60,  90
