AL, 03, 2009081506,   , BEST,   0, 118N,  320W,  30, 1007, TD,   0,    ,    0,    0,    0,    0, 1011,  200,  75,  40,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 03, 2009081512,   , BEST,   0, 115N,  333W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1011,  200,  45,  40,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 03, 2009081518,   , BEST,   0, 112N,  345W,  35, 1004, TS,  34, NEQ,   25,   25,    0,   25, 1011,  200,  25,  45,   0,   L,   0,    ,   0,   0,       BILL, M, 
AL, 03, 2009081600,   , BEST,   0, 112N,  355W,  35, 1004, TS,  34, NEQ,   30,   30,   30,   30, 1011,  200,  25,  45,   0,   L,   0,    ,   0,   0,       BILL, M, 12, NEQ,  25,  25,   0,  25
AL, 03, 2009081606,   , BEST,   0, 115N,  365W,  40, 1002, TS,  34, NEQ,   75,   75,   30,   75, 1011,  200,  25,  50,   0,   L,   0,    ,   0,   0,       BILL, M, 
AL, 03, 2009081612,   , BEST,   0, 120N,  378W,  50,  997, TS,  34, NEQ,  120,  120,   60,   90, 1011,  200,  60,  60,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ,  90,  25,   0,  60
AL, 03, 2009081612,   , BEST,   0, 120N,  378W,  50,  997, TS,  50, NEQ,   60,    0,    0,    0, 1011,  200,  60,  60,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ,  90,  25,   0,  60
AL, 03, 2009081618,   , BEST,   0, 126N,  394W,  55,  994, TS,  34, NEQ,  120,  120,   60,   90, 1011,  200,  45,  65,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 150, 120,  60,  90
AL, 03, 2009081618,   , BEST,   0, 126N,  394W,  55,  994, TS,  50, NEQ,   60,   45,    0,   45, 1011,  200,  45,  65,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 150, 120,  60,  90
AL, 03, 2009081700,   , BEST,   0, 131N,  413W,  60,  990, TS,  34, NEQ,  120,  120,   60,   90, 1008,  175,  45,  75,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 150, 120,  60,  90
AL, 03, 2009081700,   , BEST,   0, 131N,  413W,  60,  990, TS,  50, NEQ,   60,   45,   25,   45, 1008,  175,  45,  75,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 150, 120,  60,  90
AL, 03, 2009081706,   , BEST,   0, 135N,  432W,  65,  987, HU,  34, NEQ,  125,  120,   60,  125, 1008,  175,  30,  80,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 250, 180, 110, 200
AL, 03, 2009081706,   , BEST,   0, 135N,  432W,  65,  987, HU,  50, NEQ,   60,   45,   25,   45, 1008,  175,  30,  80,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 250, 180, 110, 200
AL, 03, 2009081706,   , BEST,   0, 135N,  432W,  65,  987, HU,  64, NEQ,   25,   20,   20,   25, 1008,  175,  30,  80,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 250, 180, 110, 200
