EP, 04, 2009070812,   , BEST,   0,  88N, 1062W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 04, 2009070900,   , BEST,   0,  92N, 1077W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 04, 2009070906,   , BEST,   0,  94N, 1085W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 04, 2009070912,   , BEST,   0,  96N, 1091W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 1010,  150,   0,   0,   0,   E,   0,    ,   0,   0,     INVEST, D, 
EP, 04, 2009070918,   , BEST,   0,  98N, 1097W,  25, 1008, DB,   0,    ,    0,    0,    0,    0, 1010,  150,  15,   0,   0,   E,   0,    ,   0,   0,     INVEST, D, 
EP, 04, 2009071000,   , BEST,   0,  99N, 1103W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1009,  150,  15,   0,   0,   E,   0,    ,   0,   0,     INVEST, D, 
EP, 04, 2009071006,   , BEST,   0, 100N, 1110W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1009,  150,  25,  35,   0,   E,   0,    ,   0,   0,     INVEST, D, 
EP, 04, 2009071012,   , BEST,   0, 101N, 1122W,  30, 1007, TD,   0,    ,    0,    0,    0,    0, 1009,  150,  25,  40,   0,   E,   0,    ,   0,   0,       FOUR, D, 
EP, 04, 2009071018,   , BEST,   0, 102N, 1134W,  35, 1004, TS,  34, NEQ,   45,   45,    0,    0, 1010,  150,  25,  40,   0,   E,   0,    ,   0,   0,       FOUR, D, 
EP, 04, 2009071100,   , BEST,   0, 103N, 1145W,  45, 1000, TS,  34, NEQ,   40,   45,   30,   30, 1010,  150,  25,  55,   0,   E,   0,    ,   0,   0,     CARLOS, D, 12, NEQ,   0,  45,   0,   0
EP, 04, 2009071106,   , BEST,   0, 103N, 1155W,  50,  997, TS,  34, NEQ,   60,   45,   30,   45, 1009,  150,  20,  60,   0,   E,   0,    ,   0,   0,     CARLOS, D, 12, NEQ,  60,  45,   0,  45
EP, 04, 2009071106,   , BEST,   0, 103N, 1155W,  50,  997, TS,  50, NEQ,   20,    0,    0,   20, 1009,  150,  20,  60,   0,   E,   0,    ,   0,   0,     CARLOS, D, 12, NEQ,  60,  45,   0,  45
EP, 04, 2009071112,   , BEST,   0, 104N, 1163W,  60,  991, TS,  34, NEQ,   60,   45,   30,   45, 1009,  150,  20,  65,   0,   E,   0,    ,   0,   0,     CARLOS, D, 12, NEQ,  80,  50,   0,  45
EP, 04, 2009071112,   , BEST,   0, 104N, 1163W,  60,  991, TS,  50, NEQ,   20,    0,    0,   20, 1009,  150,  20,  65,   0,   E,   0,    ,   0,   0,     CARLOS, D, 12, NEQ,  80,  50,   0,  45
EP, 04, 2009071118,   , BEST,   0, 105N, 1172W,  65,  987, HU,  34, NEQ,   75,   60,   45,   55, 1009,  150,  20,  80,   0,   E,   0,    ,   0,   0,     CARLOS, D, 12, NEQ,  90,  60,   0,  45
EP, 04, 2009071118,   , BEST,   0, 105N, 1172W,  65,  987, HU,  50, NEQ,   30,   30,   20,   30, 1009,  150,  20,  80,   0,   E,   0,    ,   0,   0,     CARLOS, D, 12, NEQ,  90,  60,   0,  45
EP, 04, 2009071118,   , BEST,   0, 105N, 1172W,  65,  987, HU,  64, NEQ,   20,    0,    0,   20, 1009,  150,  20,  80,   0,   E,   0,    ,   0,   0,     CARLOS, D, 12, NEQ,  90,  60,   0,  45
EP, 04, 2009071200,   , BEST,   0, 105N, 1184W,  75,  980, HU,  34, NEQ,   75,   60,   50,   60, 1008,  150,  20,  90,   0,   E,   0,    ,   0,   0,     CARLOS, D, 12, NEQ, 120,  75,  45,  60
EP, 04, 2009071200,   , BEST,   0, 105N, 1184W,  75,  980, HU,  50, NEQ,   30,   30,   25,   30, 1008,  150,  20,  90,   0,   E,   0,    ,   0,   0,     CARLOS, D, 12, NEQ, 120,  75,  45,  60
EP, 04, 2009071200,   , BEST,   0, 105N, 1184W,  75,  980, HU,  64, NEQ,   20,   15,   15,   20, 1008,  150,  20,  90,   0,   E,   0,    ,   0,   0,     CARLOS, D, 12, NEQ, 120,  75,  45,  60
