EP, 06, 2009072818,   , BEST,   0, 108N, 1288W,  25, 1009, DB,   0,    ,    0,    0,    0,    0,  850,    0,   0,   0,   0, 
EP, 06, 2009072900,   , BEST,   0, 109N, 1300W,  25, 1009, DB,   0,    ,    0,    0,    0,    0,  850,    0,   0,   0,   0, 
EP, 06, 2009072906,   , BEST,   0, 110N, 1312W,  25, 1009, DB,   0,    ,    0,    0,    0,    0,  850,    0,   0,   0,   0, 
EP, 06, 2009072912,   , BEST,   0, 110N, 1325W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 06, 2009072918,   , BEST,   0, 111N, 1340W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 06, 2009073000,   , BEST,   0, 113N, 1356W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 1010,  150,  30,   0,   0,   E,   0,    ,   0,   0,     INVEST, D, 
EP, 06, 2009073006,   , BEST,   0, 116N, 1373W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 06, 2009073012,   , BEST,   0, 119N, 1389W,  30, 1008, TD,   0,    ,    0,    0,    0,    0, 1011,  150,  30,  40,   0,   E,   0,    ,   0,   0,        SIX, D, 
EP, 06, 2009073018,   , BEST,   0, 121N, 1406W,  35, 1005, TS,  34, NEQ,   60,   30,   30,   45, 1011,  150,  30,  45,   0,   E,   0,    ,   0,   0,       LANA, D, 
EP, 06, 2009073100,   , BEST,   0, 126N, 1423W,  45, 1000, TS,  34, NEQ,   75,   45,   45,   60, 1011,  150,  30,  55,   0,   E,   0,    ,   0,   0,       LANA, D, 12, NEQ,  30,   0,   0,   0
EP, 06, 2009073106,   , BEST,   0, 130N, 1439W,  50,  997, TS,  34, NEQ,   75,   45,   45,   60, 1011,  150,  20,  60,   0,   E,   0,    ,   0,   0,       LANA, D, 12, NEQ,  90,  75,   0,  90
EP, 06, 2009073106,   , BEST,   0, 130N, 1439W,  50,  997, TS,  50, NEQ,   20,    0,    0,    0, 1011,  150,  20,  60,   0,   E,   0,    ,   0,   0,       LANA, D, 12, NEQ,  90,  75,   0,  90
EP, 06, 2009073112,   , BEST,   0, 134N, 1455W,  45, 1000, TS,  34, NEQ,   75,   45,   45,   60, 1011,  150,  20,  55,   0,   E,   0,    ,   0,   0,       LANA, D, 12, NEQ,  90,  75,  45,  90
EP, 06, 2009073118,   , BEST,   0, 136N, 1470W,  55,  995, TS,  34, NEQ,   85,   50,   50,   85, 1011,  150,  15,  65,   0,   E,   0,    ,   0,   0,       LANA, D, 12, NEQ, 100,  80,  50, 100
EP, 06, 2009073118,   , BEST,   0, 136N, 1470W,  55,  995, TS,  50, NEQ,   15,    0,    0,   15, 1011,  150,  15,  65,   0,   E,   0,    ,   0,   0,       LANA, D, 12, NEQ, 100,  80,  50, 100
EP, 06, 2009080100,   , BEST,   0, 140N, 1484W,  45, 1004, TS,  34, NEQ,   60,   30,   30,   60, 1011,   90,  15,  55,   0,   E,   0,    ,   0,   0,       LANA, M, 12, NEQ,  70,  30,  30,  70
EP, 06, 2009080106,   , BEST,   0, 143N, 1496W,  45, 1004, TS,  34, NEQ,   60,   30,   30,   60, 1011,   90,  20,  55,   0,   E,   0,    ,   0,   0,       LANA, D, 12, NEQ,  70,  30,  30,  70
EP, 06, 2009080112,   , BEST,   0, 143N, 1510W,  45, 1004, TS,  34, NEQ,   70,   30,   30,   70, 1011,  110,  20,  55,   0,   E,   0,    ,   0,   0,       LANA, D, 12, NEQ,  70,  30,  30,  70
EP, 06, 2009080118,   , BEST,   0, 144N, 1526W,  45, 1008, TS,  34, NEQ,   65,   45,    0,   65, 1012,  120,  50,  55,   0,   E,   0,    ,   0,   0,       LANA, M, 12, NEQ,  70,  30,  30,  70
EP, 06, 2009080200,   , BEST,   0, 144N, 1544W,  45, 1008, TS,  34, NEQ,   65,   45,    0,   65, 1012,  120,  50,  55,   0,   E,   0,    ,   0,   0,       LANA, M, 12, NEQ,  65,  45,   0,  65
EP, 06, 2009080206,   , BEST,   0, 144N, 1560W,  45, 1008, TS,  34, NEQ,   65,   45,    0,   65, 1012,  120,  50,  55,   0,   E,   0,    ,   0,   0,       LANA, M, 12, NEQ,  65,  45,   0,  65
EP, 06, 2009080212,   , BEST,   0, 144N, 1574W,  45, 1008, TS,  34, NEQ,   65,   45,    0,   65, 1012,  120,  50,  55,   0,   E,   0,    ,   0,   0,       LANA, M, 12, NEQ,  65,  45,   0,  65
EP, 06, 2009080218,   , BEST,   0, 144N, 1586W,  45, 1008, TS,  34, NEQ,   65,   45,    0,   65, 1012,  120,  50,  55,   0,   E,   0,    ,   0,   0,       LANA, M, 12, NEQ,  65,  45,   0,  65
EP, 06, 2009080300,   , BEST,   0, 144N, 1601W,  30, 1010, TD,   0,    ,    0,    0,    0,    0, 1012,   90,  50,  40,   0,   E,   0,    ,   0,   0,       LANA, S, 12, NEQ,  65,  45,   0,  65
EP, 06, 2009080306,   , BEST,   0, 145N, 1615W,  30, 1010, TD,   0,    ,    0,    0,    0,    0, 1012,   90,  50,  40,   0,   E,   0,    ,   0,   0,       LANA, S, 12, NEQ,  60,  40,   0,  60
EP, 06, 2009080312,   , BEST,   0, 148N, 1629W,  25, 1010, TD,  34, NEQ,    0,    0,    0,    0, 1011,   90,  50,  35,   0,   E,   0,    ,   0,   0,       LANA, S, 12, NEQ,  45,   0,   0,  45
