EP, 08, 2009080300,   , BEST,   0,  97N, 1178W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 08, 2009080306,   , BEST,   0, 101N, 1190W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 08, 2009080312,   , BEST,   0, 106N, 1200W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 1010,  120,  20,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 08, 2009080318,   , BEST,   0, 111N, 1211W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 1010,  120,  20,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 08, 2009080400,   , BEST,   0, 116N, 1222W,  30, 1007, TD,   0,    ,    0,    0,    0,    0, 1010,  120,  30,  40,   0,   E,   0,    ,   0,   0,      EIGHT, M, 
EP, 08, 2009080406,   , BEST,   0, 119N, 1235W,  35, 1004, TS,  34, NEQ,   45,   60,   45,   45, 1010,  120,  30,  40,   0,   E,   0,    ,   0,   0,      EIGHT, M, 
EP, 08, 2009080412,   , BEST,   0, 120N, 1249W,  50, 1000, TS,  34, NEQ,   45,   60,   45,   45, 1010,  120,  30,  60,   0,   E,   0,    ,   0,   0,    FELICIA, M, 12, NEQ,  30,  30,   0,   0
EP, 08, 2009080412,   , BEST,   0, 120N, 1249W,  50, 1000, TS,  50, NEQ,    0,   30,    0,    0, 1010,  120,  30,  60,   0,   E,   0,    ,   0,   0,    FELICIA, M, 12, NEQ,  30,  30,   0,   0
EP, 08, 2009080418,   , BEST,   0, 122N, 1261W,  65,  987, HU,  34, NEQ,   75,   60,   45,   60, 1007,  180,  20,  80,   0,   E,   0,    ,   0,   0,    FELICIA, M, 12, NEQ,  45,  45,   0,   0
EP, 08, 2009080418,   , BEST,   0, 122N, 1261W,  65,  987, HU,  50, NEQ,   35,   30,   25,   30, 1007,  180,  20,  80,   0,   E,   0,    ,   0,   0,    FELICIA, M, 12, NEQ,  45,  45,   0,   0
EP, 08, 2009080418,   , BEST,   0, 122N, 1261W,  65,  987, HU,  64, NEQ,   20,   20,   20,   20, 1007,  180,  20,  80,   0,   E,   0,    ,   0,   0,    FELICIA, M, 12, NEQ,  45,  45,   0,   0
EP, 08, 2009080500,   , BEST,   0, 126N, 1268W,  70,  985, HU,  34, NEQ,   75,   60,   45,   60, 1008,  140,  20,  85,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ,  75,  75,  45,  45
EP, 08, 2009080500,   , BEST,   0, 126N, 1268W,  70,  985, HU,  50, NEQ,   45,   45,   30,   30, 1008,  140,  20,  85,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ,  75,  75,  45,  45
EP, 08, 2009080500,   , BEST,   0, 126N, 1268W,  70,  985, HU,  64, NEQ,   30,   30,   20,   20, 1008,  140,  20,  85,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ,  75,  75,  45,  45
EP, 08, 2009080506,   , BEST,   0, 132N, 1277W,  85,  975, HU,  34, NEQ,   75,   60,   45,   60, 1008,  200,  25, 105,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ,  75,  75,  45,  45
EP, 08, 2009080506,   , BEST,   0, 132N, 1277W,  85,  975, HU,  50, NEQ,   45,   45,   30,   30, 1008,  200,  25, 105,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ,  75,  75,  45,  45
EP, 08, 2009080506,   , BEST,   0, 132N, 1277W,  85,  975, HU,  64, NEQ,   30,   30,   20,   20, 1008,  200,  25, 105,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ,  75,  75,  45,  45
EP, 08, 2009080512,   , BEST,   0, 137N, 1284W, 100,  955, HU,  34, NEQ,  105,   90,   75,   90, 1008,  200,  25, 120,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 120, 120,  90,  90
