EP, 15, 2009090306,   , BEST,   0, 117N, 1101W,  20, 1010, DB,   0,    ,    0,    0,    0,    0, 
EP, 15, 2009090312,   , BEST,   0, 118N, 1109W,  20, 1010, DB,   0,    ,    0,    0,    0,    0, 
EP, 15, 2009090318,   , BEST,   0, 119N, 1117W,  20, 1010, DB,   0,    ,    0,    0,    0,    0, 
EP, 15, 2009090400,   , BEST,   0, 118N, 1126W,  20, 1010, DB,   0,    ,    0,    0,    0,    0, 
EP, 15, 2009090406,   , BEST,   0, 119N, 1134W,  20, 1010, DB,   0,    ,    0,    0,    0,    0, 1012,  150,  75,   0,   0,   E,   0,    ,   0,   0,     INVEST, D, 
EP, 15, 2009090412,   , BEST,   0, 121N, 1141W,  20, 1010, DB,   0,    ,    0,    0,    0,    0, 1011,  150,  75,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 15, 2009090418,   , BEST,   0, 124N, 1148W,  20, 1010, DB,   0,    ,    0,    0,    0,    0, 
EP, 15, 2009090500,   , BEST,   0, 127N, 1154W,  20, 1010, DB,   0,    ,    0,    0,    0,    0, 1011,  175,  75,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 15, 2009090506,   , BEST,   0, 131N, 1167W,  20, 1010, DB,   0,    ,    0,    0,    0,    0, 
EP, 15, 2009090512,   , BEST,   0, 141N, 1191W,  20, 1010, DB,   0,    ,    0,    0,    0,    0, 1011,  175,  75,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 15, 2009090518,   , BEST,   0, 144N, 1203W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  175,  75,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 15, 2009090600,   , BEST,   0, 145N, 1215W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  175,  75,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 15, 2009090606,   , BEST,   0, 146N, 1224W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 15, 2009090612,   , BEST,   0, 147N, 1232W,  25, 1008, DB,   0,    ,    0,    0,    0,    0, 1011,  180,  50,  35,   0,   E,   0,    ,   0,   0,     INVEST, D, 
EP, 15, 2009090618,   , BEST,   0, 148N, 1239W,  25, 1008, DB,   0,    ,    0,    0,    0,    0, 1011,  180,  60,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 15, 2009090700,   , BEST,   0, 152N, 1246W,  25, 1008, DB,   0,    ,    0,    0,    0,    0, 1011,  150,  45,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 15, 2009090706,   , BEST,   0, 153N, 1253W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1011,  150,  40,  40,   0,   E,   0,    ,   0,   0,    FIFTEEN, M, 
EP, 15, 2009090712,   , BEST,   0, 152N, 1261W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1011,  150,  40,  40,   0,   E,   0,    ,   0,   0,    FIFTEEN, M, 
EP, 15, 2009090718,   , BEST,   0, 152N, 1267W,  50,  997, TS,  34, NEQ,   50,   30,   40,   60, 1006,  150,  25,  60,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ,  90,  30,  30,  90
EP, 15, 2009090718,   , BEST,   0, 152N, 1267W,  50,  997, TS,  50, NEQ,   20,   10,   10,   20, 1006,  150,  25,  60,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ,  90,  30,  30,  90
EP, 15, 2009090800,   , BEST,   0, 152N, 1274W,  50,  997, TS,  34, NEQ,   60,   30,   60,   60, 1010,  150,  20,  60,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ,  90,  30,  30,  90
EP, 15, 2009090800,   , BEST,   0, 152N, 1274W,  50,  997, TS,  50, NEQ,   20,   10,    0,   20, 1010,  150,  20,  60,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ,  90,  30,  30,  90
EP, 15, 2009090806,   , BEST,   0, 151N, 1278W,  50,  997, TS,  34, NEQ,   60,   40,   30,   60, 1010,  150,  20,  60,   0,   E,   0,    ,   0,   0,      LINDA, D, 
EP, 15, 2009090806,   , BEST,   0, 151N, 1278W,  50,  997, TS,  50, NEQ,   20,   10,    0,   20, 1010,  150,  20,  60,   0,   E,   0,    ,   0,   0,      LINDA, D, 
EP, 15, 2009090812,   , BEST,   0, 151N, 1281W,  50,  997, TS,  34, NEQ,   60,   40,   30,   60, 1010,  150,  20,  60,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 150,  50,  50, 120
EP, 15, 2009090812,   , BEST,   0, 151N, 1281W,  50,  997, TS,  50, NEQ,   20,   10,    0,   20, 1010,  150,  20,  60,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 150,  50,  50, 120
EP, 15, 2009090818,   , BEST,   0, 152N, 1282W,  50,  997, TS,  34, NEQ,   40,   40,   40,   90, 1010,  150,  20,  60,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 150,  50,  50, 120
EP, 15, 2009090818,   , BEST,   0, 152N, 1282W,  50,  997, TS,  50, NEQ,    0,    0,    0,   50, 1010,  150,  20,  60,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 150,  50,  50, 120
EP, 15, 2009090900,   , BEST,   0, 154N, 1283W,  55,  997, TS,  34, NEQ,   50,   50,   50,   90, 1010,  150,  20,  65,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 150,  50,  50, 120
EP, 15, 2009090900,   , BEST,   0, 154N, 1283W,  55,  997, TS,  50, NEQ,   30,    0,    0,   40, 1010,  150,  20,  65,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 150,  50,  50, 120
EP, 15, 2009090906,   , BEST,   0, 156N, 1283W,  55,  994, TS,  34, NEQ,   50,   50,   50,   90, 1010,  150,  20,  65,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 135,  75, 135, 175
EP, 15, 2009090906,   , BEST,   0, 156N, 1283W,  55,  994, TS,  50, NEQ,   30,    0,    0,   40, 1010,  150,  20,  65,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 135,  75, 135, 175
EP, 15, 2009090912,   , BEST,   0, 161N, 1286W,  55,  994, TS,  34, NEQ,   60,   30,   30,   60, 1010,  150,  20,  65,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 120,  75,  90, 180
EP, 15, 2009090912,   , BEST,   0, 161N, 1286W,  55,  994, TS,  50, NEQ,   30,    0,    0,   40, 1010,  150,  20,  65,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 120,  75,  90, 180
EP, 15, 2009090918,   , BEST,   0, 165N, 1289W,  60,  990, TS,  34, NEQ,  100,   50,   30,  110, 1010,  150,  20,  75,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 120,  75,  90, 180
EP, 15, 2009090918,   , BEST,   0, 165N, 1289W,  60,  990, TS,  50, NEQ,   40,    0,    0,   30, 1010,  150,  20,  75,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 120,  75,  90, 180
EP, 15, 2009091000,   , BEST,   0, 168N, 1291W,  70,  985, HU,  34, NEQ,  100,   50,   30,  110, 1010,  150,  20,  85,  20,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 180, 120, 150, 180
EP, 15, 2009091000,   , BEST,   0, 168N, 1291W,  70,  985, HU,  50, NEQ,   40,   30,    0,   30, 1010,  150,  20,  85,  20,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 180, 120, 150, 180
EP, 15, 2009091000,   , BEST,   0, 168N, 1291W,  70,  985, HU,  64, NEQ,   20,    0,    0,    0, 1010,  150,  20,  85,  20,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 180, 120, 150, 180
EP, 15, 2009091006,   , BEST,   0, 175N, 1294W,  70,  985, HU,  34, NEQ,  120,   90,   90,  120, 1010,  150,  20,  85,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 180, 120, 150, 180
EP, 15, 2009091006,   , BEST,   0, 175N, 1294W,  70,  985, HU,  50, NEQ,   60,   60,   60,   60, 1010,  150,  20,  85,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 180, 120, 150, 180
EP, 15, 2009091006,   , BEST,   0, 175N, 1294W,  70,  985, HU,  64, NEQ,   20,   20,   20,   20, 1010,  150,  20,  85,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 180, 120, 150, 180
EP, 15, 2009091012,   , BEST,   0, 183N, 1297W,  75,  982, HU,  34, NEQ,  120,   90,   90,  120, 1010,  150,  20,  85,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 180, 120, 150, 180
EP, 15, 2009091012,   , BEST,   0, 183N, 1297W,  75,  982, HU,  50, NEQ,   60,   60,   60,   60, 1010,  150,  20,  85,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 180, 120, 150, 180
EP, 15, 2009091012,   , BEST,   0, 183N, 1297W,  75,  982, HU,  64, NEQ,   20,   20,   20,   20, 1010,  150,  20,  85,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 180, 120, 150, 180
EP, 15, 2009091018,   , BEST,   0, 189N, 1299W,  70,  985, HU,  34, NEQ,  120,   90,   90,  120, 1010,  150,  20,  85,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 180, 120, 150, 180
EP, 15, 2009091018,   , BEST,   0, 189N, 1299W,  70,  985, HU,  50, NEQ,   60,   60,   60,   60, 1010,  150,  20,  85,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 180, 120, 150, 180
EP, 15, 2009091018,   , BEST,   0, 189N, 1299W,  70,  985, HU,  64, NEQ,   20,   20,   20,   20, 1010,  150,  20,  85,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 180, 120, 150, 180
EP, 15, 2009091100,   , BEST,   0, 194N, 1302W,  60,  991, TS,  34, NEQ,  120,   90,   90,  120, 1012,  160,  30,  75,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 150, 120,  60, 150
EP, 15, 2009091100,   , BEST,   0, 194N, 1302W,  60,  991, TS,  50, NEQ,   60,   60,   60,   60, 1012,  160,  30,  75,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 150, 120,  60, 150
EP, 15, 2009091106,   , BEST,   0, 199N, 1305W,  50,  997, TS,  34, NEQ,   85,   60,   60,   85, 1012,  160,  35,  60,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 180, 150, 120, 150
EP, 15, 2009091106,   , BEST,   0, 199N, 1305W,  50,  997, TS,  50, NEQ,   35,    0,    0,    0, 1012,  160,  35,  60,   0,   E,   0,    ,   0,   0,      LINDA, D, 12, NEQ, 180, 150, 120, 150
EP, 15, 2009091112,   , BEST,   0, 204N, 1308W,  40, 1000, TS,  34, NEQ,   60,   45,   45,   60, 1014,  200,  30,  50,   0,   E,   0,    ,   0,   0,      LINDA, M, 
EP, 15, 2009091118,   , BEST,   0, 206N, 1311W,  35, 1002, TS,  34, NEQ,   45,   45,   45,   45, 1014,  200,  30,  45,   0,   E,   0,    ,   0,   0,      LINDA, M, 
EP, 15, 2009091200,   , BEST,   0, 208N, 1315W,  30, 1007, TD,  34, NEQ,    0,    0,    0,    0, 1014,  200,  30,  40,   0,   E,   0,    ,   0,   0,      LINDA, S, 12, NEQ,  80,   0,  25,  60
