EP, 19, 2009100812,   , BEST,   0, 164N, 1076W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 19, 2009100818,   , BEST,   0, 167N, 1076W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 19, 2009100900,   , BEST,   0, 170N, 1074W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 19, 2009100906,   , BEST,   0, 173N, 1071W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 19, 2009100912,   , BEST,   0, 175N, 1066W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  120,  45,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 19, 2009100918,   , BEST,   0, 174N, 1060W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  120,  45,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 19, 2009101000,   , BEST,   0, 166N, 1056W,  25, 1008, DB,   0,    ,    0,    0,    0,    0, 1010,  120,  45,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 19, 2009101006,   , BEST,   0, 161N, 1064W,  25, 1008, DB,   0,    ,    0,    0,    0,    0, 
EP, 19, 2009101012,   , BEST,   0, 156N, 1073W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  150,  45,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 19, 2009101018,   , BEST,   0, 152N, 1080W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  160,  45,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 19, 2009101100,   , BEST,   0, 154N, 1080W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  170,  45,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 19, 2009101106,   , BEST,   0, 158N, 1081W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 
EP, 19, 2009101112,   , BEST,   0, 166N, 1082W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  175,  45,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 19, 2009101118,   , BEST,   0, 171N, 1083W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  175,  45,  40,   0,   E,   0,    ,   0,   0,   NINETEEN, M, 
EP, 19, 2009101200,   , BEST,   0, 178N, 1088W,  35, 1003, TS,  34, NEQ,    0,   30,   30,    0, 1010,  175,  30,  45,   0,   E,   0,    ,   0,   0,   NINETEEN, M, 
EP, 19, 2009101206,   , BEST,   0, 183N, 1093W,  40, 1001, TS,  34, NEQ,   30,   60,   45,    0, 1008,  175,  40,  50,   0,   E,   0,    ,   0,   0,   PATRICIA, D, 
EP, 19, 2009101212,   , BEST,   0, 188N, 1096W,  40, 1001, TS,  34, NEQ,   30,   60,   45,    0, 1007,  175,  40,  50,   0,   E,   0,    ,   0,   0,   PATRICIA, D, 12, NEQ, 120,  90,  45,  30
EP, 19, 2009101218,   , BEST,   0, 193N, 1097W,  50,  997, TS,  34, NEQ,    0,  100,   50,    0, 1005,  150,  40,  60,   0,   E,   0,    ,   0,   0,   PATRICIA, D, 12, NEQ, 130,  90,  45,  30
EP, 19, 2009101218,   , BEST,   0, 193N, 1097W,  50,  997, TS,  50, NEQ,    0,   50,    0,    0, 1005,  150,  40,  60,   0,   E,   0,    ,   0,   0,   PATRICIA, D, 12, NEQ, 130,  90,  45,  30
EP, 19, 2009101300,   , BEST,   0, 198N, 1094W,  50,  997, TS,  34, NEQ,   25,   75,  100,    0, 1008,  180,  40,  60,   0,   E,   0,    ,   0,   0,   PATRICIA, D, 12, NEQ, 130,  90,  45,  30
EP, 19, 2009101300,   , BEST,   0, 198N, 1094W,  50,  997, TS,  50, NEQ,    0,   40,   60,    0, 1008,  180,  40,  60,   0,   E,   0,    ,   0,   0,   PATRICIA, D, 12, NEQ, 130,  90,  45,  30
EP, 19, 2009101306,   , BEST,   0, 204N, 1092W,  50,  997, TS,  34, NEQ,   25,   75,  100,    0, 1009,  160,  35,  60,   0,   E,   0,    ,   0,   0,   PATRICIA, D, 12, NEQ, 150,  90,  45,  45
EP, 19, 2009101306,   , BEST,   0, 204N, 1092W,  50,  997, TS,  50, NEQ,    0,   40,   60,    0, 1009,  160,  35,  60,   0,   E,   0,    ,   0,   0,   PATRICIA, D, 12, NEQ, 150,  90,  45,  45
EP, 19, 2009101312,   , BEST,   0, 212N, 1090W,  50,  997, TS,  34, NEQ,   25,   75,  100,    0, 1009,  160,  35,  60,   0,   E,   0,    ,   0,   0,   PATRICIA, D, 12, NEQ, 150,  90,  45,  45
EP, 19, 2009101312,   , BEST,   0, 212N, 1090W,  50,  997, TS,  50, NEQ,    0,   40,   60,    0, 1009,  160,  35,  60,   0,   E,   0,    ,   0,   0,   PATRICIA, D, 12, NEQ, 150,  90,  45,  45
EP, 19, 2009101318,   , BEST,   0, 219N, 1088W,  45, 1000, TS,  34, NEQ,   60,   75,   40,    0, 1011,  160,  40,  55,   0,   E,   0,    ,   0,   0,   PATRICIA, D, 12, NEQ, 120, 120, 120,  45
EP, 19, 2009101400,   , BEST,   0, 224N, 1090W,  35, 1002, TS,  34, NEQ,   75,   75,   40,    0, 1010,  160,  40,  45,   0,   E,   0,    ,   0,   0,   PATRICIA, M, 12, NEQ,  60, 120, 120,  45
EP, 19, 2009101406,   , BEST,   0, 227N, 1094W,  30, 1006, TD,  34, NEQ,    0,    0,    0,    0, 1010,  130,  30,  40,   0,   E,   0,    ,   0,   0,   PATRICIA, S, 
