AL, A4, 2010062512, 01, CARQ, -24, 135N,  531W,  25,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, A4, 2010062512, 01, CARQ, -18, 152N,  549W,  25,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, A4, 2010062512, 01, CARQ, -12, 161N,  560W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 310,  13, 
AL, A4, 2010062512, 01, CARQ,  -6, 169N,  570W,  25,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, A4, 2010062512, 01, CARQ,   0, 178N,  578W,  25, 1013, DB,  34, NEQ,    0,    0,    0,    0, 1014,  120,  45,   0,   0,   L,   0,   X, 315,  13,     INVEST, S, 
AL, A4, 2010062512, 01, CARQ,   0, 178N,  578W,  25, 1013, DB,  50, NEQ,    0,    0,    0,    0, 1014,  120,  45,   0,   0,   L,   0,   X, 315,  13,     INVEST, S, 
AL, A4, 2010062512, 01, CARQ,   0, 178N,  578W,  25, 1013, DB,  64, NEQ,    0,    0,    0,    0, 1014,  120,  45,   0,   0,   L,   0,   X, 315,  13,     INVEST, S, 
AL, A4, 2010062512, 03,  CMC,   0, 171N,  590W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03,  CMC,   6, 186N,  596W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03,  CMC,  12, 196N,  603W,  28, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03,  CMC,  18, 201N,  615W,  27, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03,  CMC,  24, 209N,  629W,  26, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03,  CMC,  30, 210N,  639W,  23, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03,  CMC,  36, 216N,  644W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03,  CMC,  42, 225N,  649W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03,  CMC,  48, 236N,  656W,  33, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03,  CMC,  54, 241N,  669W,  29, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03,  CMC,  60, 249N,  675W,  30, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03,  CMC,  66, 253N,  684W,  30, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03,  CMC,  72, 263N,  690W,  33, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03,  CMC,  78, 276N,  695W,  34, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03,  CMC,  84, 284N,  696W,  31, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03,  CMC,  90, 297N,  696W,  34, 1009, XX,  34, NEQ,    0,   92,    0,    0, 
AL, A4, 2010062512, 03,  CMC,  96, 310N,  691W,  39, 1009, XX,  34, NEQ,   56,   88,    0,    0, 
AL, A4, 2010062512, 03,  CMC, 102, 321N,  682W,  38, 1009, XX,  34, NEQ,    0,   79,    0,    0, 
AL, A4, 2010062512, 03,  CMC, 108, 332N,  672W,  38, 1009, XX,  34, NEQ,    0,   70,    0,    0, 
AL, A4, 2010062512, 03,  CMC, 114, 350N,  661W,  40, 1008, XX,  34, NEQ,   57,  105,    0,    0, 
AL, A4, 2010062512, 03,  CMC, 120, 364N,  646W,  35, 1009, XX,  34, NEQ,    0,   83,    0,    0, 
AL, A4, 2010062512, 03,  CMC, 126, 383N,  631W,  38, 1008, XX,  34, NEQ,    0,   94,    0,    0, 
AL, A4, 2010062512, 03,  CMC, 132, 406N,  611W,  40, 1006, XX,  34, NEQ,    0,  114,    0,    0, 
AL, A4, 2010062512, 03,  CMC, 138, 426N,  587W,  39, 1005, XX,  34, NEQ,    0,  109,    0,    0, 
AL, A4, 2010062512, 03,  CMC, 144, 441N,  561W,  31, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03,  EMX,   0, 171N,  587W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03,  UKX,   0, 174N,  582W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03,  UKX,  12, 196N,  601W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03,  UKX,  24, 210N,  627W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03,  UKX,  36, 220N,  648W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03,  UKX,  48, 234N,  671W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03,  UKX,  60, 244N,  690W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03,  UKX,  72, 254N,  714W,  12, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AC00,   0, 183N,  585W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AC00,   6, 189N,  592W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AC00,  12, 199N,  605W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AC00,  18, 204N,  619W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AC00,  24, 208N,  634W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AC00,  30, 208N,  638W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AC00,  36, 202N,  661W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AC00,  42, 206N,  671W,  12, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AC00,  48, 218N,  672W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AC00,  54, 221N,  675W,  13, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AEMN,   0, 180N,  586W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AEMN,   6, 189N,  598W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AEMN,  12, 198N,  606W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AEMN,  18, 203N,  617W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AEMN,  24, 209N,  625W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AEMN,  30, 217N,  632W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AEMN,  36, 221N,  636W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AEMN,  42, 228N,  643W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AEMN,  48, 238N,  651W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AEMN,  54, 245N,  655W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AEMN,  60, 249N,  662W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AEMN,  66, 254N,  668W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AEMN,  72, 264N,  672W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AEMN,  78, 271N,  677W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AEMN,  84, 281N,  681W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AEMN,  90, 292N,  684W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP01,   0, 179N,  590W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP01,   6, 196N,  601W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP01,  12, 208N,  611W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP01,  18, 206N,  622W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP01,  24, 206N,  629W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP01,  30, 212N,  645W,  16, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP01,  36, 220N,  651W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP01,  42, 237N,  658W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP01,  48, 244N,  664W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP01,  54, 249N,  671W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP01,  60, 257N,  676W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP01,  66, 260N,  684W,  13, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP01,  72, 263N,  702W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP01,  78, 270N,  708W,  16, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP01,  84, 278N,  716W,  14, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP01,  90, 286N,  720W,  14, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP02,   0, 173N,  588W,  25, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP02,   6, 183N,  590W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP02,  12, 199N,  598W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP02,  18, 201N,  611W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP02,  24, 209N,  621W,  16, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP02,  30, 219N,  621W,  17, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP02,  36, 224N,  620W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP02,  42, 236N,  627W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP02,  48, 249N,  633W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP02,  54, 259N,  637W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP02,  60, 260N,  650W,  18, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP02,  66, 261N,  663W,  14, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP02,  72, 275N,  665W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP02,  78, 277N,  679W,  14, 1017, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP02,  84, 288N,  682W,  15, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP02,  90, 298N,  682W,  12, 1017, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP02,  96, 303N,  683W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP03,   0, 179N,  585W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP03,   6, 195N,  594W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP03,  12, 199N,  603W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP03,  18, 204N,  617W,  22, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP03,  24, 204N,  627W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP03,  30, 213N,  623W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP03,  36, 224N,  634W,  21, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP03,  42, 237N,  635W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP03,  48, 248N,  647W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP03,  54, 251N,  653W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP03,  60, 260N,  660W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP03,  66, 267N,  667W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP03,  72, 268N,  675W,  16, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP03,  78, 274N,  682W,  14, 1017, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP03,  84, 280N,  687W,  16, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP03,  90, 293N,  687W,  17, 1017, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP03,  96, 300N,  683W,  15, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP03, 102, 309N,  680W,  19, 1018, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP03, 108, 313N,  668W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP03, 114, 321N,  664W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP03, 120, 333N,  653W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP04,   0, 183N,  580W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP04,   6, 193N,  592W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP04,  12, 197N,  606W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP04,  18, 204N,  617W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP04,  24, 210N,  625W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP04,  30, 224N,  623W,  20, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP04,  36, 227N,  631W,  23, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP04,  42, 230N,  639W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP04,  48, 235N,  653W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP04,  54, 236N,  660W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP04,  60, 240N,  670W,  14, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP04,  66, 241N,  677W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP04,  72, 250N,  682W,  16, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP04,  78, 256N,  683W,  14, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP04,  84, 269N,  682W,  14, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP04,  90, 278N,  682W,  13, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP05,   0, 185N,  587W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP05,   6, 195N,  596W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP05,  12, 202N,  604W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP05,  18, 206N,  620W,  21, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP05,  24, 215N,  632W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP05,  30, 229N,  636W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP05,  36, 229N,  641W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP05,  42, 224N,  656W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP06,   0, 178N,  587W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP06,   6, 189N,  599W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP06,  12, 198N,  600W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP06,  18, 206N,  611W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP06,  24, 210N,  622W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP06,  30, 211N,  637W,  15, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP06,  36, 212N,  639W,  14, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP06,  42, 217N,  656W,  11, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP07,   0, 186N,  583W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP07,   6, 200N,  595W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP07,  12, 208N,  609W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP07,  18, 215N,  611W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP07,  24, 233N,  617W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP07,  30, 243N,  621W,  17, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP07,  36, 251N,  607W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP07,  42, 259N,  615W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP07,  48, 265N,  626W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP07,  54, 269N,  631W,  14, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP07,  60, 269N,  635W,  16, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP07,  66, 273N,  643W,  12, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP07,  72, 278N,  645W,  15, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP07,  78, 283N,  653W,  14, 1017, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP07,  84, 290N,  656W,  12, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP07,  90, 300N,  667W,  11, 1018, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP07,  96, 301N,  669W,  11, 1017, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP08,   0, 186N,  572W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP08,   6, 197N,  582W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP08,  12, 207N,  589W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP08,  18, 212N,  604W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A4, 2010062512, 03, AP08,  24, 218N,  610W,  16, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
