AL, A7, 2010071906, 01, CARQ, -24, 167N,  567W,  20,    0, WV,  34, AAA,    0,    0,    0,    0, 
AL, A7, 2010071906, 01, CARQ, -18, 174N,  586W,  20,    0, WV,  34, AAA,    0,    0,    0,    0, 
AL, A7, 2010071906, 01, CARQ, -12, 181N,  601W,  20,    0, WV,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 297,  14, 
AL, A7, 2010071906, 01, CARQ,  -6, 187N,  613W,  20,    0, WV,  34, AAA,    0,    0,    0,    0, 
AL, A7, 2010071906, 01, CARQ,   0, 191N,  624W,  25, 1014, WV,  34, NEQ,    0,    0,    0,    0, 1017,  175,  75,   0,   0,   L,   0,   X, 295,  11,     INVEST, S, 
AL, A7, 2010071906, 01, CARQ,   0, 191N,  624W,  25, 1014, WV,  50, NEQ,    0,    0,    0,    0, 1017,  175,  75,   0,   0,   L,   0,   X, 295,  11,     INVEST, S, 
AL, A7, 2010071906, 01, CARQ,   0, 191N,  624W,  25, 1014, WV,  64, NEQ,    0,    0,    0,    0, 1017,  175,  75,   0,   0,   L,   0,   X, 295,  11,     INVEST, S, 
AL, A7, 2010071906, 03, BAMD,  12, 201N,  645W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMD,  24, 210N,  662W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMD,  36, 216N,  679W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMD,  48, 221N,  693W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMD,  60, 224N,  707W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMD,  72, 228N,  721W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMD,  84, 234N,  735W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMD,  96, 238N,  752W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMD, 108, 241N,  774W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMD, 120, 245N,  798W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMD, 132, 249N,  825W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMD, 144, 252N,  851W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMD, 156, 255N,  877W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMD, 168, 257N,  902W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMM,  12, 201N,  651W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMM,  24, 207N,  676W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMM,  36, 213N,  701W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMM,  48, 215N,  723W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMM,  60, 216N,  746W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMM,  72, 215N,  768W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMM,  84, 215N,  788W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMM,  96, 218N,  807W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMM, 108, 223N,  825W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMM, 120, 229N,  843W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMM, 132, 233N,  861W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMM, 144, 235N,  880W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMM, 156, 239N,  900W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMM, 168, 241N,  919W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMS,  12, 203N,  659W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMS,  24, 213N,  693W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMS,  36, 225N,  727W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMS,  48, 234N,  756W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMS,  60, 240N,  785W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMS,  72, 244N,  816W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMS,  84, 249N,  846W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMS,  96, 253N,  874W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMS, 108, 259N,  899W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMS, 120, 265N,  923W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMS, 132, 273N,  940W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMS, 144, 277N,  959W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMS, 156, 284N,  975W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, BAMS, 168, 289N,  991W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, CLIP,  12, 200N,  643W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, CLIP,  24, 210N,  661W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, CLIP,  36, 220N,  675W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, CLIP,  48, 230N,  687W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, CLIP,  72, 253N,  703W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, CLP5,  12, 201N,  644W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, CLP5,  24, 211N,  662W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, CLP5,  36, 222N,  678W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, CLP5,  48, 232N,  694W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, CLP5,  60, 246N,  705W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
