AL, B7, 2010082612, 01, CARQ, -24, 111N,  135W,  15,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, B7, 2010082612, 01, CARQ, -18, 112N,  150W,  15,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, B7, 2010082612, 01, CARQ, -12, 113N,  165W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 275,  12, 
AL, B7, 2010082612, 01, CARQ,  -6, 114N,  175W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, B7, 2010082612, 01, CARQ,   0, 115N,  190W,  20, 1010, DB,  34, NEQ,    0,    0,    0,    0, 1013,  175,  45,   0,   0,   L,   0,   X, 275,  13,     INVEST, M, 
AL, B7, 2010082612, 01, CARQ,   0, 115N,  190W,  20, 1010, DB,  50, NEQ,    0,    0,    0,    0, 1013,  175,  45,   0,   0,   L,   0,   X, 275,  13,     INVEST, M, 
AL, B7, 2010082612, 01, CARQ,   0, 115N,  190W,  20, 1010, DB,  64, NEQ,    0,    0,    0,    0, 1013,  175,  45,   0,   0,   L,   0,   X, 275,  13,     INVEST, M, 
AL, B7, 2010082612, 03,  EMX,   0, 119N,  179W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03,  EMX,  12, 129N,  200W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03,  EMX,  24, 131N,  229W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03,  EMX,  36, 136N,  259W,  30, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03,  EMX,  48, 139N,  289W,  36, 1006, XX,  34, NEQ,    0,    0,    0,   17, 
AL, B7, 2010082612, 03,  EMX,  60, 140N,  320W,  31, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
