AL, B8, 2010083100, 01, CARQ, -24,  94N,  207W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, B8, 2010083100, 01, CARQ, -18,  97N,  221W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, B8, 2010083100, 01, CARQ, -12,  99N,  236W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 278,  15, 
AL, B8, 2010083100, 01, CARQ,  -6, 101N,  251W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, B8, 2010083100, 01, CARQ,   0, 103N,  266W,  20, 1010, DB,  34, NEQ,    0,    0,    0,    0, 1012,  150,   0,   0,   0,   L,   0,   X, 280,  15,     INVEST, S, 
AL, B8, 2010083100, 01, CARQ,   0, 103N,  266W,  20, 1010, DB,  50, NEQ,    0,    0,    0,    0, 1012,  150,   0,   0,   0,   L,   0,   X, 280,  15,     INVEST, S, 
AL, B8, 2010083100, 01, CARQ,   0, 103N,  266W,  20, 1010, DB,  64, NEQ,    0,    0,    0,    0, 1012,  150,   0,   0,   0,   L,   0,   X, 280,  15,     INVEST, S, 
AL, B8, 2010083100, 03,  CMC,   0, 110N,  267W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03,  NGX,   0, 112N,  264W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03,  UKX,   0, 105N,  271W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03,  UKX,  12, 114N,  308W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03,  UKX,  24, 111N,  330W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, AP06,   0,  97N,  257W,  12, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, AP06,   6,  91N,  258W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, AP06,  12,  89N,  281W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, AP06,  18,  94N,  290W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, AP06,  24,  93N,  290W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, AP09,   0,  88N,  267W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, AP09,   6,  91N,  284W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, AP09,  12,  81N,  287W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, AP09,  18,  87N,  285W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, BAMD,  12, 107N,  288W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, BAMD,  24, 112N,  309W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, BAMD,  36, 118N,  330W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, BAMD,  48, 126N,  347W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
