AL, C4, 2010091812, 01, CARQ, -24, 121N,  246W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, C4, 2010091812, 01, CARQ, -18, 122N,  252W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, C4, 2010091812, 01, CARQ, -12, 123N,  257W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 287,   5, 
AL, C4, 2010091812, 01, CARQ,  -6, 125N,  262W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, C4, 2010091812, 01, CARQ,   0, 128N,  267W,  25, 1008, DB,  34, NEQ,    0,    0,    0,    0, 1011,  135,  60,   0,   0,   L,   0,   X, 290,   5,     INVEST, D, 
AL, C4, 2010091812, 01, CARQ,   0, 128N,  267W,  25, 1008, DB,  50, NEQ,    0,    0,    0,    0, 1011,  135,  60,   0,   0,   L,   0,   X, 290,   5,     INVEST, D, 
AL, C4, 2010091812, 01, CARQ,   0, 128N,  267W,  25, 1008, DB,  64, NEQ,    0,    0,    0,    0, 1011,  135,  60,   0,   0,   L,   0,   X, 290,   5,     INVEST, D, 
AL, C4, 2010091812, 03,  CMC,   0, 129N,  268W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  CMC,   6, 130N,  277W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  CMC,  12, 131N,  293W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  CMC,  18, 134N,  300W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  CMC,  24, 140N,  309W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  CMC,  30, 147N,  316W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  CMC,  36, 148N,  327W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  CMC,  42, 150N,  331W,  26, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  CMC,  48, 153N,  334W,  26, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  CMC,  54, 159N,  335W,  27, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  CMC,  60, 163N,  335W,  29, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  CMC,  66, 169N,  338W,  31, 1000, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  CMC,  72, 170N,  340W,  32, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  CMC,  78, 171N,  342W,  31,  999, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  CMC,  84, 173N,  345W,  31, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  CMC,  90, 180N,  350W,  35,  998, XX,  34, NEQ,    0,   86,    0,    0, 
AL, C4, 2010091812, 03,  CMC,  96, 181N,  358W,  36, 1000, XX,  34, NEQ,  103,  121,    0,    0, 
AL, C4, 2010091812, 03,  CMC, 102, 182N,  362W,  35,  998, XX,  34, NEQ,  112,  124,    0,    0, 
AL, C4, 2010091812, 03,  CMC, 108, 185N,  368W,  35, 1000, XX,  34, NEQ,    0,   59,    0,   97, 
AL, C4, 2010091812, 03,  CMC, 114, 190N,  374W,  34,  998, XX,  34, NEQ,   70,    0,    0,    0, 
AL, C4, 2010091812, 03,  CMC, 120, 192N,  384W,  35, 1000, XX,  34, NEQ,  112,   85,    0,  116, 
AL, C4, 2010091812, 03,  CMC, 126, 193N,  396W,  35,  998, XX,  34, NEQ,  116,    0,    0,    0, 
AL, C4, 2010091812, 03,  CMC, 132, 197N,  404W,  36,  999, XX,  34, NEQ,   83,    0,    0,   86, 
AL, C4, 2010091812, 03,  CMC, 138, 199N,  414W,  38,  996, XX,  34, NEQ,  113,    0,    0,   73, 
AL, C4, 2010091812, 03,  CMC, 144, 201N,  422W,  38,  997, XX,  34, NEQ,  123,   68,    0,    0, 
AL, C4, 2010091812, 03,  EMX,   0, 133N,  270W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  EMX,  12, 139N,  288W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  EMX,  24, 148N,  300W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  EMX,  36, 154N,  308W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  EMX,  48, 160N,  312W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  EMX,  60, 164N,  315W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  EMX,  72, 169N,  318W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  EMX,  84, 169N,  318W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  EMX,  96, 167N,  316W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  EMX, 108, 168N,  312W,  28, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  EMX, 120, 167N,  321W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  EMX, 132, 164N,  326W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  EMX, 144, 173N,  325W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  EMX, 156, 187N,  323W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  EMX, 168, 200N,  322W,  28, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  EMX, 180, 211N,  321W,  29, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  EMX, 192, 220N,  327W,  34, 1005, XX,  34, NEQ,   73,    0,    0,    0, 
AL, C4, 2010091812, 03,  EMX, 204, 229N,  331W,  37, 1004, XX,  34, NEQ,   89,    0,    0,   61, 
AL, C4, 2010091812, 03,  EMX, 216, 239N,  342W,  36, 1004, XX,  34, NEQ,   37,    0,    0,   69, 
AL, C4, 2010091812, 03,  EMX, 228, 240N,  360W,  39, 1003, XX,  34, NEQ,   78,    0,    0,    0, 
AL, C4, 2010091812, 03,  EMX, 240, 242N,  380W,  51, 1006, XX,  34, NEQ,   70,    0,    0,    0, 
AL, C4, 2010091812, 03,  EMX, 240, 242N,  380W,  51, 1006, XX,  50, NEQ,   48,    0,    0,    0, 
AL, C4, 2010091812, 03,  NGX,   0, 125N,  276W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  NGX,  12, 131N,  282W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  NGX,  24, 140N,  300W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  NGX,  36, 143N,  309W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  NGX,  48, 145N,  318W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  NGX,  60, 148N,  321W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  NGX,  72, 148N,  329W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  NGX,  84, 148N,  341W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  NGX,  96, 144N,  356W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  NGX, 108, 148N,  387W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  NGX, 120, 143N,  390W,  29, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  NGX, 132, 150N,  402W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  NGX, 144, 155N,  417W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  UKX,   0, 126N,  270W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  UKX,  12, 133N,  288W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  UKX,  24, 138N,  304W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  UKX,  36, 149N,  312W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  UKX,  48, 152N,  322W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  UKX,  60, 158N,  327W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  UKX,  72, 167N,  326W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00,   0, 128N,  282W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00,   6, 130N,  291W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00,  12, 133N,  300W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00,  18, 140N,  308W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
