AL, D0, 2010102112, 01, CARQ, -24,  96N,  185W,  15,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, D0, 2010102112, 01, CARQ, -18,  97N,  195W,  15,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, D0, 2010102112, 01, CARQ, -12,  98N,  205W,  15,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 276,  10, 
AL, D0, 2010102112, 01, CARQ,  -6,  99N,  215W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, D0, 2010102112, 01, CARQ,   0, 100N,  225W,  20, 1010, LO,  34, NEQ,    0,    0,    0,    0, 1012,  200,  90,   0,   0,   L,   0,   X, 275,  10,     INVEST, D, 
AL, D0, 2010102112, 01, CARQ,   0, 100N,  225W,  20, 1010, LO,  50, NEQ,    0,    0,    0,    0, 1012,  200,  90,   0,   0,   L,   0,   X, 275,  10,     INVEST, D, 
AL, D0, 2010102112, 01, CARQ,   0, 100N,  225W,  20, 1010, LO,  64, NEQ,    0,    0,    0,    0, 1012,  200,  90,   0,   0,   L,   0,   X, 275,  10,     INVEST, D, 
AL, D0, 2010102112, 03,  EMX,   0,  91N,  221W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03,  EMX,  12, 107N,  239W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03,  EMX,  24, 118N,  253W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03,  EMX,  36, 143N,  268W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03,  NGX,   0,  90N,  229W,  12, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, AEMN,   0,  92N,  223W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, AP01,   0,  90N,  223W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, AP07,   0,  87N,  223W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, AP07,   6,  83N,  240W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, AP08,   0,  91N,  225W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, AP08,   6, 104N,  233W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, AP08,  12, 121N,  234W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, AP08,  18, 123N,  246W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, AP08,  24, 132N,  257W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, AP08,  30, 136N,  268W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
