AL, D4, 2010111218, 01, CARQ, -24, 113N,  745W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, D4, 2010111218, 01, CARQ, -18, 112N,  750W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, D4, 2010111218, 01, CARQ, -12, 112N,  754W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 263,   4, 
AL, D4, 2010111218, 01, CARQ,  -6, 111N,  758W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, D4, 2010111218, 01, CARQ,   0, 111N,  762W,  20, 1009, DB,  34, NEQ,    0,    0,    0,    0, 1010,  150,  50,   0,   0,   L,   0,   X, 265,   4,     INVEST, S, 
AL, D4, 2010111218, 01, CARQ,   0, 111N,  762W,  20, 1009, DB,  50, NEQ,    0,    0,    0,    0, 1010,  150,  50,   0,   0,   L,   0,   X, 265,   4,     INVEST, S, 
AL, D4, 2010111218, 01, CARQ,   0, 111N,  762W,  20, 1009, DB,  64, NEQ,    0,    0,    0,    0, 1010,  150,  50,   0,   0,   L,   0,   X, 265,   4,     INVEST, S, 
AL, D4, 2010111218, 03,  NAM,   0, 108N,  760W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D4, 2010111218, 03,  NAM,   6, 107N,  772W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D4, 2010111218, 03,  NAM,  12, 107N,  786W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D4, 2010111218, 03,  NAM,  18, 108N,  787W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D4, 2010111218, 03,  NAM,  24, 111N,  789W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D4, 2010111218, 03,  NAM,  30, 104N,  803W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D4, 2010111218, 03, AC00,   0, 109N,  764W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D4, 2010111218, 03, AC00,   6, 113N,  764W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D4, 2010111218, 03, AC00,  12, 110N,  760W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D4, 2010111218, 03, AC00,  18, 115N,  756W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D4, 2010111218, 03, AC00,  24, 108N,  754W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D4, 2010111218, 03, AC00,  30, 111N,  759W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D4, 2010111218, 03, AC00,  36, 115N,  759W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D4, 2010111218, 03, AC00,  42, 111N,  761W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D4, 2010111218, 03, AC00,  48, 106N,  765W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D4, 2010111218, 03, AC00,  54,  94N,  769W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D4, 2010111218, 03, AC00,  60,  99N,  766W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
