AL, D5, 2010122018, 01, CARQ, -24, 106N,  504W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, D5, 2010122018, 01, CARQ, -18, 107N,  516W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, D5, 2010122018, 01, CARQ, -12, 109N,  528W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 282,  12, 
AL, D5, 2010122018, 01, CARQ,  -6, 112N,  540W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, D5, 2010122018, 01, CARQ,   0, 116N,  551W,  25, 1008, LO,  34, NEQ,    0,    0,    0,    0, 1011,  150,  20,   0,   0,   L,   0,   X, 285,  12,     INVEST, M, 
AL, D5, 2010122018, 01, CARQ,   0, 116N,  551W,  25, 1008, LO,  50, NEQ,    0,    0,    0,    0, 1011,  150,  20,   0,   0,   L,   0,   X, 285,  12,     INVEST, M, 
AL, D5, 2010122018, 01, CARQ,   0, 116N,  551W,  25, 1008, LO,  64, NEQ,    0,    0,    0,    0, 1011,  150,  20,   0,   0,   L,   0,   X, 285,  12,     INVEST, M, 
AL, D5, 2010122018, 03, AC00,   0, 106N,  544W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, AC00,   6, 105N,  545W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, AEMN,   0, 106N,  545W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, AEMN,   6, 109N,  550W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, AP01,   0, 109N,  539W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, AP01,   6, 108N,  542W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, AP02,   0, 107N,  552W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, AP02,   6, 100N,  564W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, AP03,   0, 106N,  545W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, AP03,   6, 106N,  552W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, AP04,   0, 104N,  551W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, AP05,   0, 113N,  550W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, AP05,   6, 112N,  559W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, AP06,   0, 107N,  544W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, AP06,   6, 117N,  546W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, AP06,  12, 112N,  554W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, AP06,  18, 116N,  574W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, AP06,  24, 116N,  583W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
