AL, E3, 2010080600, 01, CARQ, -24, 115N,  367W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, E3, 2010080600, 01, CARQ, -18, 116N,  362W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, E3, 2010080600, 01, CARQ, -12, 119N,  360W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,  29,   4, 
AL, E3, 2010080600, 01, CARQ,  -6, 123N,  358W,  25,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, E3, 2010080600, 01, CARQ,   0, 127N,  358W,  25, 1008, DB,  34, NEQ,    0,    0,    0,    0, 1011,  150,  60,   0,   0,   L,   0,   X,   0,   4,     INVEST, D, 
AL, E3, 2010080600, 01, CARQ,   0, 127N,  358W,  25, 1008, DB,  50, NEQ,    0,    0,    0,    0, 1011,  150,  60,   0,   0,   L,   0,   X,   0,   4,     INVEST, D, 
AL, E3, 2010080600, 01, CARQ,   0, 127N,  358W,  25, 1008, DB,  64, NEQ,    0,    0,    0,    0, 1011,  150,  60,   0,   0,   L,   0,   X,   0,   4,     INVEST, D, 
AL, E3, 2010080600, 03,  EMX,   0, 134N,  360W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  EMX,  12, 151N,  365W,  26, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  EMX,  24, 170N,  356W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  EMX,  36, 189N,  378W,  24, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  EMX,  48, 199N,  400W,  25, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  EMX,  60, 207N,  430W,  25, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  EMX,  72, 209N,  459W,  24, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  EMX,  84, 210N,  489W,  23, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  EMX,  96, 212N,  518W,  20, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  EMX, 108, 220N,  541W,  20, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  EMX, 120, 229N,  561W,  21, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  EMX, 132, 242N,  573W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  EMX, 144, 253N,  573W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  EMX, 156, 267N,  565W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  EMX, 168, 280N,  550W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  EMX, 180, 291N,  532W,  21, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  EMX, 192, 313N,  510W,  18, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  EMX, 204, 335N,  486W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  EMX, 216, 362N,  451W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  EMX, 228, 399N,  413W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  EMX, 240, 442N,  362W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  UKX,   0, 139N,  345W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  UKX,  12, 161N,  347W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  UKX,  24, 174N,  352W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  UKX,  36, 188N,  372W,  20, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  UKX,  48, 199N,  401W,  19, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  UKX,  60, 213N,  420W,  19, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03,  UKX,  72, 214N,  440W,  19, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00,   0, 129N,  364W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00,   6, 121N,  373W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00,  12, 110N,  382W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00,  18, 114N,  375W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00,  24, 123N,  373W,  28, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00,  30, 140N,  377W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AC00,  36, 158N,  396W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
