EP, A0, 2010052518, 01, CARQ, -24, 106N,  874W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, A0, 2010052518, 01, CARQ, -18, 108N,  880W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, A0, 2010052518, 01, CARQ, -12, 109N,  883W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 289,   3, 
EP, A0, 2010052518, 01, CARQ,  -6, 110N,  886W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, A0, 2010052518, 01, CARQ,   0, 111N,  889W,  20, 1007, DB,  34, NEQ,    0,    0,    0,    0, 1008,  160,  20,   0,   0,   E,   0,   X, 290,   3,     INVEST, D, 
EP, A0, 2010052518, 01, CARQ,   0, 111N,  889W,  20, 1007, DB,  50, NEQ,    0,    0,    0,    0, 1008,  160,  20,   0,   0,   E,   0,   X, 290,   3,     INVEST, D, 
EP, A0, 2010052518, 01, CARQ,   0, 111N,  889W,  20, 1007, DB,  64, NEQ,    0,    0,    0,    0, 1008,  160,  20,   0,   0,   E,   0,   X, 290,   3,     INVEST, D, 
EP, A0, 2010052518, 03, AC00,   0, 113N,  882W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AC00,   6, 111N,  873W,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AC00,  12, 116N,  879W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AC00,  18, 119N,  875W,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AC00,  24, 118N,  883W,  28, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AC00,  30, 121N,  879W,  29, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AC00,  36, 128N,  879W,  28, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AC00,  42, 131N,  880W,  31, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AC00,  48, 137N,  878W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AC00,  54, 141N,  874W,  18, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AC00,  60, 149N,  869W,   9, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
