EP, A2, 2010061418, 01, CARQ, -24, 133N, 1033W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, A2, 2010061418, 01, CARQ, -18, 135N, 1038W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, A2, 2010061418, 01, CARQ, -12, 137N, 1043W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 287,   5, 
EP, A2, 2010061418, 01, CARQ,  -6, 138N, 1048W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, A2, 2010061418, 01, CARQ,   0, 139N, 1052W,  20, 1008, DB,  34, NEQ,    0,    0,    0,    0, 1011,  175,  50,   0,   0,   E,   0,   X, 285,   4,     INVEST, D, 
EP, A2, 2010061418, 01, CARQ,   0, 139N, 1052W,  20, 1008, DB,  50, NEQ,    0,    0,    0,    0, 1011,  175,  50,   0,   0,   E,   0,   X, 285,   4,     INVEST, D, 
EP, A2, 2010061418, 01, CARQ,   0, 139N, 1052W,  20, 1008, DB,  64, NEQ,    0,    0,    0,    0, 1011,  175,  50,   0,   0,   E,   0,   X, 285,   4,     INVEST, D, 
EP, A2, 2010061418, 03, AC00,   0, 133N, 1062W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00,   6, 138N, 1058W,  12, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00,  12, 140N, 1058W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00,  18, 139N, 1062W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00,  24, 139N, 1060W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00,  30, 141N, 1067W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00,  36, 138N, 1065W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00,  42, 139N, 1061W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00,  48, 138N, 1063W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00,  54, 137N, 1071W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00,  60, 137N, 1068W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00,  66, 134N, 1068W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00,  72, 134N, 1074W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00,  78, 135N, 1079W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00,  84, 141N, 1075W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00,  90, 144N, 1079W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00,  96, 146N, 1078W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00, 102, 146N, 1083W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00, 108, 144N, 1083W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00, 114, 148N, 1083W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00, 120, 144N, 1090W,  12, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00, 126, 149N, 1089W,  11, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00, 132, 146N, 1087W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00, 138, 141N, 1091W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00, 144, 141N, 1080W,  12, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AC00, 150, 137N, 1080W,  12, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AEMN,   0, 133N, 1057W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AEMN,   6, 135N, 1058W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AEMN,  12, 137N, 1062W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AEMN,  18, 136N, 1064W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AEMN,  24, 138N, 1067W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AEMN,  30, 141N, 1068W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AEMN,  36, 140N, 1064W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AEMN,  42, 140N, 1064W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AEMN,  48, 140N, 1068W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AEMN,  54, 142N, 1071W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AEMN,  60, 140N, 1073W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AEMN,  66, 141N, 1076W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AEMN,  72, 142N, 1081W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AEMN,  78, 145N, 1083W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AEMN,  84, 146N, 1084W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AEMN,  90, 146N, 1086W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AEMN,  96, 146N, 1090W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AEMN, 102, 148N, 1093W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AEMN, 108, 149N, 1095W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AEMN, 114, 149N, 1100W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AEMN, 120, 148N, 1101W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AEMN, 126, 150N, 1105W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AEMN, 132, 151N, 1104W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP01,   0, 137N, 1056W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP01,   6, 139N, 1059W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP01,  12, 139N, 1060W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP01,  18, 138N, 1064W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP01,  24, 140N, 1062W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP01,  30, 143N, 1067W,  19, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP01,  36, 142N, 1061W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP01,  42, 141N, 1057W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP01,  48, 142N, 1062W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP01,  54, 143N, 1059W,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP01,  60, 142N, 1058W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP01,  66, 147N, 1059W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP01,  72, 148N, 1065W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP01,  78, 151N, 1071W,  11, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP01,  84, 153N, 1074W,  11, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP01,  90, 150N, 1079W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP01,  96, 148N, 1088W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP01, 102, 153N, 1095W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP01, 108, 154N, 1101W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP01, 114, 157N, 1096W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP01, 120, 148N, 1104W,  12, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP01, 126, 154N, 1113W,  11, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP01, 132, 155N, 1111W,  10, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP02,   0, 133N, 1041W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP02,   6, 141N, 1035W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP02,  12, 144N, 1049W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP02,  18, 146N, 1049W,  13, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP02,  24, 146N, 1055W,  12, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP02,  30, 146N, 1061W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP02,  36, 145N, 1054W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP02,  42, 143N, 1056W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP02,  48, 143N, 1057W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP02,  54, 142N, 1056W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP02,  60, 140N, 1064W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP02,  66, 139N, 1067W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP02,  72, 139N, 1073W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP02,  78, 138N, 1070W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP02,  84, 143N, 1073W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP02,  90, 147N, 1073W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP02,  96, 145N, 1073W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP02, 102, 144N, 1080W,  12, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP02, 108, 154N, 1077W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP02, 114, 156N, 1080W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP03,   0, 129N, 1038W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP03,   6, 132N, 1046W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP03,  12, 136N, 1047W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP03,  18, 135N, 1042W,  13, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP03,  24, 134N, 1051W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP03,  30, 139N, 1055W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP03,  36, 133N, 1051W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP03,  42, 135N, 1046W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP03,  48, 131N, 1055W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,   0, 127N, 1061W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,   6, 129N, 1065W,  13, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  12, 132N, 1071W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  18, 130N, 1083W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  24, 132N, 1083W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  30, 132N, 1084W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  36, 134N, 1079W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  42, 136N, 1077W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  48, 138N, 1078W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  54, 140N, 1081W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  60, 139N, 1082W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  66, 138N, 1088W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  72, 140N, 1090W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  78, 145N, 1089W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  84, 147N, 1083W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  90, 151N, 1092W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  96, 148N, 1099W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04, 102, 149N, 1101W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04, 108, 150N, 1098W,  12, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04, 114, 153N, 1098W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04, 120, 152N, 1102W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04, 126, 161N, 1099W,  10, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04, 132, 160N, 1098W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04, 138, 159N, 1096W,  11, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,   0, 133N, 1060W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,   6, 136N, 1059W,  16, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  12, 137N, 1061W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  18, 137N, 1058W,  18, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  24, 139N, 1062W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  30, 140N, 1062W,  21, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  36, 140N, 1058W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  42, 140N, 1056W,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  48, 140N, 1058W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  54, 144N, 1059W,  23, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  60, 146N, 1059W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  66, 146N, 1069W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  72, 147N, 1074W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  78, 149N, 1077W,  14, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  84, 149N, 1078W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  90, 150N, 1074W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  96, 152N, 1072W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06, 102, 155N, 1077W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06, 108, 155N, 1082W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06, 114, 159N, 1082W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06, 120, 158N, 1087W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06, 126, 158N, 1082W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06, 132, 161N, 1081W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06, 138, 162N, 1080W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06, 144, 159N, 1087W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06, 150, 153N, 1082W,  12, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06, 156, 149N, 1083W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP07,   0, 129N, 1059W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
