EP, A5, 2010062018, 01, CARQ, -24,  80N,  850W,  15,    0, LO,  34, AAA,    0,    0,    0,    0, 
EP, A5, 2010062018, 01, CARQ, -18,  80N,  860W,  15,    0, LO,  34, AAA,    0,    0,    0,    0, 
EP, A5, 2010062018, 01, CARQ, -12,  80N,  870W,  15,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 270,  10, 
EP, A5, 2010062018, 01, CARQ,  -6,  80N,  880W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
EP, A5, 2010062018, 01, CARQ,   0,  80N,  890W,  20, 1009, LO,  34, NEQ,    0,    0,    0,    0, 1011,  175,  75,   0,   0,   E,   0,   X, 270,  10,     INVEST, M, 
EP, A5, 2010062018, 01, CARQ,   0,  80N,  890W,  20, 1009, LO,  50, NEQ,    0,    0,    0,    0, 1011,  175,  75,   0,   0,   E,   0,   X, 270,  10,     INVEST, M, 
EP, A5, 2010062018, 01, CARQ,   0,  80N,  890W,  20, 1009, LO,  64, NEQ,    0,    0,    0,    0, 1011,  175,  75,   0,   0,   E,   0,   X, 270,  10,     INVEST, M, 
EP, A5, 2010062018, 03, AP19,   0,  75N,  907W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, BAMD,  12,  83N,  912W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, BAMD,  24,  86N,  934W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, BAMD,  36,  87N,  958W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, BAMD,  48,  90N,  984W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, BAMD,  60,  96N, 1014W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, BAMD,  72, 106N, 1044W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, BAMD,  84, 117N, 1074W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, BAMD,  96, 128N, 1099W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, BAMD, 108, 138N, 1119W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062018, 03, BAMD, 120, 147N, 1134W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
