EP, A6, 2010071118, 01, CARQ, -24, 117N,  906W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
EP, A6, 2010071118, 01, CARQ, -18, 117N,  912W,  15,    0, LO,  34, AAA,    0,    0,    0,    0, 
EP, A6, 2010071118, 01, CARQ, -12, 118N,  917W,  15,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 283,   5, 
EP, A6, 2010071118, 01, CARQ,  -6, 119N,  921W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
EP, A6, 2010071118, 01, CARQ,   0, 120N,  925W,  20, 1008, LO,  34, NEQ,    0,    0,    0,    0, 1010,  150,  50,   0,   0,   E,   0,   X, 280,   4,     INVEST, S, 
EP, A6, 2010071118, 01, CARQ,   0, 120N,  925W,  20, 1008, LO,  50, NEQ,    0,    0,    0,    0, 1010,  150,  50,   0,   0,   E,   0,   X, 280,   4,     INVEST, S, 
EP, A6, 2010071118, 01, CARQ,   0, 120N,  925W,  20, 1008, LO,  64, NEQ,    0,    0,    0,    0, 1010,  150,  50,   0,   0,   E,   0,   X, 280,   4,     INVEST, S, 
EP, A6, 2010071118, 03, AC00,   0, 118N,  930W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AC00,   6, 117N,  942W,   9, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AEMN,   0, 115N,  930W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP04,   0, 117N,  930W,  11, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP05,   0, 113N,  934W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP05,   6, 113N,  951W,  12, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP05,  12, 125N,  962W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP05,  18, 126N,  975W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP05,  24, 127N,  987W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP05,  30, 129N,  999W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP05,  36, 128N, 1006W,   8, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP05,  42, 129N, 1016W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP05,  48, 123N, 1028W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP05,  54, 115N, 1039W,  15, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP05,  60, 111N, 1048W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP05,  66, 110N, 1052W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP05,  72, 111N, 1055W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP05,  78, 114N, 1062W,  24, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP05,  84, 117N, 1070W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, AP05,  90, 116N, 1082W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
