EP, B3, 2010082106, 01, CARQ, -24, 138N,  933W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, B3, 2010082106, 01, CARQ, -18, 139N,  934W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, B3, 2010082106, 01, CARQ, -12, 139N,  934W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 360,   0, 
EP, B3, 2010082106, 01, CARQ,  -6, 139N,  934W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, B3, 2010082106, 01, CARQ,   0, 139N,  934W,  20, 1008, DB,  34, NEQ,    0,    0,    0,    0, 1010,  100,  20,   0,   0,   E,   0,   X,   0,   0,     INVEST, M, 
EP, B3, 2010082106, 01, CARQ,   0, 139N,  934W,  20, 1008, DB,  50, NEQ,    0,    0,    0,    0, 1010,  100,  20,   0,   0,   E,   0,   X,   0,   0,     INVEST, M, 
EP, B3, 2010082106, 01, CARQ,   0, 139N,  934W,  20, 1008, DB,  64, NEQ,    0,    0,    0,    0, 1010,  100,  20,   0,   0,   E,   0,   X,   0,   0,     INVEST, M, 
EP, B3, 2010082106, 03, AC00,   0, 141N,  937W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AC00,   6, 137N,  940W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AC00,  12, 133N,  937W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AC00,  18, 135N,  938W,  18, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AC00,  24, 131N,  943W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AC00,  30, 130N,  949W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AC00,  36, 137N,  959W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AC00,  42, 133N,  964W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AC00,  48, 134N,  967W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AC00,  54, 135N,  980W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AC00,  60, 137N,  995W,  11, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AC00,  66, 137N, 1002W,  13, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AC00,  72, 139N, 1009W,  11, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AC00,  78, 140N, 1024W,   9, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AC00,  84, 141N, 1039W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AC00,  90, 141N, 1040W,  13, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AC00,  96, 143N, 1051W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AC00, 102, 140N, 1058W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AC00, 108, 139N, 1059W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AC00, 114, 138N, 1065W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AC00, 120, 139N, 1079W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AC00, 126, 140N, 1080W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AC00, 132, 139N, 1078W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN,   0, 141N,  937W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN,   6, 136N,  938W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN,  12, 135N,  938W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN,  18, 134N,  940W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN,  24, 132N,  945W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN,  30, 132N,  953W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN,  36, 132N,  961W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AEMN,  42, 134N,  969W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
