EP, B8, 2010100712, 01, CARQ, -24, 100N, 1102W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
EP, B8, 2010100712, 01, CARQ, -18, 100N, 1115W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
EP, B8, 2010100712, 01, CARQ, -12, 100N, 1128W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 270,  13, 
EP, B8, 2010100712, 01, CARQ,  -6, 100N, 1141W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
EP, B8, 2010100712, 01, CARQ,   0, 100N, 1154W,  20, 1009, LO,  34, NEQ,    0,    0,    0,    0, 1011,  150,  60,   0,   0,   E,   0,   X, 270,  13,     INVEST, D, 
EP, B8, 2010100712, 01, CARQ,   0, 100N, 1154W,  20, 1009, LO,  50, NEQ,    0,    0,    0,    0, 1011,  150,  60,   0,   0,   E,   0,   X, 270,  13,     INVEST, D, 
EP, B8, 2010100712, 01, CARQ,   0, 100N, 1154W,  20, 1009, LO,  64, NEQ,    0,    0,    0,    0, 1011,  150,  60,   0,   0,   E,   0,   X, 270,  13,     INVEST, D, 
EP, B8, 2010100712, 03,  NGX,   0, 114N, 1148W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03,  NGX,  12, 105N, 1176W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03,  UKX,   0,  98N, 1168W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03,  UKX,  12,  97N, 1186W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03,  UKX,  24, 103N, 1212W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03,  UKX,  36,  99N, 1246W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03,  UKX,  48,  99N, 1285W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03,  UKX,  60, 100N, 1317W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03,  UKX,  72,  94N, 1361W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMD,  12, 102N, 1170W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMD,  24, 103N, 1186W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMD,  36, 103N, 1203W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMD,  48, 103N, 1221W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMD,  60, 102N, 1240W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMD,  72, 101N, 1256W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMD,  84, 100N, 1268W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMD,  96, 101N, 1280W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMD, 108, 104N, 1291W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMD, 120, 108N, 1303W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMD, 132, 110N, 1314W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMD, 144, 113N, 1323W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMD, 156, 116N, 1332W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMD, 168, 122N, 1342W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMM,  12,  97N, 1176W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMM,  24,  94N, 1197W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMM,  36,  91N, 1219W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMM,  48,  88N, 1243W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMM,  60,  86N, 1269W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMM,  72,  83N, 1294W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMM,  84,  82N, 1316W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMM,  96,  83N, 1336W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, BAMM, 108,  86N, 1353W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
