EP, C5, 2010090312, 01, CARQ, -24, 141N,  934W,  25,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, C5, 2010090312, 01, CARQ, -18, 144N,  935W,  25,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, C5, 2010090312, 01, CARQ, -12, 147N,  937W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 321,   4, 
EP, C5, 2010090312, 01, CARQ,  -6, 150N,  940W,  25,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, C5, 2010090312, 01, CARQ,   0, 153N,  943W,  25, 1008, DB,  34, NEQ,    0,    0,    0,    0, 1010,  125,  60,   0,   0,   E,   0,   X, 320,   4,     INVEST, M, 
EP, C5, 2010090312, 01, CARQ,   0, 153N,  943W,  25, 1008, DB,  50, NEQ,    0,    0,    0,    0, 1010,  125,  60,   0,   0,   E,   0,   X, 320,   4,     INVEST, M, 
EP, C5, 2010090312, 01, CARQ,   0, 153N,  943W,  25, 1008, DB,  64, NEQ,    0,    0,    0,    0, 1010,  125,  60,   0,   0,   E,   0,   X, 320,   4,     INVEST, M, 
EP, C5, 2010090312, 03,  EMX,   0, 141N,  941W,  41, 1005, XX,  34, NEQ,    0,   35,    0,    0, 
EP, C5, 2010090312, 03,  EMX,  12, 150N,  949W,  27, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03,  EMX,  24, 160N,  953W,  32, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03,  EMX,  36, 173N,  967W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03,  NGX,   0, 145N,  938W,  29, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03,  NGX,  12, 155N,  946W,  30, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03,  NGX,  24, 158N,  946W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03,  NGX,  36, 161N,  945W,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03,  NGX,  48, 169N,  952W,  24, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03,  NGX,  60, 164N,  965W,  26, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03,  NGX,  72, 181N,  973W,  27, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03,  NGX,  84, 184N,  981W,  14, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03,  NGX,  96, 188N,  985W,  17, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03,  UKX,   0, 145N,  938W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03,  UKX,  12, 151N,  942W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03,  UKX,  24, 161N,  951W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03,  UKX,  36, 176N,  958W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03,  UKX,  48, 198N,  961W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03,  UKX,  60, 212N,  968W,  16, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03,  UKX,  72, 225N,  976W,  19, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMD,  12, 158N,  954W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMD,  24, 164N,  966W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMD,  36, 170N,  979W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMD,  48, 176N,  990W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMD,  60, 181N,  999W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMD,  72, 185N, 1006W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMD,  84, 191N, 1014W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMD,  96, 197N, 1025W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMD, 108, 203N, 1038W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMD, 120, 209N, 1052W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMD, 132, 212N, 1068W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMD, 144, 216N, 1086W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMD, 156, 220N, 1103W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMD, 168, 225N, 1119W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMM,  12, 159N,  953W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMM,  24, 166N,  966W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMM,  36, 173N,  978W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMM,  48, 179N,  987W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMM,  60, 185N,  994W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, BAMM,  72, 190N, 1000W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
