AL, 20, 2010102818,   , BEST,   0, 256N,  612W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1011,  140,  80,   0,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 20, 2010102900,   , BEST,   0, 268N,  630W,  35, 1004, TS,  34, NEQ,   90,   45,    0,   90, 1012,  150,  50,  45,   0,   L,   0,    ,   0,   0,      SHARY, M, 
AL, 20, 2010102906,   , BEST,   0, 281N,  646W,  40, 1002, TS,  34, NEQ,   90,   45,    0,   90, 1011,  150,  45,  45,   0,   L,   0,    ,   0,   0,      SHARY, S, 12, NEQ,  75,   0,   0,  75
AL, 20, 2010102912,   , BEST,   0, 293N,  659W,  50,  998, TS,  34, NEQ,   60,   45,   45,   90, 1011,  150,  45,  45,   0,   L,   0,    ,   0,   0,      SHARY, S, 12, NEQ, 120,  30,   0,  60
AL, 20, 2010102912,   , BEST,   0, 293N,  659W,  50,  998, TS,  50, NEQ,    0,   30,    0,    0, 1011,  150,  45,  45,   0,   L,   0,    ,   0,   0,      SHARY, S, 12, NEQ, 120,  30,   0,  60
AL, 20, 2010102918,   , BEST,   0, 302N,  658W,  55,  993, TS,  34, NEQ,   60,   75,   60,   60, 1012,  250,  30,  60,   0,   L,   0,    ,   0,   0,      SHARY, M, 12, NEQ, 120,  60,  45,  60
AL, 20, 2010102918,   , BEST,   0, 302N,  658W,  55,  993, TS,  50, NEQ,    0,   30,    0,    0, 1012,  250,  30,  60,   0,   L,   0,    ,   0,   0,      SHARY, M, 12, NEQ, 120,  60,  45,  60
AL, 20, 2010103000,   , BEST,   0, 313N,  640W,  65,  990, HU,  34, NEQ,   60,   90,   60,   40, 1012,  250,  15,   0,   0,   L,   0,    ,   0,   0,      SHARY, M, 
AL, 20, 2010103000,   , BEST,   0, 313N,  640W,  65,  990, HU,  50, NEQ,    0,   40,   30,    0, 1012,  250,  15,   0,   0,   L,   0,    ,   0,   0,      SHARY, M, 
AL, 20, 2010103000,   , BEST,   0, 313N,  640W,  65,  990, HU,  64, NEQ,    0,   10,    0,    0, 1012,  250,  15,   0,   0,   L,   0,    ,   0,   0,      SHARY, M, 
AL, 20, 2010103006,   , BEST,   0, 329N,  609W,  65,  989, HU,  34, NEQ,   75,   90,   75,   40, 1008,  100,  10,  80,   0,   L,   0,    ,   0,   0,      SHARY, M, 12, NEQ, 120,  90,  45,  60
AL, 20, 2010103006,   , BEST,   0, 329N,  609W,  65,  989, HU,  50, NEQ,    0,   40,   30,    0, 1008,  100,  10,  80,   0,   L,   0,    ,   0,   0,      SHARY, M, 12, NEQ, 120,  90,  45,  60
AL, 20, 2010103006,   , BEST,   0, 329N,  609W,  65,  989, HU,  64, NEQ,    0,   10,    0,    0, 1008,  100,  10,  80,   0,   L,   0,    ,   0,   0,      SHARY, M, 12, NEQ, 120,  90,  45,  60
AL, 20, 2010103012,   , BEST,   0, 351N,  572W,  65,  991, HU,  34, NEQ,   75,   90,   75,   40, 1008,  100,  10,  80,   0,   L,   0,    ,   0,   0,      SHARY, M, 12, NEQ, 180,  60,  45, 180
AL, 20, 2010103012,   , BEST,   0, 351N,  572W,  65,  991, HU,  50, NEQ,    0,   40,   30,    0, 1008,  100,  10,  80,   0,   L,   0,    ,   0,   0,      SHARY, M, 12, NEQ, 180,  60,  45, 180
AL, 20, 2010103012,   , BEST,   0, 351N,  572W,  65,  991, HU,  64, NEQ,    0,   10,    0,    0, 1008,  100,  10,  80,   0,   L,   0,    ,   0,   0,      SHARY, M, 12, NEQ, 180,  60,  45, 180
AL, 20, 2010103018,   , BEST,   0, 370N,  535W,  55,  993, EX,  34, NEQ,   75,   90,   75,   40,  850,    0,   0,   0,   0, 
AL, 20, 2010103018,   , BEST,   0, 370N,  535W,  55,  993, EX,  50, NEQ,    0,   40,   30,    0,  850,    0,   0,   0,   0, 
