AL, A0, 2010052112, 03, GPCC,  12,   0N,    0W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052112, 03, GPCC,  24,   0N,    0W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052112, 03, GPCC,  36,   0N,    0W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052112, 03, GPCC,  48,   0N,    0W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052112, 03, GPCC,  72,   0N,    0W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052112, 03, GPCC,  96,   0N,    0W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052112, 03, GPCC, 120,   0N,    0W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052118, 03, GPCC,  12, 242N,  732W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052118, 03, GPCC,  24, 235N,  736W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052118, 03, GPCC,  36, 229N,  744W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052118, 03, GPCC,  48, 228N,  749W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052118, 03, GPCC,  72,   0N,    0W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052118, 03, GPCC,  96,   0N,    0W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052118, 03, GPCC, 120,   0N,    0W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052118, 03, TVCN,  12, 242N,  732W,  68,   51,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052118, 03, TVCN,  24, 235N,  736W,  68,   78,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052118, 03, TVCN,  36, 229N,  744W,  68,   94,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052118, 03, TVCN,  48, 228N,  749W,  68,  109,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052118, 03, TVCX,   0, 251N,  729W,  70,    0,   , 169, AAA,    0,    0,    0,    0, 
AL, A0, 2010052118, 03, TVCX,  12, 242N,  732W,  70,   46,   , 156, AAA,   44,   49,    2,    0, 
AL, A0, 2010052118, 03, TVCX,  24, 236N,  737W,  70,   74,   , 139, AAA,   68,   81,    5,   -1, 
AL, A0, 2010052118, 03, TVCX,  36, 231N,  745W,  70,   86,   , 110, AAA,   82,   91,    8,   -5, 
AL, A0, 2010052118, 03, TVCX,  48, 232N,  749W,  70,  113,   ,  85, AAA,   97,  134,   13,  -10, 
AL, A0, 2010052200, 03, GPCC,  12, 242N,  736W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052200, 03, GPCC,  24, 241N,  736W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052200, 03, GPCC,  36, 245N,  735W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052200, 03, GPCC,  48, 248N,  737W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052200, 03, GPCC,  72, 284N,  745W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052200, 03, GPCC,  96,   0N,    0W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052200, 03, GPCC, 120,   0N,    0W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052200, 03, TVCN,  12, 242N,  736W,  68,   50,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052200, 03, TVCN,  24, 241N,  736W,  68,   86,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052200, 03, TVCN,  36, 245N,  735W,  68,  126,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052200, 03, TVCN,  48, 248N,  737W,  68,  148,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052200, 03, TVCN,  72, 284N,  745W,  68,  173,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052200, 03, TVCX,   0, 249N,  733W,  70,    0,   , 153, AAA,    0,    0,    0,    0, 
AL, A0, 2010052200, 03, TVCX,  12, 242N,  736W,  70,   43,   , 167, AAA,   46,   42,    2,    0, 
AL, A0, 2010052200, 03, TVCX,  24, 241N,  735W,  70,   78,   , 354, AAA,   75,   83,    5,   -1, 
AL, A0, 2010052200, 03, TVCX,  36, 247N,  733W,  70,   97,   ,  41, AAA,  102,   93,    8,   -5, 
AL, A0, 2010052200, 03, TVCX,  48, 244N,  737W,  70,  124,   , 276, AAA,  130,  118,   13,  -10, 
AL, A0, 2010052200, 03, TVCX,  72, 290N,  745W,  70,  149,   ,  91, AAA,  166,  135,   20,  -19, 
AL, A0, 2010052212, 03, GPCC,  12,   0N,    0W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052212, 03, GPCC,  24,   0N,    0W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052212, 03, GPCC,  36,   0N,    0W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052212, 03, GPCC,  48,   0N,    0W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052212, 03, GPCC,  72,   0N,    0W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052212, 03, GPCC,  96,   0N,    0W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052212, 03, GPCC, 120,   0N,    0W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052212, 03, TVCN,  12, 226N,  736W,  68,   49,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052212, 03, TVCN,  24, 223N,  735W,  68,   92,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052212, 03, TVCN,  36, 226N,  730W,  68,  138,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052212, 03, TVCN,  48, 214N,  739W,  68,   91,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052212, 03, TVCX,   0, 234N,  736W,  70,    0,   , 176, AAA,    0,    0,    0,    0, 
AL, A0, 2010052212, 03, TVCX,  12, 226N,  736W,  70,   45,   , 256, AAA,   45,   46,    2,    0, 
AL, A0, 2010052212, 03, TVCX,  24, 222N,  735W,  70,   82,   , 266, AAA,   81,   83,    5,   -1, 
AL, A0, 2010052212, 03, TVCX,  36, 228N,  731W,  70,  121,   , 103, AAA,   96,  153,    8,   -5, 
AL, A0, 2010052212, 03, TVCX,  48, 218N,  739W,  70,   97,   ,  91, AAA,   92,  102,   13,  -10, 
AL, A0, 2010052218, 03, GPCC,  12, 240N,  689W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052218, 03, GPCC,  24, 258N,  686W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052218, 03, GPCC,  36, 277N,  687W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052218, 03, GPCC,  48, 294N,  694W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052218, 03, GPCC,  72, 322N,  721W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052218, 03, GPCC,  96, 325N,  721W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052218, 03, GPCC, 120, 316N,  689W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052218, 03, TVCN,  12, 240N,  689W,  68,   49,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052218, 03, TVCN,  24, 258N,  686W,  68,   76,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052218, 03, TVCN,  36, 277N,  687W,  68,   95,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052218, 03, TVCN,  48, 294N,  694W,  68,  102,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052218, 03, TVCN,  72, 322N,  721W,  68,  138,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052218, 03, TVCN,  96, 325N,  721W,  68,  197,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052218, 03, TVCN, 120, 316N,  689W,  68,  274,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052218, 03, TVCX,   0, 229N,  690W,  70,    0,   , 356, AAA,    0,    0,    0,    0, 
AL, A0, 2010052218, 03, TVCX,  12, 240N,  688W,  70,   41,   , 353, AAA,   47,   36,    2,    0, 
AL, A0, 2010052218, 03, TVCX,  24, 258N,  685W,  70,   64,   , 354, AAA,   74,   57,    5,   -1, 
AL, A0, 2010052218, 03, TVCX,  36, 277N,  685W,  70,   82,   ,   5, AAA,   84,   82,    8,   -5, 
AL, A0, 2010052218, 03, TVCX,  48, 296N,  690W,  70,  101,   ,  29, AAA,   98,  105,   13,  -10, 
AL, A0, 2010052218, 03, TVCX,  72, 328N,  719W,  70,  143,   ,  69, AAA,  138,  150,   20,  -19, 
AL, A0, 2010052218, 03, TVCX,  96, 322N,  730W,  70,  190,   , 203, AAA,  201,  181,   18,  -32, 
AL, A0, 2010052218, 03, TVCX, 120, 313N,  701W,  70,  296,   , 198, AAA,  288,  305,    0,  -65, 
AL, A0, 2010052300, 03, GPCC,  12, 247N,  688W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052300, 03, GPCC,  24, 265N,  690W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052300, 03, GPCC,  36, 281N,  698W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052300, 03, GPCC,  48, 296N,  709W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052300, 03, GPCC,  72, 318N,  728W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052300, 03, GPCC,  96, 317N,  730W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052300, 03, GPCC, 120, 303N,  707W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052300, 03, TVCN,  12, 247N,  688W,  68,   51,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052300, 03, TVCN,  24, 265N,  690W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052300, 03, TVCN,  36, 281N,  698W,  68,   88,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052300, 03, TVCN,  48, 296N,  709W,  68,   91,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052300, 03, TVCN,  72, 318N,  728W,  68,  128,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052300, 03, TVCN,  96, 317N,  730W,  68,  168,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052300, 03, TVCN, 120, 303N,  707W,  68,  230,   ,   0,    ,    0,    0,    0,    0, 
AL, A0, 2010052300, 03, TVCX,   0, 233N,  687W,  70,    0,   ,   5, AAA,    0,    0,    0,    0, 
AL, A0, 2010052300, 03, TVCX,  12, 247N,  688W,  70,   43,   ,   6, AAA,   47,   41,    2,    0, 
AL, A0, 2010052300, 03, TVCX,  24, 265N,  690W,  70,   68,   ,  11, AAA,   68,   69,    5,   -1, 
