AL, C7, 2010093006, 03, GPCC,  12,   0N,    0W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010093006, 03, GPCC,  24,   0N,    0W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010093006, 03, GPCC,  36,   0N,    0W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010093006, 03, GPCC,  48,   0N,    0W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010093006, 03, GPCC,  72,   0N,    0W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010093006, 03, GPCC,  96,   0N,    0W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010093006, 03, GPCC, 120,   0N,    0W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100100, 03, GPCC,  12,   0N,    0W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100100, 03, GPCC,  24,   0N,    0W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100100, 03, GPCC,  36,   0N,    0W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100100, 03, GPCC,  48,   0N,    0W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100100, 03, GPCC,  72,   0N,    0W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100100, 03, GPCC,  96,   0N,    0W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100100, 03, GPCC, 120,   0N,    0W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100106, 03, GPCC,  12,   0N,    0W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100106, 03, GPCC,  24,   0N,    0W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100106, 03, GPCC,  36,   0N,    0W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100106, 03, GPCC,  48,   0N,    0W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100106, 03, GPCC,  72,   0N,    0W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100106, 03, GPCC,  96,   0N,    0W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100106, 03, GPCC, 120,   0N,    0W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100112, 03, GPCC,  12, 168N,  522W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100112, 03, GPCC,  24, 178N,  550W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100112, 03, GPCC,  36, 185N,  574W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100112, 03, GPCC,  48, 189N,  597W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100112, 03, GPCC,  72, 193N,  629W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100112, 03, GPCC,  96,   0N,    0W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100112, 03, GPCC, 120,   0N,    0W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100112, 03, TVCN,  12, 168N,  522W,  68,   52,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100112, 03, TVCN,  24, 178N,  550W,  68,   98,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100112, 03, TVCN,  36, 185N,  574W,  68,  135,   ,   0,    ,    0,    0,    0,    0, 
AL, C7, 2010100112, 03, TVCN,  48, 189N,  597W,  68,  166,   ,   0,    ,    0,    0,    0,    0, 
