AL, D1, 2010090718, 03, GPCC,  12,   0N,    0W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090718, 03, GPCC,  24,   0N,    0W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090718, 03, GPCC,  36,   0N,    0W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090718, 03, GPCC,  48,   0N,    0W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090718, 03, GPCC,  72,   0N,    0W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090718, 03, GPCC,  96,   0N,    0W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090718, 03, GPCC, 120,   0N,    0W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, GPCC,  12, 142N,  232W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, GPCC,  24, 142N,  254W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, GPCC,  36, 144N,  278W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, GPCC,  48, 148N,  305W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, GPCC,  72, 158N,  358W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, GPCC,  96, 169N,  409W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, GPCC, 120, 178N,  453W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, TVCN,  12, 142N,  232W,  68,   50,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, TVCN,  24, 142N,  254W,  68,   88,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, TVCN,  36, 144N,  278W,  68,  121,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, TVCN,  48, 148N,  305W,  68,  143,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, TVCN,  72, 158N,  358W,  68,  190,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, TVCN,  96, 169N,  409W,  68,  249,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, TVCN, 120, 178N,  453W,  68,  307,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, TVCX,   0, 142N,  213W,  70,    0,   ,  88, AAA,    0,    0,    0,    0, 
AL, D1, 2010090800, 03, TVCX,  12, 143N,  232W,  70,   48,   ,  90, AAA,   39,   60,    2,    0, 
AL, D1, 2010090800, 03, TVCX,  24, 143N,  254W,  70,   85,   ,  89, AAA,   61,  120,    5,   -1, 
AL, D1, 2010090800, 03, TVCX,  36, 146N,  278W,  70,  117,   ,  85, AAA,   81,  170,    8,   -5, 
AL, D1, 2010090800, 03, TVCX,  48, 152N,  305W,  70,  145,   ,  81, AAA,   99,  213,   13,  -10, 
AL, D1, 2010090800, 03, TVCX,  72, 164N,  356W,  70,  182,   ,  78, AAA,  164,  202,   20,  -19, 
AL, D1, 2010090800, 03, TVCX,  96, 177N,  408W,  70,  238,   ,  79, AAA,  221,  258,   18,  -32, 
AL, D1, 2010090800, 03, TVCX, 120, 188N,  450W,  70,  292,   ,  74, AAA,  225,  380,    0,  -65, 
AL, D1, 2010090806, 03, GPCC,  12, 140N,  245W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, GPCC,  24, 140N,  263W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, GPCC,  36, 143N,  284W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, GPCC,  48, 146N,  307W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, GPCC,  72, 157N,  356W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, GPCC,  96, 169N,  408W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, GPCC, 120, 175N,  453W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, TVCN,  12, 140N,  245W,  68,   55,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, TVCN,  24, 140N,  263W,  68,   98,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, TVCN,  36, 143N,  284W,  68,  130,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, TVCN,  48, 146N,  307W,  68,  143,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, TVCN,  72, 157N,  356W,  68,  169,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, TVCN,  96, 169N,  408W,  68,  211,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, TVCN, 120, 175N,  453W,  68,  246,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, TVCX,   0, 141N,  227W,  70,    0,   ,  93, AAA,    0,    0,    0,    0, 
AL, D1, 2010090806, 03, TVCX,  12, 141N,  245W,  70,   51,   ,  90, AAA,   37,   71,    2,    0, 
AL, D1, 2010090806, 03, TVCX,  24, 141N,  263W,  70,   90,   ,  89, AAA,   60,  138,    5,   -1, 
AL, D1, 2010090806, 03, TVCX,  36, 145N,  284W,  70,  122,   ,  83, AAA,   88,  171,    8,   -5, 
AL, D1, 2010090806, 03, TVCX,  48, 150N,  307W,  70,  144,   ,  80, AAA,  111,  187,   13,  -10, 
AL, D1, 2010090806, 03, TVCX,  72, 163N,  354W,  70,  167,   ,  76, AAA,  166,  169,   20,  -19, 
AL, D1, 2010090806, 03, TVCX,  96, 177N,  406W,  70,  208,   ,  81, AAA,  214,  203,   18,  -32, 
AL, D1, 2010090806, 03, TVCX, 120, 186N,  451W,  70,  251,   ,  80, AAA,  221,  287,    0,  -65, 
AL, D1, 2010090812, 03, GPCC,  12, 137N,  249W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090812, 03, GPCC,  24, 138N,  268W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010090812, 03, GPCC,  36, 141N,  290W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
