EP, A9, 2010080412, 03, GPCC,  12,   0N,    0W,  68,   32,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080412, 03, GPCC,  24,   0N,    0W,  68,   64,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080412, 03, GPCC,  36,   0N,    0W,  68,   92,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080412, 03, GPCC,  48,   0N,    0W,  68,  119,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080412, 03, GPCC,  72,   0N,    0W,  68,  173,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080412, 03, GPCC,  96,   0N,    0W,  68,  227,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080412, 03, GPCC, 120,   0N,    0W,  68,  335,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080418, 03, GPCC,  12, 137N,  974W,  68,   32,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080418, 03, GPCC,  24, 136N,  988W,  68,   64,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080418, 03, GPCC,  36, 145N, 1003W,  68,   92,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080418, 03, GPCC,  48, 156N, 1020W,  68,  119,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080418, 03, GPCC,  72, 169N, 1042W,  68,  173,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080418, 03, GPCC,  96, 176N, 1047W,  68,  227,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080418, 03, GPCC, 120, 175N, 1045W,  68,  335,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080418, 03, TVCN,  12, 137N,  974W,  68,   48,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080418, 03, TVCN,  24, 136N,  988W,  68,   79,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080418, 03, TVCN,  36, 145N, 1003W,  68,  105,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080418, 03, TVCN,  48, 156N, 1020W,  68,  138,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080418, 03, TVCN,  72, 169N, 1042W,  68,  203,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080418, 03, TVCN,  96, 176N, 1047W,  68,  284,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080418, 03, TVCN, 120, 175N, 1045W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080500, 03, GPCC,  12, 145N,  983W,  68,   32,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080500, 03, GPCC,  24, 148N,  996W,  68,   64,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080500, 03, GPCC,  36, 155N, 1011W,  68,   92,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080500, 03, GPCC,  48, 162N, 1024W,  68,  119,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080500, 03, GPCC,  72, 175N, 1044W,  68,  173,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080500, 03, GPCC,  96, 172N, 1055W,  68,  227,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080500, 03, GPCC, 120, 176N, 1045W,  68,  335,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080500, 03, TVCN,  12, 145N,  983W,  68,   41,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080500, 03, TVCN,  24, 148N,  996W,  68,   70,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080500, 03, TVCN,  36, 155N, 1011W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080500, 03, TVCN,  48, 162N, 1024W,  68,  135,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080500, 03, TVCN,  72, 175N, 1044W,  68,  181,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080500, 03, TVCN,  96, 172N, 1055W,  68,  254,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080500, 03, TVCN, 120, 176N, 1045W,  68,  360,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080506, 03, GPCC,  12, 147N, 1005W,  68,   32,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080506, 03, GPCC,  24, 151N, 1021W,  68,   64,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080506, 03, GPCC,  36, 156N, 1037W,  68,   92,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080506, 03, GPCC,  48, 164N, 1052W,  68,  119,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080506, 03, GPCC,  72, 172N, 1072W,  68,  173,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080506, 03, GPCC,  96, 171N, 1073W,  68,  227,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080506, 03, GPCC, 120, 175N, 1075W,  68,  335,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080506, 03, TVCN,  12, 147N, 1005W,  68,   44,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080506, 03, TVCN,  24, 151N, 1021W,  68,   73,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080506, 03, TVCN,  36, 156N, 1037W,  68,   98,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080506, 03, TVCN,  48, 164N, 1052W,  68,  125,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080506, 03, TVCN,  72, 172N, 1072W,  68,  166,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080506, 03, TVCN,  96, 171N, 1073W,  68,  219,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080506, 03, TVCN, 120, 175N, 1075W,  68,  267,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080512, 03, GPCC,  12, 153N, 1015W,  68,   32,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080512, 03, GPCC,  24, 159N, 1032W,  68,   64,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080512, 03, GPCC,  36, 168N, 1051W,  68,   92,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080512, 03, GPCC,  48, 172N, 1066W,  68,  119,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080512, 03, GPCC,  72, 180N, 1083W,  68,  173,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080512, 03, GPCC,  96, 193N, 1088W,  68,  227,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080512, 03, GPCC, 120, 200N, 1101W,  68,  335,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080512, 03, TVCN,  12, 153N, 1015W,  68,   42,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080512, 03, TVCN,  24, 159N, 1032W,  68,   69,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080512, 03, TVCN,  36, 168N, 1051W,  68,   93,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080512, 03, TVCN,  48, 172N, 1066W,  68,  123,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080512, 03, TVCN,  72, 180N, 1083W,  68,  158,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080512, 03, TVCN,  96, 193N, 1088W,  68,  223,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080512, 03, TVCN, 120, 200N, 1101W,  68,  277,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080518, 03, GPCC,  12, 156N, 1025W,  68,   32,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080518, 03, GPCC,  24, 160N, 1043W,  68,   64,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080518, 03, GPCC,  36, 166N, 1057W,  68,   92,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080518, 03, GPCC,  48, 172N, 1067W,  68,  119,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080518, 03, GPCC,  72, 183N, 1083W,  68,  173,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080518, 03, GPCC,  96, 189N, 1092W,  68,  227,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080518, 03, GPCC, 120, 203N, 1098W,  68,  335,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080518, 03, TVCN,  12, 156N, 1025W,  68,   47,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080518, 03, TVCN,  24, 160N, 1043W,  68,   77,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080518, 03, TVCN,  36, 166N, 1057W,  68,  105,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080518, 03, TVCN,  48, 172N, 1067W,  68,  137,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080518, 03, TVCN,  72, 183N, 1083W,  68,  175,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080518, 03, TVCN,  96, 189N, 1092W,  68,  223,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080518, 03, TVCN, 120, 203N, 1098W,  68,  283,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080600, 03, GPCC,  12, 162N, 1035W,  68,   32,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080600, 03, GPCC,  24, 166N, 1050W,  68,   64,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080600, 03, GPCC,  36, 171N, 1063W,  68,   92,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080600, 03, GPCC,  48, 176N, 1072W,  68,  119,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080600, 03, GPCC,  72, 190N, 1087W,  68,  173,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080600, 03, GPCC,  96, 203N, 1104W,  68,  227,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080600, 03, GPCC, 120, 217N, 1116W,  68,  335,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080600, 03, TVCN,  12, 162N, 1035W,  68,   48,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080600, 03, TVCN,  24, 166N, 1050W,  68,   80,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080600, 03, TVCN,  36, 171N, 1063W,  68,  114,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080600, 03, TVCN,  48, 176N, 1072W,  68,  155,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080600, 03, TVCN,  72, 190N, 1087W,  68,  182,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080600, 03, TVCN,  96, 203N, 1104W,  68,  211,   ,   0,    ,    0,    0,    0,    0, 
EP, A9, 2010080600, 03, TVCN, 120, 217N, 1116W,  68,  260,   ,   0,    ,    0,    0,    0,    0, 
