EP, B2, 2010082000, 03, GPCC,  12,   0N,    0W,  68,   32,   ,   0,    ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, GPCC,  24,   0N,    0W,  68,   64,   ,   0,    ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, GPCC,  36,   0N,    0W,  68,   92,   ,   0,    ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, GPCC,  48,   0N,    0W,  68,  119,   ,   0,    ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, GPCC,  72,   0N,    0W,  68,  173,   ,   0,    ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, GPCC,  96,   0N,    0W,  68,  227,   ,   0,    ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, GPCC, 120,   0N,    0W,  68,  335,   ,   0,    ,    0,    0,    0,    0, 
EP, B2, 2010082006, 03, GPCC,  12, 188N, 1085W,  68,   32,   ,   0,    ,    0,    0,    0,    0, 
EP, B2, 2010082006, 03, GPCC,  24, 195N, 1097W,  68,   64,   ,   0,    ,    0,    0,    0,    0, 
EP, B2, 2010082006, 03, GPCC,  36, 199N, 1107W,  68,   92,   ,   0,    ,    0,    0,    0,    0, 
EP, B2, 2010082006, 03, GPCC,  48, 203N, 1118W,  68,  119,   ,   0,    ,    0,    0,    0,    0, 
EP, B2, 2010082006, 03, GPCC,  72, 196N, 1132W,  68,  173,   ,   0,    ,    0,    0,    0,    0, 
EP, B2, 2010082006, 03, GPCC,  96,   0N,    0W,  68,  227,   ,   0,    ,    0,    0,    0,    0, 
EP, B2, 2010082006, 03, GPCC, 120,   0N,    0W,  68,  335,   ,   0,    ,    0,    0,    0,    0, 
EP, B2, 2010082006, 03, TVCN,  12, 188N, 1085W,  68,   44,   ,   0,    ,    0,    0,    0,    0, 
EP, B2, 2010082006, 03, TVCN,  24, 195N, 1097W,  68,   70,   ,   0,    ,    0,    0,    0,    0, 
EP, B2, 2010082006, 03, TVCN,  36, 199N, 1107W,  68,   91,   ,   0,    ,    0,    0,    0,    0, 
EP, B2, 2010082006, 03, TVCN,  48, 203N, 1118W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
EP, B2, 2010082006, 03, TVCN,  72, 196N, 1132W,  68,  188,   ,   0,    ,    0,    0,    0,    0, 
