EP, C5, 2010090312, 03, GPCC,  12,   0N,    0W,  68,   32,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, GPCC,  24,   0N,    0W,  68,   64,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, GPCC,  36,   0N,    0W,  68,   92,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, GPCC,  48,   0N,    0W,  68,  119,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, GPCC,  72,   0N,    0W,  68,  173,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, GPCC,  96,   0N,    0W,  68,  227,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, GPCC, 120,   0N,    0W,  68,  335,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, GPCC,  12,   0N,    0W,  68,   32,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, GPCC,  24,   0N,    0W,  68,   64,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, GPCC,  36,   0N,    0W,  68,   92,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, GPCC,  48,   0N,    0W,  68,  119,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, GPCC,  72,   0N,    0W,  68,  173,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, GPCC,  96,   0N,    0W,  68,  227,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, GPCC, 120,   0N,    0W,  68,  335,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090400, 03, GPCC,  12, 162N,  948W,  68,   32,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090400, 03, GPCC,  24, 174N,  957W,  68,   64,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090400, 03, GPCC,  36, 185N,  968W,  68,   92,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090400, 03, GPCC,  48, 195N,  974W,  68,  119,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090400, 03, GPCC,  72, 211N,  991W,  68,  173,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090400, 03, GPCC,  96, 259N,  987W,  68,  227,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090400, 03, GPCC, 120,   0N,    0W,  68,  335,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090400, 03, TVCN,  12, 162N,  948W,  68,   44,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090400, 03, TVCN,  24, 174N,  957W,  68,   77,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090400, 03, TVCN,  36, 185N,  968W,  68,  113,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090400, 03, TVCN,  48, 195N,  974W,  68,  161,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090400, 03, TVCN,  72, 211N,  991W,  68,  194,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090400, 03, TVCN,  96, 259N,  987W,  68,  218,   ,   0,    ,    0,    0,    0,    0, 
