CP, 01, 201012172117,  30, ASCT,         CI,  , 2460N, 17830W,      , 1,  30, 1,     , 2,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  , 2,    ,    ,  ,  PHFO, SHH,  ,    ,       ,   ,     ,     ,     ,    ,   ASCT,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,  ,  ,  , 2, Subtropical low w/strongest winds west semicircle
CP, 01, 201012181130,  10, DVTS,         CI,  , 2350N, 17880W,      , 3,  35, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,   SAB,    ,    I, 6, 2525 /////,      ,   , GOES11,  CSC, S, 
CP, 01, 201012181130,  10, DVTS,         CI,  , 2360N, 17870W,      , 3,  25, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,  PHFO, SHH,    I, 6, 1515 /////,      ,   ,  MTSAT,  CSC, S, 
CP, 01, 201012181200,  70, ANAL,          P,  , 2320N, 17890W,    10, 2,    ,  , 1007, 2, MEAS,    ,     ,     ,     ,     ,     ,  ,  ,  ,  , 2,  45,    , C,  CIRA, MPS, MPS, 201012180000, 201012180025,    ,     , AMSU CD WV IR SSMI QSCT , CIRA Combined Multi-Platform Satellite Analysis     
CP, 01, 201012181352,  30, AMSU,         IP,  , 2328N, 17939W,      , 1,  51, 2,  990, 2, MEAS,    ,     ,     ,     ,     ,     ,  ,  ,  ,  , 2,    ,    , C,  CIRA, JAK,  ,    ,       ,   ,     ,     ,  990,    , NOAA18,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,  ,  ,  , 2, storm center extrapolated from t=-12 and t=0 adeck  
CP, 01, 201012181352,  30, AMSU,         IP,  , 2328N, 17939W,      , 1,  51, 2,  991, 2, MEAS,    ,     ,     ,     ,     ,     ,  ,  ,  ,  , 2,    ,    , C,  CIRA, JAK,  ,    ,       ,   ,     ,     ,  991,    , NOAA18,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,  ,  ,  , 2, storm center extrapolated from t=-12 and t=0 adeck  
CP, 01, 201012181352,  30, AMSU,         IP,  , 2351N, 17873W,      , 1,  36, 2,  999, 2, MEAS,    ,     ,     ,     ,     ,     ,  ,  ,  ,  , 2,    ,    , C,  CIRA, JAK,  ,    ,       ,   ,     ,     ,  999,    , NOAA18,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,  ,  ,  , 2, storm center extrapolated from t=-12 and t=0 adeck  
CP, 01, 201012181359,  30, AMSR,          C,  , 2340N, 17960W,      , 3,    ,  ,     , 2,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  , 2,    ,    , C,  PGTW,  TB,  ,    ,       ,   ,     ,     ,     ,    ,   AMSR,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,  ,  ,  , 2, 36H
CP, 01, 201012181649,  30, SSMI,          C,  , 2310N, 17980E,      , 3,    ,  ,     , 2,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  , 2,    ,    , C,  PGTW,  TB,  ,    ,       ,   ,     ,     ,     ,    ,   SSMI,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,  ,  ,  , 2, 37H/85H
CP, 01, 201012181730,  10, DVTS,         CI,  , 2300N, 17970W,      , 2,  30, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,  PHFO, TAC,   VI, 4, 2020 /////, D0506,   , GOES11,  CSC, T, 
CP, 01, 201012181800,  10, DVTS,         CI,  , 2310N, 18000W,      , 2,  35, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,   SAB, TAC,   VI, 4, 2525 /////, S0006,   , GOES11,  CSC, T, 
CP, 01, 201012181800,  70, ANAL,          P,  , 2330N, 17880W,    10, 2,    ,  , 1006, 2, MEAS,    ,     ,     ,     ,     ,     ,  ,  ,  ,  , 2,  45,    , C,  CIRA, MPS, MPS, 201012180600, 201012180025,    ,     , AMSU CD WV IR SSMI QSCT , CIRA Combined Multi-Platform Satellite Analysis     
CP, 01, 201012182030,  10, DVTS,         CI,  , 2260N, 17980E,      , 2,  35, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    , C,  PGTW,  TB,   VI, 4, 2525 /////,      ,   , GOES11, LLCC, S, 15A TIGHTLY CURVED BAND/BANDING EYE/ANMTN
CP, 01, 201012182052,  30, SSMS,          C,  , 2250N, 17980E,      , 3,    ,  ,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  , 2,    ,    , C,  PGTW,  TB,  ,    ,       ,   ,     ,     ,     ,    ,   SSMS,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,  ,  ,  , 2, 91H
CP, 01, 201012182330,  10, DVTS,         CI,  , 2230N, 17940E,      , 2,  45, 3,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    , C,  PGTW,  TB,   VI, 4, 3030 /////,      ,   , GOES11, LLCC, S, 15A TIGHTLY CURVED BAND/BANDING EYE/ANMTN
CP, 01, 201012182330,  10, DVTS,         CI,  , 2230N, 17950E,      , 2,  35, 3,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    , C,  PHFO,    ,   VI, 4, 2525 /////,      ,   , GOES11, LLCC, T, 
