EP, A2, 201006141800,  10, DVTS,         CI,  , 1370N, 10540W,      , 2,  25, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    , E,   SAB,  GS,   VI, 3, 1010 /////,      ,   , GOES11, LLCC, T, DT=1.0 BO CBND MET=1.0 PT=1.0 FTBO PT  PA=20 NMI
EP, A2, 201006141800,  10, DVTS,         CI,  , 1390N, 10550W,      , 3,  25, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,  TAFB,  JA,    V, 5, 1010 /////,      ,   , GOES11,  CSC, T, DT = 1.5 BASED ON 0.2 BANDING. NLINE NLINESMALL CS
EP, A2, 201006150000,  10, DVTS,         CI,  , 1410N, 10510W,      , 3,  25, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,   SAB,    ,   VI, 5, 1010 /////,      ,   , GOES11,  CSC, T, 
EP, A2, 201006150000,  10, DVTS,         CI,  , 1420N, 10510W,      , 3,  25, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,  TAFB,  GR,   VI, 5, 1515 /////,      ,   , GOES11,  CSC, T, 0.3 BANDING
EP, A2, 201006150000,  70, ANAL,          P,  , 1400N, 10565W,    10, 2,    ,  , 1008, 2, MEAS,    ,     ,     ,     ,     ,     ,  ,  ,  ,  , 2, 120,    , E,  CIRA, MPS, MPS, 201006141200, 201006150025,    ,     , AMSU CD WV IR SSMI QSCT , CIRA Combined Multi-Platform Satellite Analysis     
EP, A2, 201006150300,  10, DVTS,          C,  , 1430N, 10550W,      , 3,    ,  ,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,  TAFB,  JS,    I, 5,           ,      ,   , GOES11,  CSC,  ,     
EP, A2, 201006150600,  10, DVTS,         CI,  , 1430N, 10540W,      , 3,  25, 3,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,  TAFB,  JS,    I, 5, 1515 /////,      ,   , GOES11,  CSC, T, TWTC - CONVECTION AWAY FROM CENTER. NLINECAN NOT L
EP, A2, 201006150600,  10, DVTS,          C,  , 1440N, 10530W,      , 3,    ,  ,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,   SAB,  JK,    I, 5,           ,      ,   , GOES11,  CSC, T, 
EP, A2, 201006150600,  10, DVTS,          C,  , 1440N, 10530W,      , 3,  25, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    , E,   SAB,  JK,    I, 5,           ,      ,   , GOES11, LLCC, T, DT=0.0 BO CBND MET=0.0 PT=0.0 FTBO DT  PA=50 NMI
EP, A2, 201006150600,  70, ANAL,          P,  , 1440N, 10525W,    10, 2,    ,  , 1008, 2, MEAS,    ,     ,     ,     ,     ,     ,  ,  ,  ,  , 2,  62,    , E,  CIRA, MPS, MPS, 201006141800, 201006150025,    ,     , AMSU CD WV IR SSMI QSCT , CIRA Combined Multi-Platform Satellite Analysis     
EP, A2, 201006150830,  30, AMSR,          C,  , 1450N, 10560W,      , 1,    ,  ,     , 2,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  , 2,    ,    ,  ,   NHC, TBK,  ,    ,       ,   ,     ,     ,     ,    ,   AMSR,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,  ,  ,  , 2, LOW CLOUD LINES MARK THE SPOT
