SL, 50, 201003090000,  10, DVTS,         CI,  , 2980S,  4520W,      , 3,  25, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,   SAB,  MR,    I, 5, 1515 /////,      ,   ,   MET9,  CSC, S, ST1.5
SL, 50, 201003090000,  10, DVTS,         CI,  , 2990S,  4530W,      , 3,  25, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,  TAFB,  JA,    I, 5, 1515 /////,      ,   ,   MET9, LLCC, S, ST1.5
SL, 50, 201003090545,  10, DVTS,         CI,  , 2990S,  4640W,      , 3,  25, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,  TAFB, DGS,    I, 5, 1515 /////,      ,   ,   MET9,  CSC, T, ST1.5
SL, 50, 201003090615,  10, DVTS,         CI,  , 3040S,  4600W,      , 3,  25, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,   SAB,  GS,    I, 5, 1515 /////,      ,   ,   MET9,  CSC, T, ST1.5
SL, 50, 201003090845,  10, DVTS,          C,  , 3010S,  4640W,      , 3,    ,  ,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,  TAFB, DGS,    I, 5,           ,      ,   ,   MET9,  CSC, T, 
SL, 50, 201003091145,  10, DVTS,         CI,  , 3030S,  4820W,      , 3,  25, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,  TAFB, R/H,   VI, 5, 1515 /////,      ,   ,   MET9,  CSC, T, ST1.5
SL, 50, 201003091145,  10, DVTS,         CI,  , 3060S,  4800W,      , 3,  25, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,   SAB,  MT,   VI, 5, 1515 /////,      ,   ,   MET9,  CSC, T, ST1.5
SL, 50, 201003091745,  10, DVTS,         CI,  , 2990S,  4840W,      , 3,  35, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,  TAFB,  GR,   VI, 5, 2525 /////,      ,   ,   MET8,  CSC, S, ST 2.5
SL, 50, 201003091745,  10, DVTS,         CI,  , 3000S,  4830W,      , 3,  25, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,   SAB,  MT,   VI, 5, 1515 /////,      ,   ,   MET8,  CSC, S, ST 1.5
SL, 50, 201003092108,  30, WSAT,          C,  , 2980S,  4840W,      , 2,    ,  ,     , 2,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  , 2,    ,    ,  ,   NHC, JLB,  ,    ,       ,   ,     ,     ,     ,    ,   WSAT,    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,  ,  ,  , 2, XPSD LLCC ON 37 GHZ V
SL, 50, 201003092345,  10, DVTS,         CI,  , 2980S,  4810W,      , 3,  35, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,   SAB,  MS,    I, 5, 2525 /////,      ,   ,   MET9,  CSC, S, ST2.5
SL, 50, 201003092345,  10, DVTS,         CI,  , 2980S,  4820W,      , 3,  35, 2,     ,  ,     ,    ,     ,     ,     ,     ,     ,  ,  ,  ,  ,  ,    ,    ,  ,  TAFB,  JS,    I, 5, 2525 /////,      ,   ,   MET9,  CSC, S, ST2.5
