EP, 93, 2011083000, 01, CARQ, -24, 151N,  996W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 93, 2011083000, 01, CARQ, -18, 153N, 1003W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 93, 2011083000, 01, CARQ, -12, 155N, 1009W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 289,   6,     INVEST,  , 
EP, 93, 2011083000, 01, CARQ,  -6, 157N, 1015W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 93, 2011083000, 01, CARQ,   0, 159N, 1020W,  20, 1004, DB,  34, NEQ,    0,    0,    0,    0, 1006,  120,  50,   0,   0,   E,   0,   X, 290,   6,     INVEST, S, 
EP, 93, 2011083000, 01, CARQ,   0, 159N, 1020W,  20, 1004, DB,  50, NEQ,    0,    0,    0,    0, 1006,  120,  50,   0,   0,   E,   0,   X, 290,   6,     INVEST, S, 
EP, 93, 2011083000, 01, CARQ,   0, 159N, 1020W,  20, 1004, DB,  64, NEQ,    0,    0,    0,    0, 1006,  120,  50,   0,   0,   E,   0,   X, 290,   6,     INVEST, S, 
EP, 93, 2011083000, 03,  CMC,   0, 158N, 1026W,  14, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC,   6, 160N, 1028W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC,  12, 160N, 1029W,  23, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC,  18, 160N, 1028W,  31, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC,  24, 163N, 1026W,  32, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC,  30, 170N, 1030W,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC,  36, 170N, 1032W,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC,  42, 171N, 1040W,  28, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC,  48, 178N, 1047W,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC,  54, 180N, 1050W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC,  60, 180N, 1054W,  23, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC,  66, 181N, 1055W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC,  72, 187N, 1058W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC,  78, 189N, 1060W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC,  84, 190N, 1060W,  22, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC,  90, 197N, 1063W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC,  96, 200N, 1068W,  18, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC, 102, 201N, 1071W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC, 108, 204N, 1071W,  21, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC, 114, 207N, 1070W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC, 120, 208N, 1072W,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC, 126, 210N, 1073W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC, 132, 209N, 1073W,  18, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC, 138, 208N, 1074W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  CMC, 144, 207N, 1073W,  18, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  EMX,   0, 156N, 1011W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  EMX,  12, 160N, 1013W,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  EMX,  24, 160N, 1030W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  EMX,  36, 164N, 1032W,  23, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  EMX,  48, 171N, 1041W,  24, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  EMX,  60, 180N, 1051W,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  EMX,  72, 194N, 1063W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  EMX,  84, 207N, 1072W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  EMX,  96, 219N, 1080W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  EMX, 108, 226N, 1084W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  EMX, 120, 228N, 1084W,  15, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  EMX, 132, 225N, 1083W,  16, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  UKX,   0, 153N, 1014W,  18, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  UKX,  12, 159N, 1015W,  18, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  UKX,  24, 160N, 1011W,  22, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  UKX,  36, 156N, 1011W,  22, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  UKX,  48, 161N, 1011W,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  UKX,  60, 168N, 1022W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03,  UKX,  72, 177N, 1037W,  15, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2011083000, 03, AEMN,   0, 162N, 1033W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
