EP, 13, 2011111612,   , BEST,   0,  90N,  904W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1012,  225, 100,   0,   0, 
EP, 13, 2011111618,   , BEST,   0,  90N,  913W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1012,  225, 100,   0,   0, 
EP, 13, 2011111700,   , BEST,   0,  90N,  922W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1012,  225, 100,   0,   0, 
EP, 13, 2011111706,   , BEST,   0,  91N,  931W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1012,  225, 100,   0,   0, 
EP, 13, 2011111712,   , BEST,   0,  91N,  940W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1012,  225, 100,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 13, 2011111718,   , BEST,   0,  92N,  948W,  20, 1009, DB,   0,    ,    0,    0,    0,    0, 1012,  225, 100,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 13, 2011111800,   , BEST,   0,  92N,  955W,  20, 1008, DB,   0,    ,    0,    0,    0,    0, 1009,  225, 120,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 13, 2011111806,   , BEST,   0,  92N,  960W,  25, 1008, DB,   0,    ,    0,    0,    0,    0, 1009,  225, 120,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 13, 2011111812,   , BEST,   0,  92N,  965W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1009,  180, 120,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 13, 2011111818,   , BEST,   0,  92N,  970W,  25, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  180, 120,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 13, 2011111900,   , BEST,   0,  94N,  977W,  25, 1006, DB,   0,    ,    0,    0,    0,    0, 1010,  180,  90,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 13, 2011111906,   , BEST,   0,  97N,  984W,  25, 1006, DB,   0,    ,    0,    0,    0,    0, 
EP, 13, 2011111912,   , BEST,   0,  99N,  995W,  25, 1006, LO,   0,    ,    0,    0,    0,    0, 1010,  180, 105,  35,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 13, 2011111918,   , BEST,   0, 101N, 1007W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1011,  210,  60,  40,   0,   E,   0,    ,   0,   0,   THIRTEEN, M, 
EP, 13, 2011112000,   , BEST,   0, 102N, 1019W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  190,  50,  40,   0,   E,   0,    ,   0,   0,   THIRTEEN, M, 
EP, 13, 2011112006,   , BEST,   0, 104N, 1031W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1010,  180,  50,  40,   0,   E,   0,    ,   0,   0,   THIRTEEN, M, 
EP, 13, 2011112012,   , BEST,   0, 108N, 1042W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1010,  200,  45,  40,   0,   E,   0,    ,   0,   0,   THIRTEEN, M, 
EP, 13, 2011112018,   , BEST,   0, 115N, 1053W,  35, 1004, TS,  34, NEQ,  100,    0,    0,    0, 1012,  200,  40,  45,   0,   E,   0,    ,   0,   0,    KENNETH, M, 
EP, 13, 2011112100,   , BEST,   0, 120N, 1065W,  45, 1001, TS,  34, NEQ,  120,   45,   45,   60, 1010,  210,  35,  50,   0,   E,   0,    ,   0,   0,    KENNETH, M, 12, NEQ,  100,    0,    0,    0
EP, 13, 2011112106,   , BEST,   0, 122N, 1078W,  55,  995, TS,  34, NEQ,  120,   55,   45,  100, 1010,  210,  25,  65,   0,   E,   0,    ,   0,   0,    KENNETH, D, 12, NEQ,  120,    0,    0,   60
EP, 13, 2011112106,   , BEST,   0, 122N, 1078W,  55,  995, TS,  50, NEQ,   30,    0,    0,   30, 1010,  210,  25,  65,   0,   E,   0,    ,   0,   0,    KENNETH, D, 12, NEQ,  120,    0,    0,   60
EP, 13, 2011112112,   , BEST,   0, 126N, 1091W,  65,  992, HU,  34, NEQ,  120,   70,   45,  100, 1010,  175,  15,  80,   0,   E,   0,    ,   0,   0,    KENNETH, D, 12, NEQ,  210,   60,   90,  210
EP, 13, 2011112112,   , BEST,   0, 126N, 1091W,  65,  992, HU,  50, NEQ,   50,   30,   20,   40, 1010,  175,  15,  80,   0,   E,   0,    ,   0,   0,    KENNETH, D, 12, NEQ,  210,   60,   90,  210
EP, 13, 2011112112,   , BEST,   0, 126N, 1091W,  65,  992, HU,  64, NEQ,   15,    0,    0,   15, 1010,  175,  15,  80,   0,   E,   0,    ,   0,   0,    KENNETH, D, 12, NEQ,  210,   60,   90,  210
EP, 13, 2011112118,   , BEST,   0, 130N, 1101W,  75,  982, HU,  34, NEQ,  120,   70,   45,  100, 1009,  180,  15,  90,   0,   E,   0,    ,   0,   0,    KENNETH, D, 12, NEQ,  210,   60,   90,  210
EP, 13, 2011112118,   , BEST,   0, 130N, 1101W,  75,  982, HU,  50, NEQ,   50,   30,   20,   40, 1009,  180,  15,  90,   0,   E,   0,    ,   0,   0,    KENNETH, D, 12, NEQ,  210,   60,   90,  210
EP, 13, 2011112118,   , BEST,   0, 130N, 1101W,  75,  982, HU,  64, NEQ,   15,   15,    0,   15, 1009,  180,  15,  90,   0,   E,   0,    ,   0,   0,    KENNETH, D, 12, NEQ,  210,   60,   90,  210
EP, 13, 2011112200,   , BEST,   0, 130N, 1113W,  90,  973, HU,  34, NEQ,  120,   75,   60,  105, 1010,  180,  25, 110,   0,   E,   0,    ,   0,   0,    KENNETH, D, 12, NEQ,  240,   60,   90,  240
EP, 13, 2011112200,   , BEST,   0, 130N, 1113W,  90,  973, HU,  50, NEQ,   50,   40,   40,   40, 1010,  180,  25, 110,   0,   E,   0,    ,   0,   0,    KENNETH, D, 12, NEQ,  240,   60,   90,  240
EP, 13, 2011112200,   , BEST,   0, 130N, 1113W,  90,  973, HU,  64, NEQ,   30,   20,    0,   30, 1010,  180,  25, 110,   0,   E,   0,    ,   0,   0,    KENNETH, D, 12, NEQ,  240,   60,   90,  240
EP, 13, 2011112206,   , BEST,   0, 130N, 1123W, 100,  965, HU,  34, NEQ,  120,   75,   60,  110, 1010,  180,  25, 115,  20,   E,   0,    ,   0,   0,    KENNETH, D, 12, NEQ,  240,   75,  120,  240
EP, 13, 2011112206,   , BEST,   0, 130N, 1123W, 100,  965, HU,  50, NEQ,   50,   40,   40,   40, 1010,  180,  25, 115,  20,   E,   0,    ,   0,   0,    KENNETH, D, 12, NEQ,  240,   75,  120,  240
EP, 13, 2011112206,   , BEST,   0, 130N, 1123W, 100,  965, HU,  64, NEQ,   30,   20,   10,   30, 1010,  180,  25, 115,  20,   E,   0,    ,   0,   0,    KENNETH, D, 12, NEQ,  240,   75,  120,  240
EP, 13, 2011112212,   , BEST,   0, 129N, 1134W, 125,  943, HU,  34, NEQ,  130,   80,   70,  120, 1010,  180,  25, 150,   0,   E,   0,    ,   0,   0,    KENNETH, D, 
