EP, 02, 2012052012,   , BEST,   0,  90N,  981W,  25, 1006, LO,   0,    ,    0,    0,    0,    0, 1008,  175,  90,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 02, 2012052018,   , BEST,   0,  91N,  987W,  25, 1006, TD,   0,    ,    0,    0,    0,    0, 1008,  175,  90,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 02, 2012052100,   , BEST,   0,  91N,  993W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1008,  200,  90,  40,   0,   E,   0,    ,   0,   0,        TWO, S, 
EP, 02, 2012052106,   , BEST,   0,  92N,  999W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1008,  200,  90,  40,   0,   E,   0,    ,   0,   0,        TWO, S, 
EP, 02, 2012052112,   , BEST,   0,  93N, 1004W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1008,  180,  80,  40,   0,   E,   0,    ,   0,   0,        TWO, M, 
EP, 02, 2012052118,   , BEST,   0,  94N, 1009W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1009,  180,  60,  40,   0,   E,   0,    ,   0,   0,        TWO, M, 
EP, 02, 2012052200,   , BEST,   0,  97N, 1016W,  35, 1004, TD,  34, NEQ,    0,    0,    0,   40, 1009,  180,  40,  40,   0,   E,   0,    ,   0,   0,        TWO, M, 
EP, 02, 2012052206,   , BEST,   0, 102N, 1026W,  35, 1004, TS,  34, NEQ,    0,    0,    0,   40, 1009,  200,  40,  45,   0,   E,   0,    ,   0,   0,        BUD, M, 
EP, 02, 2012052212,   , BEST,   0, 108N, 1036W,  35, 1004, TS,  34, NEQ,    0,    0,    0,   40, 1009,  200,  20,  45,   0,   E,   0,    ,   0,   0,        BUD, M, 12, NEQ,    0,    0,    0,   40
EP, 02, 2012052218,   , BEST,   0, 117N, 1046W,  40, 1003, TS,  34, NEQ,   30,    0,    0,   40, 1009,  200,  30,  45,   0,   E,   0,    ,   0,   0,        BUD, M, 12, NEQ,   40,    0,    0,   40
EP, 02, 2012052300,   , BEST,   0, 125N, 1056W,  45, 1001, TS,  34, NEQ,   30,    0,    0,   40, 1009,  200,  30,  45,   0,   E,   0,    ,   0,   0,        BUD, M, 
EP, 02, 2012052306,   , BEST,   0, 129N, 1066W,  50,  999, TS,  34, NEQ,   60,   50,   40,   40, 1009,  180,  20,  45,   0,   E,   0,    ,   0,   0,        BUD, M, 12, NEQ,   40,    0,    0,   40
EP, 02, 2012052306,   , BEST,   0, 129N, 1066W,  50,  999, TS,  50, NEQ,   20,    0,    0,    0, 1009,  180,  20,  45,   0,   E,   0,    ,   0,   0,        BUD, M, 12, NEQ,   40,    0,    0,   40
EP, 02, 2012052312,   , BEST,   0, 131N, 1074W,  55,  997, TS,  34, NEQ,   90,   80,   60,   70, 1009,  240,  20,  65,   0,   E,   0,    ,   0,   0,        BUD, M, 12, NEQ,   60,   45,   30,   60
EP, 02, 2012052312,   , BEST,   0, 131N, 1074W,  55,  997, TS,  50, NEQ,   30,   30,    0,   30, 1009,  240,  20,  65,   0,   E,   0,    ,   0,   0,        BUD, M, 12, NEQ,   60,   45,   30,   60
EP, 02, 2012052318,   , BEST,   0, 136N, 1077W,  60,  993, TS,  34, NEQ,  120,   90,   70,  100, 1010,  240,  40,  65,   0,   E,   0,    ,   0,   0,        BUD, M, 12, NEQ,   90,   75,   60,   90
EP, 02, 2012052318,   , BEST,   0, 136N, 1077W,  60,  993, TS,  50, NEQ,   40,   40,    0,   40, 1010,  240,  40,  65,   0,   E,   0,    ,   0,   0,        BUD, M, 12, NEQ,   90,   75,   60,   90
EP, 02, 2012052400,   , BEST,   0, 141N, 1077W,  70,  985, HU,  34, NEQ,  120,   90,   70,  100, 1009,  240,  40,  75,   0,   E,   0,    ,   0,   0,        BUD, M, 12, NEQ,  120,   90,   60,   90
EP, 02, 2012052400,   , BEST,   0, 141N, 1077W,  70,  985, HU,  50, NEQ,   40,   40,   30,   40, 1009,  240,  40,  75,   0,   E,   0,    ,   0,   0,        BUD, M, 12, NEQ,  120,   90,   60,   90
EP, 02, 2012052400,   , BEST,   0, 141N, 1077W,  70,  985, HU,  64, NEQ,   20,   20,    0,   20, 1009,  240,  40,  75,   0,   E,   0,    ,   0,   0,        BUD, M, 12, NEQ,  120,   90,   60,   90
EP, 02, 2012052406,   , BEST,   0, 146N, 1074W,  80,  978, HU,  34, NEQ,  100,   90,   70,  100, 1009,  240,  20,  90,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,   90,   75,  120
EP, 02, 2012052406,   , BEST,   0, 146N, 1074W,  80,  978, HU,  50, NEQ,   40,   40,   30,   40, 1009,  240,  20,  90,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,   90,   75,  120
EP, 02, 2012052406,   , BEST,   0, 146N, 1074W,  80,  978, HU,  64, NEQ,   20,   20,   10,   20, 1009,  240,  20,  90,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,   90,   75,  120
EP, 02, 2012052412,   , BEST,   0, 152N, 1070W,  90,  970, HU,  34, NEQ,  100,   90,   70,   90, 1008,  270,  20, 110,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  120,  120,  150
EP, 02, 2012052412,   , BEST,   0, 152N, 1070W,  90,  970, HU,  50, NEQ,   40,   40,   30,   30, 1008,  270,  20, 110,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  120,  120,  150
EP, 02, 2012052412,   , BEST,   0, 152N, 1070W,  90,  970, HU,  64, NEQ,   20,   20,   10,   20, 1008,  270,  20, 110,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  120,  120,  150
EP, 02, 2012052418,   , BEST,   0, 160N, 1065W,  95,  962, HU,  34, NEQ,  100,   90,   70,   80, 1007,  270,  20, 120,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  120,  120,  150
EP, 02, 2012052418,   , BEST,   0, 160N, 1065W,  95,  962, HU,  50, NEQ,   40,   40,   30,   30, 1007,  270,  20, 120,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  120,  120,  150
EP, 02, 2012052418,   , BEST,   0, 160N, 1065W,  95,  962, HU,  64, NEQ,   20,   30,   20,   20, 1007,  270,  20, 120,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  120,  120,  150
EP, 02, 2012052500,   , BEST,   0, 168N, 1061W, 100,  961, HU,  34, NEQ,  100,   90,   70,   80, 1007,  270,  15, 120,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  120,  120,  150
EP, 02, 2012052500,   , BEST,   0, 168N, 1061W, 100,  961, HU,  50, NEQ,   40,   40,   30,   30, 1007,  270,  15, 120,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  120,  120,  150
EP, 02, 2012052500,   , BEST,   0, 168N, 1061W, 100,  961, HU,  64, NEQ,   25,   30,   20,   20, 1007,  270,  15, 120,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  120,  120,  150
EP, 02, 2012052506,   , BEST,   0, 175N, 1058W,  95,  964, HU,  34, NEQ,  100,   90,   70,   80, 1007,  220,  15, 115,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  150,  150,  150
EP, 02, 2012052506,   , BEST,   0, 175N, 1058W,  95,  964, HU,  50, NEQ,   40,   40,   30,   30, 1007,  220,  15, 115,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  150,  150,  150
EP, 02, 2012052506,   , BEST,   0, 175N, 1058W,  95,  964, HU,  64, NEQ,   25,   30,   20,   20, 1007,  220,  15, 115,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  150,  150,  150
EP, 02, 2012052512,   , BEST,   0, 182N, 1056W,  85,  973, HU,  34, NEQ,  100,   90,   70,   80, 1007,  220,  15, 110,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  180,   90,  150
EP, 02, 2012052512,   , BEST,   0, 182N, 1056W,  85,  973, HU,  50, NEQ,   40,   40,   30,   30, 1007,  220,  15, 110,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  180,   90,  150
EP, 02, 2012052512,   , BEST,   0, 182N, 1056W,  85,  973, HU,  64, NEQ,   25,   30,   20,   20, 1007,  220,  15, 110,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  180,   90,  150
EP, 02, 2012052518,   , BEST,   0, 189N, 1055W,  70,  990, HU,  34, NEQ,   90,   70,   70,   80, 1007,  220,  15,  75,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,   90,  240,  120,  120
EP, 02, 2012052518,   , BEST,   0, 189N, 1055W,  70,  990, HU,  50, NEQ,   50,   40,   40,   50, 1007,  220,  15,  75,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,   90,  240,  120,  120
EP, 02, 2012052518,   , BEST,   0, 189N, 1055W,  70,  990, HU,  64, NEQ,   15,    0,    0,    0, 1007,  220,  15,  75,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,   90,  240,  120,  120
EP, 02, 2012052600,   , BEST,   0, 195N, 1056W,  55,  996, TS,  34, NEQ,   70,   70,   70,   70, 1007,  220,  15,  65,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,   90,  240,  120,  120
EP, 02, 2012052600,   , BEST,   0, 195N, 1056W,  55,  996, TS,  50, NEQ,   50,   40,   40,   50, 1007,  220,  15,  65,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,   90,  240,  120,  120
EP, 02, 2012052606,   , BEST,   0, 201N, 1057W,  40, 1002, LO,  34, NEQ,    0,   40,    0,    0, 1009,  100,  15,  45,   0,   E,   0,    ,   0,   0,        BUD, S, 12, NEQ,   60,  180,   50,  120
EP, 02, 2012052612,   , BEST,   0, 205N, 1058W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  100,  30,  35,   0,   E,   0,    ,   0,   0,        BUD, S, 
