EP, 16, 2012101312,   , BEST,   0, 138N, 1120W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  150,  60,  35,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 16, 2012101318,   , BEST,   0, 139N, 1131W,  35, 1005, TS,  34, NEQ,   30,    0,    0,   30, 1010,  225,  30,  45,   0,   E,   0,    ,   0,   0,       PAUL, M, 
EP, 16, 2012101400,   , BEST,   0, 140N, 1138W,  40, 1003, TS,  34, NEQ,   40,    0,    0,   60, 1009,  325,  30,  55,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,   30,    0,    0,   30
EP, 16, 2012101406,   , BEST,   0, 141N, 1142W,  45, 1001, TS,  34, NEQ,   50,    0,    0,   90, 1011,  250,  30,  55,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,   60,   30,   30,   60
EP, 16, 2012101412,   , BEST,   0, 143N, 1146W,  50, 1001, TS,  34, NEQ,   60,   30,   40,   90, 1011,  250,  30,  55,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,   40,    0,   20,   75
EP, 16, 2012101412,   , BEST,   0, 143N, 1146W,  50, 1001, TS,  50, NEQ,   30,    0,    0,    0, 1011,  250,  30,  55,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,   40,    0,   20,   75
EP, 16, 2012101418,   , BEST,   0, 146N, 1150W,  55,  996, TS,  34, NEQ,   70,   40,   40,   80, 1009,  250,  30,  60,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,   60,   15,   30,   75
EP, 16, 2012101418,   , BEST,   0, 146N, 1150W,  55,  996, TS,  50, NEQ,   30,    0,    0,    0, 1009,  250,  30,  60,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,   60,   15,   30,   75
EP, 16, 2012101500,   , BEST,   0, 151N, 1151W,  60,  991, TS,  34, NEQ,   80,   50,   50,   70, 1008,  260,  30,  75,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  120,   60,   60,  120
EP, 16, 2012101500,   , BEST,   0, 151N, 1151W,  60,  991, TS,  50, NEQ,   40,   30,   20,   20, 1008,  260,  30,  75,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  120,   60,   60,  120
EP, 16, 2012101506,   , BEST,   0, 158N, 1151W,  65,  988, HU,  34, NEQ,   80,   60,   50,   70, 1008,  260,  20,  80,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  150,   90,   90,  150
EP, 16, 2012101506,   , BEST,   0, 158N, 1151W,  65,  988, HU,  50, NEQ,   40,   40,   20,   20, 1008,  260,  20,  80,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  150,   90,   90,  150
EP, 16, 2012101506,   , BEST,   0, 158N, 1151W,  65,  988, HU,  64, NEQ,   20,   20,    0,    0, 1008,  260,  20,  80,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  150,   90,   90,  150
EP, 16, 2012101512,   , BEST,   0, 168N, 1148W,  80,  979, HU,  34, NEQ,   70,   70,   60,   70, 1009,  280,  20,  90,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  135,  160,  100,  135
EP, 16, 2012101512,   , BEST,   0, 168N, 1148W,  80,  979, HU,  50, NEQ,   40,   40,   20,   30, 1009,  280,  20,  90,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  135,  160,  100,  135
EP, 16, 2012101512,   , BEST,   0, 168N, 1148W,  80,  979, HU,  64, NEQ,   20,   20,   10,   20, 1009,  280,  20,  90,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  135,  160,  100,  135
EP, 16, 2012101518,   , BEST,   0, 179N, 1144W, 105,  959, HU,  34, NEQ,   60,   80,   60,   70, 1009,  290,  20, 115,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  210,  270,  120,  150
EP, 16, 2012101518,   , BEST,   0, 179N, 1144W, 105,  959, HU,  50, NEQ,   40,   40,   30,   30, 1009,  290,  20, 115,   0,   E,   0,    ,   0,   0,       PAUL, D, 12, NEQ,  210,  270,  120,  150
