AL, 92, 2013083112, 01, CARQ, -24, 145N,  485W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 92, 2013083112, 01, CARQ, -18, 147N,  502W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 92, 2013083112, 01, CARQ, -12, 148N,  513W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 275,  12,     INVEST,  , 
AL, 92, 2013083112, 01, CARQ,  -6, 149N,  526W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 92, 2013083112, 01, CARQ,   0, 150N,  540W,  25, 1008, DB,  34, NEQ,    0,    0,    0,    0, 1010,  150,   0,   0,   0,   L,   0,   X, 275,  12,     INVEST, S , 
AL, 92, 2013083112, 01, CARQ,   0, 150N,  540W,  25, 1008, DB,  50, NEQ,    0,    0,    0,    0, 1010,  150,   0,   0,   0,   L,   0,   X, 275,  12,     INVEST, S , 
AL, 92, 2013083112, 01, CARQ,   0, 150N,  540W,  25, 1008, DB,  64, NEQ,    0,    0,    0,    0, 1010,  150,   0,   0,   0,   L,   0,   X, 275,  12,     INVEST, S , 
AL, 92, 2013083112, 03,  EMX,   0, 143N,  536W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  EMX,   6, 150N,  550W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  EMX,  12, 153N,  569W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  EMX,  18, 145N,  585W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  EMX,  24, 144N,  602W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  EMX,  30, 140N,  620W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  EMX,  36, 140N,  625W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  EMX,  42, 137N,  638W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  EMX,  48, 138N,  647W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  EMX,  54, 139N,  647W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  EMX,  60, 139N,  655W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  EMX,  66, 144N,  660W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  EMX,  72, 145N,  669W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  EMX,  78, 141N,  681W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  NGX,   0, 137N,  543W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  NGX,  12, 136N,  574W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  NGX,  24, 140N,  595W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  NGX,  36, 136N,  615W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  NGX,  48, 136N,  636W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  NGX,  60, 132N,  647W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  NGX,  72, 131N,  666W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  NGX,  84, 128N,  687W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  NGX,  96, 130N,  712W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  NGX, 108, 132N,  738W,  11, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  UKX,   0, 144N,  541W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  UKX,  12, 149N,  564W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  UKX,  24, 150N,  596W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  UKX,  36, 139N,  615W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  UKX,  48, 139N,  637W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  UKX,  60, 138N,  648W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03,  UKX,  72, 138N,  662W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMD,  12, 153N,  557W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMD,  24, 154N,  573W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, BAMD,  36, 153N,  589W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
