AL, 05, 2014083000, 01, CARQ, -24, 144N,  770W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 05, 2014083000, 01, CARQ, -18, 145N,  780W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 05, 2014083000, 01, CARQ, -12, 147N,  790W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 282,  10,     INVEST,  , 
AL, 05, 2014083000, 01, CARQ,  -6, 149N,  800W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 05, 2014083000, 01, CARQ,   0, 151N,  809W,  20, 1009, DB,  34, NEQ,    0,    0,    0,    0, 1010,  150,  40,   0,   0,   L,   0,   X, 280,  10,     INVEST, S, 
AL, 05, 2014083000, 01, CARQ,   0, 151N,  809W,  20, 1009, DB,  50, NEQ,    0,    0,    0,    0, 1010,  150,  40,   0,   0,   L,   0,   X, 280,  10,     INVEST, S, 
AL, 05, 2014083000, 01, CARQ,   0, 151N,  809W,  20, 1009, DB,  64, NEQ,    0,    0,    0,    0, 1010,  150,  40,   0,   0,   L,   0,   X, 280,  10,     INVEST, S, 
AL, 05, 2014083000, 03,  CMC,   0, 145N,  805W,   0, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03,  EMX,   0, 143N,  818W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03,  NAM,   0, 140N,  811W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03,  NGX,   0, 135N,  813W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03,  NGX,  12, 143N,  838W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03,  NGX,  24, 151N,  863W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AEMN,   0, 138N,  812W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AEMN,   6, 132N,  826W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AP03,   0, 133N,  813W,  11, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AP03,   6, 131N,  822W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AP03,  12, 131N,  828W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AP04,   0, 138N,  813W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AP04,   6, 131N,  821W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AP04,  12, 134N,  823W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AP05,   0, 141N,  813W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AP06,   0, 141N,  806W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AP06,   6, 140N,  832W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AP08,   0, 141N,  809W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AP08,   6, 129N,  830W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AP09,   0, 141N,  805W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AP09,   6, 133N,  827W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AP09,  12, 121N,  834W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AP11,   0, 136N,  815W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AP11,   6, 130N,  833W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AP11,  12, 134N,  834W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AP11,  18, 143N,  840W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AP13,   0, 142N,  826W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AP18,   0, 131N,  813W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AP18,   6, 135N,  829W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AP19,   0, 132N,  812W,  11, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AP19,   6, 129N,  818W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AVNO,   0, 132N,  812W,  10, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AVNO,   6, 128N,  823W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, AVNO,  12, 127N,  825W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, BAMD,  12, 158N,  831W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, BAMD,  24, 165N,  850W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, BAMD,  36, 172N,  868W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, BAMD,  48, 178N,  885W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, BAMD,  60, 184N,  900W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, BAMD,  72, 190N,  915W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, BAMD,  84, 194N,  927W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, BAMD,  96, 197N,  940W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, BAMD, 108, 199N,  955W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, BAMD, 120, 205N,  972W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, BAMD, 132, 212N,  988W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, BAMD, 144, 219N, 1005W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, BAMD, 156, 224N, 1021W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, BAMD, 168, 227N, 1035W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, BAMM,  12, 161N,  834W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, BAMM,  24, 170N,  857W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, BAMM,  36, 179N,  880W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, BAMM,  48, 186N,  900W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 05, 2014083000, 03, BAMM,  60, 192N,  919W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
