AL, 72, 2014082306, 01, CARQ, -24, 260N,  712W, 120,    0, HU,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,       RYAN,  , 
AL, 72, 2014082306, 01, CARQ, -18, 278N,  716W, 120,    0, HU,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,       RYAN,  , 
AL, 72, 2014082306, 01, CARQ, -12, 286N,  724W, 120,    0, HU,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 329,  10,       RYAN,  , 
AL, 72, 2014082306, 01, CARQ,  -6, 295N,  728W, 120,    0, HU,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,       RYAN,  , 
AL, 72, 2014082306, 01, CARQ,   0, 304N,  728W, 120,  944, HU,  34, NEQ,  180,  160,  150,  180, 1008,  240,  20,   0,   0,   L,   0,   X,   0,  10,       RYAN, D , 
AL, 72, 2014082306, 01, CARQ,   0, 304N,  728W, 120,  944, HU,  50, NEQ,   95,   90,   75,   95, 1008,  240,  20,   0,   0,   L,   0,   X,   0,  10,       RYAN, D , 
AL, 72, 2014082306, 01, CARQ,   0, 304N,  728W, 120,  944, HU,  64, NEQ,   40,   40,   30,   40, 1008,  240,  20,   0,   0,   L,   0,   X,   0,  10,       RYAN, D , 
AL, 72, 2014082306, 03, DRCL,   0, 304N,  728W, 120,    0, HU,  34, NEQ,  180,  160,  150,  180, 
AL, 72, 2014082306, 03, DRCL,   0, 304N,  728W, 120,    0, HU,  50, NEQ,   95,   90,   75,   95, 
AL, 72, 2014082306, 03, DRCL,   0, 304N,  728W, 120,    0, HU,  64, NEQ,   40,   40,   30,   40, 
AL, 72, 2014082306, 03, DRCL,  12, 320N,  728W, 115,    0, HU,  34, NEQ,  181,  166,  149,  170, 
AL, 72, 2014082306, 03, DRCL,  12, 320N,  728W, 115,    0, HU,  50, NEQ,   97,   93,   79,   92, 
AL, 72, 2014082306, 03, DRCL,  12, 320N,  728W, 115,    0, HU,  64, NEQ,   45,   45,   36,   43, 
AL, 72, 2014082306, 03, DRCL,  24, 346N,  728W, 110,    0, HU,  34, NEQ,  187,  176,  149,  163, 
AL, 72, 2014082306, 03, DRCL,  24, 346N,  728W, 110,    0, HU,  50, NEQ,  101,   98,   82,   91, 
AL, 72, 2014082306, 03, DRCL,  24, 346N,  728W, 110,    0, HU,  64, NEQ,   52,   52,   43,   48, 
AL, 72, 2014082306, 03, DRCL,  36, 378N,  729W, 100,    0, HU,  34, NEQ,  193,  181,  147,  161, 
AL, 72, 2014082306, 03, DRCL,  36, 378N,  729W, 100,    0, HU,  50, NEQ,  103,   99,   82,   90, 
AL, 72, 2014082306, 03, DRCL,  36, 378N,  729W, 100,    0, HU,  64, NEQ,   57,   56,   47,   51, 
AL, 72, 2014082306, 03, DRCL,  48, 414N,  741W,  95,    0, HU,  34, NEQ,  202,  189,  147,  158, 
AL, 72, 2014082306, 03, DRCL,  48, 414N,  741W,  95,    0, HU,  50, NEQ,  106,  102,   83,   90, 
AL, 72, 2014082306, 03, DRCL,  48, 414N,  741W,  95,    0, HU,  64, NEQ,   61,   60,   50,   53, 
AL, 72, 2014082306, 03, DRCL,  72, 510N,  770W,  40,    0, TS,  34, NEQ,   74,   69,    0,    0, 
AL, 72, 2014082306, 03, MRCL,   0, 304N,  728W, 120,    0, HU,  34, NEQ,  180,  160,  150,  180, 
AL, 72, 2014082306, 03, MRCL,   0, 304N,  728W, 120,    0, HU,  50, NEQ,   95,   90,   75,   95, 
AL, 72, 2014082306, 03, MRCL,   0, 304N,  728W, 120,    0, HU,  64, NEQ,   40,   40,   30,   40, 
AL, 72, 2014082306, 03, MRCL,  12, 320N,  728W, 115,    0, HU,  34, NEQ,  195,  165,  115,  175, 
AL, 72, 2014082306, 03, MRCL,  12, 320N,  728W, 115,    0, HU,  50, NEQ,   90,   80,   80,   90, 
AL, 72, 2014082306, 03, MRCL,  12, 320N,  728W, 115,    0, HU,  64, NEQ,   60,   55,   40,   50, 
AL, 72, 2014082306, 03, MRCL,  24, 346N,  728W, 110,    0, HU,  34, NEQ,  190,  170,  165,  185, 
AL, 72, 2014082306, 03, MRCL,  24, 346N,  728W, 110,    0, HU,  50, NEQ,  125,   95,   80,   85, 
AL, 72, 2014082306, 03, MRCL,  24, 346N,  728W, 110,    0, HU,  64, NEQ,   65,   55,   30,   30, 
AL, 72, 2014082306, 03, MRCL,  36, 378N,  729W, 100,    0, HU,  34, NEQ,  220,  210,  175,  195, 
AL, 72, 2014082306, 03, MRCL,  36, 378N,  729W, 100,    0, HU,  50, NEQ,  140,  115,   80,   80, 
AL, 72, 2014082306, 03, MRCL,  36, 378N,  729W, 100,    0, HU,  64, NEQ,   80,   75,   30,   55, 
AL, 72, 2014082306, 03, MRCL,  48, 414N,  741W,  95,    0, HU,  34, NEQ,  210,  215,  155,  190, 
AL, 72, 2014082306, 03, MRCL,  48, 414N,  741W,  95,    0, HU,  50, NEQ,  135,  100,   95,   95, 
AL, 72, 2014082306, 03, MRCL,  48, 414N,  741W,  95,    0, HU,  64, NEQ,   75,   65,   45,   35, 
AL, 72, 2014082306, 03, MRCL,  72, 510N,  770W,  40,    0,   ,  34, NEQ,  125,  120,  115,  110, 
