AL, 87, 2014070812, 01, CARQ, -24, 260N,  692W, 120,    0, HU,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,       TEST,  , 
AL, 87, 2014070812, 01, CARQ, -18, 278N,  696W, 120,    0, HU,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,       TEST,  , 
AL, 87, 2014070812, 01, CARQ, -12, 286N,  704W, 120,    0, HU,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 329,  10,       TEST,  , 
AL, 87, 2014070812, 01, CARQ,  -6, 295N,  708W, 120,    0, HU,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,       TEST,  , 
AL, 87, 2014070812, 01, CARQ,   0, 304N,  708W, 120,  944, HU,  34, NEQ,  180,  160,  150,  180, 1008,  240,  20,   0,   0,   L,   0,   X, 340,   9,       TEST, D, 
AL, 87, 2014070812, 01, CARQ,   0, 304N,  708W, 120,  944, HU,  50, NEQ,   95,   90,   75,   95, 1008,  240,  20,   0,   0,   L,   0,   X, 340,   9,       TEST, D, 
AL, 87, 2014070812, 01, CARQ,   0, 304N,  708W, 120,  944, HU,  64, NEQ,   40,   40,   30,   40, 1008,  240,  20,   0,   0,   L,   0,   X, 340,   9,       TEST, D, 
AL, 87, 2014070812, 03, DRCL,   0, 304N,  708W, 120,    0, HU,  34, NEQ,  180,  160,  150,  180, 
AL, 87, 2014070812, 03, DRCL,   0, 304N,  708W, 120,    0, HU,  50, NEQ,   95,   90,   75,   95, 
AL, 87, 2014070812, 03, DRCL,   0, 304N,  708W, 120,    0, HU,  64, NEQ,   40,   40,   30,   40, 
AL, 87, 2014070812, 03, DRCL,  12, 320N,  708W, 110,    0, HU,  34, NEQ,  181,  166,  148,  169, 
AL, 87, 2014070812, 03, DRCL,  12, 320N,  708W, 110,    0, HU,  50, NEQ,   96,   92,   77,   91, 
AL, 87, 2014070812, 03, DRCL,  12, 320N,  708W, 110,    0, HU,  64, NEQ,   43,   43,   34,   41, 
AL, 87, 2014070812, 03, DRCL,  24, 346N,  708W, 100,    0, HU,  34, NEQ,  183,  174,  144,  158, 
AL, 87, 2014070812, 03, DRCL,  24, 346N,  708W, 100,    0, HU,  50, NEQ,   96,   94,   77,   87, 
AL, 87, 2014070812, 03, DRCL,  24, 346N,  708W, 100,    0, HU,  64, NEQ,   49,   49,   39,   44, 
AL, 87, 2014070812, 03, DRCL,  36, 378N,  708W,  95,    0, HU,  34, NEQ,  190,  178,  143,  157, 
AL, 87, 2014070812, 03, DRCL,  36, 378N,  708W,  95,    0, HU,  50, NEQ,   99,   96,   79,   87, 
AL, 87, 2014070812, 03, DRCL,  36, 378N,  708W,  95,    0, HU,  64, NEQ,   54,   53,   44,   48, 
AL, 87, 2014070812, 03, DRCL,  48, 414N,  721W,  85,    0, HU,  34, NEQ,  195,  181,  137,  150, 
AL, 87, 2014070812, 03, DRCL,  48, 414N,  721W,  85,    0, HU,  50, NEQ,   97,   93,   74,   81, 
AL, 87, 2014070812, 03, DRCL,  48, 414N,  721W,  85,    0, HU,  64, NEQ,   54,   52,   43,   46, 
AL, 87, 2014070812, 03, DRCL,  72, 510N,  750W,  40,    0, TS,  34, NEQ,   74,   69,    0,    0, 
AL, 87, 2014070812, 03, MRCL,   0, 304N,  708W, 120,    0, HU,  34, NEQ,  180,  160,  150,  180, 
AL, 87, 2014070812, 03, MRCL,   0, 304N,  708W, 120,    0, HU,  50, NEQ,   95,   90,   75,   95, 
AL, 87, 2014070812, 03, MRCL,   0, 304N,  708W, 120,    0, HU,  64, NEQ,   40,   40,   30,   40, 
AL, 87, 2014070812, 03, MRCL,  12, 320N,  708W, 110,    0, HU,  34, NEQ,  185,  165,  110,  160, 
AL, 87, 2014070812, 03, MRCL,  12, 320N,  708W, 110,    0, HU,  50, NEQ,   85,   75,   75,   90, 
AL, 87, 2014070812, 03, MRCL,  12, 320N,  708W, 110,    0, HU,  64, NEQ,   55,   50,   35,   50, 
AL, 87, 2014070812, 03, MRCL,  24, 346N,  708W, 100,    0, HU,  34, NEQ,  195,  170,  155,  170, 
AL, 87, 2014070812, 03, MRCL,  24, 346N,  708W, 100,    0, HU,  50, NEQ,  120,   95,   75,   80, 
AL, 87, 2014070812, 03, MRCL,  24, 346N,  708W, 100,    0, HU,  64, NEQ,   65,   60,   30,   30, 
AL, 87, 2014070812, 03, MRCL,  36, 378N,  708W,  95,    0, HU,  34, NEQ,  215,  210,  165,  185, 
AL, 87, 2014070812, 03, MRCL,  36, 378N,  708W,  95,    0, HU,  50, NEQ,  135,  110,   75,   70, 
AL, 87, 2014070812, 03, MRCL,  36, 378N,  708W,  95,    0, HU,  64, NEQ,   75,   75,   25,   55, 
AL, 87, 2014070812, 03, MRCL,  48, 414N,  721W,  85,    0, HU,  34, NEQ,  195,  215,  145,  175, 
AL, 87, 2014070812, 03, MRCL,  48, 414N,  721W,  85,    0, HU,  50, NEQ,  130,   95,   85,   85, 
AL, 87, 2014070812, 03, MRCL,  48, 414N,  721W,  85,    0, HU,  64, NEQ,   75,   65,   40,   30, 
AL, 87, 2014070812, 03, MRCL,  72, 510N,  750W,  40,    0,   ,  34, NEQ,  125,  120,  110,  110, 
AL, 87, 2014070812, 03, OFCL,   0, 304N,  708W, 120,    0, HU,  34, NEQ,  180,  160,  150,  180,    0,    0,   0, 145,   0,    ,   0, MJB, 360,   9, 
AL, 87, 2014070812, 03, OFCL,   0, 304N,  708W, 120,    0, HU,  50, NEQ,   95,   90,   75,   95,    0,    0,   0, 145,   0,    ,   0, MJB, 360,   9, 
AL, 87, 2014070812, 03, OFCL,   0, 304N,  708W, 120,    0, HU,  64, NEQ,   40,   40,   30,   40,    0,    0,   0, 145,   0,    ,   0, MJB, 360,   9, 
AL, 87, 2014070812, 03, OFCL,   3, 308N,  708W, 120,  944, HU,  34, NEQ,  180,  160,  150,  180,    0,    0,   0, 145,   0,    ,   0, MJB, 360,   8, 
AL, 87, 2014070812, 03, OFCL,   3, 308N,  708W, 120,  944, HU,  50, NEQ,   95,   90,   75,   95,    0,    0,   0, 145,   0,    ,   0, MJB, 360,   8, 
AL, 87, 2014070812, 03, OFCL,   3, 308N,  708W, 120,  944, HU,  64, NEQ,   40,   40,   30,   40,    0,    0,   0, 145,   0,    ,   0, MJB, 360,   8, 
AL, 87, 2014070812, 03, OFCL,  12, 320N,  708W, 110,    0, HU,  34, NEQ,  180,  165,  150,  170,    0,    0,   0, 135,   0,    ,   0, MJB, 360,   8, 
AL, 87, 2014070812, 03, OFCL,  12, 320N,  708W, 110,    0, HU,  50, NEQ,   95,   90,   75,   90,    0,    0,   0, 135,   0,    ,   0, MJB, 360,   8, 
AL, 87, 2014070812, 03, OFCL,  12, 320N,  708W, 110,    0, HU,  64, NEQ,   45,   45,   35,   40,    0,    0,   0, 135,   0,    ,   0, MJB, 360,   8, 
AL, 87, 2014070812, 03, OFCL,  24, 346N,  708W, 100,    0, HU,  34, NEQ,  185,  175,  145,  160,    0,    0,   0, 120,   0,    ,   0, MJB, 360,  13, 
AL, 87, 2014070812, 03, OFCL,  24, 346N,  708W, 100,    0, HU,  50, NEQ,   95,   95,   75,   85,    0,    0,   0, 120,   0,    ,   0, MJB, 360,  13, 
AL, 87, 2014070812, 03, OFCL,  24, 346N,  708W, 100,    0, HU,  64, NEQ,   50,   50,   40,   45,    0,    0,   0, 120,   0,    ,   0, MJB, 360,  13, 
AL, 87, 2014070812, 03, OFCL,  36, 378N,  708W,  95,    0, HU,  34, NEQ,  190,  180,  145,  155,    0,    0,   0, 115,   0,    ,   0, MJB, 360,  16, 
AL, 87, 2014070812, 03, OFCL,  36, 378N,  708W,  95,    0, HU,  50, NEQ,  100,   95,   80,   85,    0,    0,   0, 115,   0,    ,   0, MJB, 360,  16, 
