AL, 72, 2014082212,   , BEST,   0, 278N,  716W, 120,  944, HU,  34, NEQ,  180,  160,  150,  180, 
AL, 72, 2014082212,   , BEST,   0, 278N,  716W, 120,  944, HU,  50, NEQ,   95,   90,   75,   95, 
AL, 72, 2014082212,   , BEST,   0, 278N,  716W, 120,  944, HU,  64, NEQ,   40,   40,   30,   40, 
AL, 72, 2014082218,   , BEST,   0, 286N,  724W, 120,  944, HU,  34, NEQ,  180,  160,  150,  180, 
AL, 72, 2014082218,   , BEST,   0, 286N,  724W, 120,  944, HU,  50, NEQ,   95,   90,   75,   95, 
AL, 72, 2014082218,   , BEST,   0, 286N,  724W, 120,  944, HU,  64, NEQ,   40,   40,   30,   40, 
AL, 72, 2014082300,   , BEST,   0, 295N,  728W, 120,  944, HU,  34, NEQ,  180,  160,  150,  180, 
AL, 72, 2014082300,   , BEST,   0, 295N,  728W, 120,  944, HU,  50, NEQ,   95,   90,   75,   90, 
AL, 72, 2014082300,   , BEST,   0, 295N,  728W, 120,  944, HU,  64, NEQ,   40,   40,   30,   40, 
AL, 72, 2014082306,   , BEST,   0, 304N,  728W, 120,  944, HU,  34, NEQ,  180,  160,  150,  180, 1008,  240,  20, 145,   0,   L,   0,    ,   0,   0,       RYAN, D, 
AL, 72, 2014082306,   , BEST,   0, 304N,  728W, 120,  944, HU,  50, NEQ,   95,   90,   75,   95, 1008,  240,  20, 145,   0,   L,   0,    ,   0,   0,       RYAN, D, 
AL, 72, 2014082306,   , BEST,   0, 304N,  728W, 120,  944, HU,  64, NEQ,   40,   40,   30,   40, 1008,  240,  20, 145,   0,   L,   0,    ,   0,   0,       RYAN, D, 
