AL, 95, 2017110400, 01, CARQ, -24, 199N,  537W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 95, 2017110400, 01, CARQ, -18, 208N,  535W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 95, 2017110400, 01, CARQ, -12, 217N,  533W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,  14,   9,     INVEST,  , 
AL, 95, 2017110400, 01, CARQ,  -6, 226N,  530W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 95, 2017110400, 01, CARQ,   0, 235N,  530W,  20, 1010, DB,  34, NEQ,    0,    0,    0,    0, 1012,  100,  60,   0,   0,   L,   0,   X,  10,   9,     INVEST, S, 
AL, 95, 2017110400, 01, CARQ,   0, 235N,  530W,  20, 1010, DB,  50, NEQ,    0,    0,    0,    0, 1012,  100,  60,   0,   0,   L,   0,   X,  10,   9,     INVEST, S, 
AL, 95, 2017110400, 01, CARQ,   0, 235N,  530W,  20, 1010, DB,  64, NEQ,    0,    0,    0,    0, 1012,  100,  60,   0,   0,   L,   0,   X,  10,   9,     INVEST, S, 
AL, 95, 2017110400, 03,  CMC,   0, 241N,  537W,  20, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  CMC,   6, 250N,  540W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  CMC,  12, 259N,  541W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  CMC,  18, 264N,  544W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  CMC,  24, 267N,  541W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  CMC,  30, 266N,  539W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  CMC,  36, 268N,  534W,  16, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  CMC,  42, 273N,  532W,  16, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  CMC,  48, 277N,  531W,  14, 1017, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  CMC,  54, 271N,  530W,  16, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  CMC,  60, 279N,  529W,  18, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  CMC,  66, 309N,  541W,  24, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  CMC,  72, 309N,  550W,  24, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  CMC,  78, 313N,  559W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  CMC,  84, 318N,  565W,  23, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  CMC,  90, 320N,  561W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  CMC,  96, 323N,  553W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  CMC, 102, 316N,  552W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  CMC, 108, 312N,  543W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  CMC, 114, 311N,  538W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  CMC, 120, 312N,  524W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  CMC, 126, 308N,  516W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  CMC, 132, 300N,  510W,  14, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  CMC, 138, 300N,  508W,  15, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  EMX,   0, 236N,  530W,  27, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  EMX,   6, 243N,  531W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  EMX,  12, 255N,  527W,  24, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  EMX,  18, 263N,  523W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  EMX,  24, 271N,  516W,  18, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  EMX,  30, 276N,  513W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  EMX,  36, 284N,  509W,  19, 1017, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  EMX,  42, 301N,  509W,  22, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  EMX,  48, 304N,  505W,  20, 1017, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  EMX,  54, 309N,  498W,  21, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  EMX,  60, 316N,  499W,  21, 1017, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  EMX,  66, 322N,  499W,  20, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 95, 2017110400, 03,  EMX,  72, 327N,  499W,  26, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
