EP, 03, 2017061018, 01, CARQ, -24, 134N,  935W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 03, 2017061018, 01, CARQ, -18, 135N,  937W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 03, 2017061018, 01, CARQ, -12, 136N,  939W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 297,   2,     INVEST,  , 
EP, 03, 2017061018, 01, CARQ,  -6, 137N,  941W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 03, 2017061018, 01, CARQ,   0, 138N,  943W,  25, 1008, DB,  34, NEQ,    0,    0,    0,    0, 1010,  150,  80,   0,   0,   E,   0,   X, 295,   2,     INVEST, S, 
EP, 03, 2017061018, 01, CARQ,   0, 138N,  943W,  25, 1008, DB,  50, NEQ,    0,    0,    0,    0, 1010,  150,  80,   0,   0,   E,   0,   X, 295,   2,     INVEST, S, 
EP, 03, 2017061018, 01, CARQ,   0, 138N,  943W,  25, 1008, DB,  64, NEQ,    0,    0,    0,    0, 1010,  150,  80,   0,   0,   E,   0,   X, 295,   2,     INVEST, S, 
EP, 03, 2017061018, 03, AC00,   0, 140N,  949W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 03, 2017061018, 03, AC00,   6, 145N,  955W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 03, 2017061018, 03, AC00,  12, 142N,  958W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 03, 2017061018, 03, AC00,  18, 144N,  960W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 03, 2017061018, 03, AC00,  24, 144N,  960W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 03, 2017061018, 03, AC00,  30, 145N,  961W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 03, 2017061018, 03, AC00,  36, 146N,  960W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 03, 2017061018, 03, AC00,  42, 147N,  960W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 03, 2017061018, 03, AC00,  48, 148N,  962W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 03, 2017061018, 03, AC00,  54, 148N,  963W,  13, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 03, 2017061018, 03, AC00,  60, 148N,  965W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 03, 2017061018, 03, AC00,  66, 148N,  970W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 03, 2017061018, 03, AC00,  72, 147N,  975W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
