EP, 93, 2017102918, 01, CARQ, -24, 104N,  920W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 93, 2017102918, 01, CARQ, -18, 105N,  915W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 93, 2017102918, 01, CARQ, -12, 107N,  910W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,  69,   4,     INVEST,  , 
EP, 93, 2017102918, 01, CARQ,  -6, 108N,  907W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 93, 2017102918, 01, CARQ,   0, 108N,  904W,  25, 1010, LO,  34, NEQ,    0,    0,    0,    0, 1012,  150,  30,   0,   0,   E,   0,   X,  75,   4,     INVEST, M, 
EP, 93, 2017102918, 01, CARQ,   0, 108N,  904W,  25, 1010, LO,  50, NEQ,    0,    0,    0,    0, 1012,  150,  30,   0,   0,   E,   0,   X,  75,   4,     INVEST, M, 
EP, 93, 2017102918, 01, CARQ,   0, 108N,  904W,  25, 1010, LO,  64, NEQ,    0,    0,    0,    0, 1012,  150,  30,   0,   0,   E,   0,   X,  75,   4,     INVEST, M, 
EP, 93, 2017102918, 03, AC00,   0, 112N,  911W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AC00,   6, 114N,  913W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AC00,  12, 109N,  914W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AC00,  18, 105N,  925W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AC00,  24, 106N,  941W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AC00,  30, 107N,  952W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AC00,  36, 107N,  960W,  11, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AC00,  42, 106N,  966W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AC00,  48, 106N,  975W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AC00,  54, 107N,  986W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AEMN,   0, 111N,  911W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0,   31,    1,   3,   0,   0, 
EP, 93, 2017102918, 03, AEMN,   6, 110N,  913W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0,   44,    1,   2,   0,   0, 
EP, 93, 2017102918, 03, AEMN,  12, 108N,  915W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0,   47,    0,   1,   0,   0, 
EP, 93, 2017102918, 03, AEMN,  18, 106N,  922W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0,   60,    1,   1,   0,   0, 
EP, 93, 2017102918, 03, AEMN,  24, 106N,  932W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0,   56,    0,   2,   0,   0, 
EP, 93, 2017102918, 03, AEMN,  30, 107N,  943W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0,   54,    0,   2,   0,   0, 
EP, 93, 2017102918, 03, AEMN,  36, 107N,  951W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0,   51,    0,   1,   0,   0, 
EP, 93, 2017102918, 03, AEMN,  42, 105N,  959W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0,   45,    0,   1,   0,   0, 
EP, 93, 2017102918, 03, AEMN,  48, 104N,  967W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0,   48,    0,   2,   0,   0, 
EP, 93, 2017102918, 03, AEMN,  54, 107N,  978W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0,   54,    0,   1,   0,   0, 
EP, 93, 2017102918, 03, AP01,   0, 114N,  917W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP01,   6, 115N,  917W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP01,  12, 112N,  917W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP01,  18, 111N,  929W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP01,  24, 110N,  936W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP01,  30, 106N,  952W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP01,  36, 109N,  954W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP01,  42, 103N,  960W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP01,  48, 105N,  966W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP01,  54, 105N,  974W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP01,  60, 106N,  980W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP02,   0, 101N,  912W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP02,   6,  99N,  909W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP02,  12, 100N,  908W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP02,  18,  99N,  915W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP02,  24,  99N,  922W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP03,   0, 102N,  911W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP03,   6, 101N,  907W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP03,  12,  99N,  906W,  12, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP03,  18,  89N,  910W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP04,   0, 111N,  911W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP04,   6, 113N,  913W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP04,  12, 110N,  914W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP04,  18, 108N,  919W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP04,  24, 107N,  928W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP04,  30, 108N,  937W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP04,  36, 106N,  948W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP04,  42, 104N,  960W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP04,  48, 106N,  968W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP04,  54, 110N,  979W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP04,  60, 110N,  990W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP04,  66, 112N,  999W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP05,   0, 114N,  912W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP05,   6, 115N,  923W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP06,   0, 107N,  910W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP06,   6, 105N,  908W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP06,  12, 106N,  909W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP06,  18, 106N,  912W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP06,  24, 102N,  917W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP06,  30, 104N,  929W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP06,  36, 105N,  937W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP06,  42, 103N,  946W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP06,  48, 105N,  954W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP06,  54, 106N,  966W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP06,  60, 107N,  977W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP06,  66, 110N,  989W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP06,  72, 108N,  998W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP07,   0, 108N,  913W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP07,   6, 105N,  912W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP07,  12, 102N,  911W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP07,  18, 100N,  915W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP07,  24, 101N,  924W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP07,  30,  99N,  930W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP07,  36, 100N,  940W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP07,  42,  95N,  958W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP07,  48,  85N,  968W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP07,  54,  90N,  973W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP08,   0, 116N,  914W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP08,   6, 117N,  923W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP08,  12, 112N,  935W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP08,  18, 113N,  945W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP08,  24, 106N,  953W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP08,  30, 104N,  957W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 93, 2017102918, 03, AP08,  36, 103N,  968W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
